event_name,event_period,event_year,study_focus,iso_country_code,cb_region,event_type,classification,summary_statement,publication_year,citation,source,rapid_study,link
Colorado floods,September 2013,2013,Event,USA,Northern America,Rain & flooding,More severe or more likely to occur,"""Using this ‘conditional event attribution’ approach we find that our regional climate model simulations indicate that anthropogenic drivers increased the magnitude of heavy northeast Colorado rainfall for the wet week in September 2013 by 30%, with the occurrence probability of a week at least that wet increasing by at least a factor of 1.3.""",2017,"Pall, P. et al., 2017: Diagnosing conditional anthropogenic contributions to heavy Colorado rainfall in September 2013. Weather and Climate Extremes, 17, 1-6, DOI: 10.1016/j.wace.2017.03.004",Weather and Climate Extremes,No,https://www.sciencedirect.com/science/article/pii/S2212094716300470?via%3Dihub
West Africa heavy rainfall,July-August 2012,2012,Event,NA,Sub-Saharan Africa,Rain & flooding,"Decrease, less severe or less likely to occur","""Results show that anthropogenic greenhouse gas emissions have decreased the probability of high precipitation across most of the model ensembles.""",2017,"Parker, H. et al., 2017: A comparison of model ensembles for attributing 2012 West African rainfall, Environ. Res. Lett. (12), 014019",Environmental Research Letters,No,http://iopscience.iop.org/article/10.1088/1748-9326/aa5386/pdf
Southern Europe 'unusually hot & dry' summer,2012,2012,Event,NA,Europe,Compound,More severe or more likely to occur,"""[T]here has been a significant increase in the risk of hot summers in southern Europe with climate change. Most approaches also suggested a slight drying, but none of the results were statistically significant.""",2017,"Wilcox, L. et al., 2017: Multiple perspectives on the attribution of the extreme European summer of 2012 to climate change, Clim. Dyn. (50) 3537 doi:10.1007/s00382-017-3822-7",Climate Dynamics,No,https://rd.springer.com/article/10.1007%2Fs00382-017-3822-7
Northern Europe 'very wet' summer,2012,2012,Event,NA,Europe,Rain & flooding,No discernible human influence,"""The unusually wet summer in northern Europe was made more likely by the observed atmospheric circulation pattern in 2012, but no evidence was found for a long-term trend in circulation.""",2017,"Wilcox, L. et al., 2017: Multiple perspectives on the attribution of the extreme European summer of 2012 to climate change, Clim. Dyn. (50) 3537 doi:10.1007/s00382-017-3822-7",Climate Dynamics,No,https://rd.springer.com/article/10.1007%2Fs00382-017-3822-7#citeas
Sea of Okhotsk sea ice record low,2015,2015,Event,NA,Eastern and south-eastern Asia,"Cold, snow & ice","Decrease, less severe or less likely to occur","""It was found that because of anthropogenic influence, both the probability of extreme low Okhotsk SIEs that exceed the 2015 event and the observed long-term trends during 1979–2015 have increased by more than 4 times.""",2017,"Paik, S. et al., 2017: Attributing Causes of 2015 Record Minimum Sea-Ice Extent in the Sea of Okhotsk. J. Clim,  DOI: 10.1175/JCLI-D-16-0587.1",Journal of Climate,No,https://journals.ametsoc.org/doi/10.1175/JCLI-D-16-0587.1
Arctic sea ice record low,2012,2012,Event,NA,Arctic,"Cold, snow & ice","Decrease, less severe or less likely to occur","""We also demonstrate the ability of our framework to systematically evaluate the role of dynamic and thermodynamic factors such as atmospheric circulation patterns and atmospheric water vapor, and find extremely high statistical confidence that anthropogenic forcing increased the probability of record-low Arctic sea ice extent.""",2017,"Diffenbaugh, N. et al., 2017: Quantifying the influence of global warming on unprecedented extreme climate events. PNAS, 114 (19), 4881–4886",Proceedings of the National Academy of Sciences,No,https://www.pnas.org/content/early/2017/04/18/1618082114.full
Sierra Nevada snowpack low,2011-2015,2011-2015,Event,USA,Northern America,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Anthropogenic warming reduced average snowpack levels by 25%, with middle‐to‐low elevations experiencing reductions between 26 and 43%""",2017,"Berg, N. & Hall, A., 2017: Anthropogenic warming impacts on California snowpack during drought. Geophys. Res. Lett., 44 (5), 2511-2518, DOI:  https://doi.org/10.1002/2016GL072104",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GL072104
South-east Europe extreme cold,winter 2017,2017,Event,NA,Europe,"Cold, snow & ice",Insufficient data/inconclusive,"""The temperature of these cold waves has increased since 1950. This increase is not statistically significant due to the variability of the weather, but climate models show the same increase.""",2017,"van Oldenborgh, G. J. et al. 2017: Extreme cold in south east Europe, 2017, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/se-europe-cold-january-2017/
Hurricane Harvey,August 2017,2017,Event,USA,Northern America,Storm,More severe or more likely to occur,"""Extrapolating these results to the 2017 event, we conclude that global warming made the precipitation about 15% (8%–19%) more intense, or equivalently made such an event three (1.5–5) times more likely.""",2017,"van Oldenborgh, G. et al., 2017: Attribution of extreme rainfall from Hurricane Harvey, August 2017, Env. Res. Lett, 12 (12)",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/aa9ef2
New York City floods,since pre-industrial,NA,Trend,USA,Northern America,Storm,More severe or more likely to occur,"""However, projected sea-level rise causes overall flood heights associated with tropical cyclones in New York City in coming centuries to increase greatly compared with preindustrial or modern flood heights""",2017,"Garnera, A. et al., 2017: Impact of climate change on New York City’s coastal flood hazard: Increasing flood heights from the preindustrial to 2300 CE. DOI:10.1073/pnas.1703568114",Proceedings of the National Academy of Sciences,No,https://www.pnas.org/content/early/2017/10/03/1703568114/tab-article-info
Eastern Pacific 'extreme' hurricane season,2015,2015,Event,NA,Northern America,Storm,More severe or more likely to occur,"""Although the likelihood of such an extreme year depends on the phase of natural variability, the coupled GCM projects an increase in the frequency of such extremely active TC years over the next few decades for EPO, CPO, and Hawaii as a result of enhanced subtropical Pacific warming from anthropogenic greenhouse gas forcing.""",2017,"Murakami, H. et al., 2017: Dominant Role of Subtropical Pacific Warming in Extreme Eastern Pacific Hurricane Seasons: 2015 and the Future. J. Climate, DOI: 10.1175/JCLI-D-16-0424.1",Journal of Climate,No,https://journals.ametsoc.org/doi/10.1175/JCLI-D-16-0424.1
Hurricane Harvey rainfall,2017,2017,Event,NA,Northern America,Storm,More severe or more likely to occur,"""We find that human-induced climate change likely increased the chances of the observed precipitation accumulations during Hurricane Harvey in the most affected areas of Houston by a factor of at least 3.5""",2017,"Risser and Wehner, 2017: Attributable Human-Induced Changes in the Likelihood and Magnitude of the Observed Extreme Precipitation during Hurricane Harvey, Geophysical Research Letters, DOI: 10.1002/2017GL075888",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/10.1002/2017GL075888
Typhoon hitting eastern Hokkaido,August 2016,2016,Event,JPN,Eastern and south-eastern Asia,Storm,More severe or more likely to occur,"""The amount, intensity, and duration of rainfall in eastern Hokkaido associated with the typhoon increased in the warming climate.""",2017,"Kanada S. et al., 2017: Future enhancement of heavy rainfall events associated with a typhoon in the midlatitude regions, SOLA, doi:10.2151/sola.2017-045",SOLA,No,https://doi.org/10.2151/sola.2017-045
Western Canada fire risk,May 2016,2016,Event,CAN,Northern America,Wildfire,More severe or more likely to occur,"""The combined effect of anthropogenic and natural forcing is estimated to have made extreme fire risk events in the region 1.5 to 6 times as likely compared to a climate that would have been with natural forcings alone.""",2017,"Kirchmeier-Young, M. et al., 2017: Attributing extreme fire risk in Western Canada to human emissions, Climatic Change (144) 365 doi:10.1007/s10584-017-2030-0",Climatic Change,No,https://rd.springer.com/article/10.1007%2Fs10584-017-2030-0
Tasman Sea marine heatwave,2015-2016,2015-2016,Event,"AUS,NZL",Australia and New Zealand,Oceans,More severe or more likely to occur,"""Global climate models indicate it is very likely to be that the occurrence of an extreme warming event of this duration or intensity in this region is respectively ≥330 times and ≥6.8 times as likely to be due to the influence of anthropogenic climate change.""",2017,"Oliver, E. et al., 2017: The unprecedented 2015/16 Tasman Sea marine heatwave. Nat. Commun. 8, 16101 doi:10.1038/ncomms16101",Nature Communications,No,https://www.nature.com/articles/ncomms16101
Northern hemisphere summer extremes,1979-2015,NA,Trend,NA,Northern hemisphere,Atmosphere,More severe or more likely to occur,"""Here, we isolate a specific fingerprint in the zonal mean surface temperature profile that is associated with QRA-favorable conditions. State-of-the-art (“CMIP5”) historical climate model simulations subject to anthropogenic forcing display an increase in the projection of this fingerprint that is mirrored in multiple observational surface temperature datasets.""",2017,"Mann, M. et al., 2017: Influence of Anthropogenic Climate Change on Planetary Wave Resonance and Extreme Weather Events. Scientific Reports, 7, 45242, DOI:10.1038/srep45242",Scientific Reports,No,https://www.nature.com/articles/srep45242
Colorado river drought,2000-2014,2000-2014,Event,USA,Northern America,River flow,"Decrease, less severe or less likely to occur","""[W]e found that recent warming of 0.9°C has likely already reduced river flows from −2.7% to −9% from the mean 1906–1999 flow. This represents approximately one‐sixth to one‐half (average of one‐third) of the total flow loss during the 2000–2014 drought.""",2017,"Udall, B. & Overpeck, J., 2017: The twenty‐first century Colorado River hot drought and implications for the future. Water Resources Research, 53 (3), 2404-2418, DOI:10.1002/2016WR019638",Water Resources Research,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016WR019638
Southern Europe summer heatwave,2017,2017,Event,NA,Europe,Heat,More severe or more likely to occur,"""Across the Euro-Mediterranean the likelihood of a heat wave at least as hot as summer 2017 is now on the order of 10%. Anthropogenic climate change has increased the odds at least threefold since 1950.""",2018,"Kew, S. et al., 2018: The Exceptional Summer Heat Wave in Southern Europe 2017 [in “Explaining Extreme Events of 2017 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., doi:10.1175/BAMS-D-18-0127.1",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2017a/ch11_EEEof2017_Kew.pdf
South Korea earliest summer onset,2017,2017,Event,KOR,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""Large-ensemble RCM and GCM simulations suggest a significant anthropogenic contribution to the observed warmest May and earliest summer onset in South Korea, increasing the risk of its occurrence by 2–3 times.""",2018,"Min, S-K. et al., 2018: Anthropogenic Contribution to the 2017 Earliest Summer Onset in South Korea [in “Explaining Extreme Events of 2017 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., doi:10.1175/BAMS-D-18-0096.1",Bulletin of the American Meteorological Society,No,http://www.ametsoc.net/eee/2017a/ch15_EEEof2017_Min.pdf
