year_ended_june,measure,value,value_unit,value_label
1993,Maize (area sown),15925,number,Hectares
1993,Wheat (yield),219414,number,Tonnes
1993,Oats (yield),56793,number,Tonnes
1993,Barley (yield),389523,number,Tonnes
1993,Seed/field peas (yield),63268,number,Tonnes
1993,Maize (yield),133069,number,Tonnes
1993,Nuts,678,number,Hectares
1993,Hops,150,number,Hectares
1993,Flowers and Foliage (Outdoor),562,number,Hectares
1993,"Nursery Trees, Shrubs and Plants",1220,number,Hectares
1993,Lime,1025662,number,Tonnes
1993,Urea,75800,number,Tonnes
1993,Total All Fertilisers,2727468,number,Tonnes
1993,Potatoes,9064,number,Hectares
1993,Male deer (2 yrs and over),196473,number,Number of deer
1993,Male deer (under 2 yrs),232767,number,Number of deer
1993,Female deer mated since 30 June last year,477358,number,Number of deer
1993,Other female deer,171881,number,Number of deer
1993,Mean average number of broilers on the farm,5910198,number,Number of chickens
1993,Horses,87206,number,Number of horses
1993,Eggs Sold,47428304,number,Number of eggs
1993,Silverbeet/Spinach,287,number,Hectares
1993,Sweetcorn,3655,number,Hectares
1993,"Tomatoes, outdoor",1602,number,Hectares
1993,Asparagus,2348,number,Hectares
1993,"Beans, Green",792,number,Hectares
1993,"Beans, Broad",231,number,Hectares
1993,Broccoli,1426,number,Hectares
1993,Brussel Sprouts,143,number,Hectares
1993,Cabbage,931,number,Hectares
1993,Capsicum,117,number,Hectares
1993,Carrots,1175,number,Hectares
1993,Cauliflower,1141,number,Hectares
1993,Celery,155,number,Hectares
1993,Courgettes/Zucchini,204,number,Hectares
1993,Cucumber,51,number,Hectares
1993,Garlic,140,number,Hectares
1993,Kumara,854,number,Hectares
1993,Lettuce,905,number,Hectares
1993,Onions,3127,number,Hectares
1993,Parsnips,166,number,Hectares
1993,Peas,5601,number,Hectares
1993,Squash,5829,number,Hectares
1993,Pumpkin,944,number,Hectares
1993,"Tomatoes, indoor",867571,number,Square metres
1993,Cucumbers,80060,number,Square metres
1993,Capsicum/Peppers,79783,number,Square metres
1993,Mushrooms,100378,number,Square metres
1993,Melons (Water and Rock),326,number,Hectares
1993,Boysenberries,223,number,Hectares
1993,Blackcurrants,795,number,Hectares
1993,Blueberries,340,number,Hectares
1993,Wine grapes,5663,number,Hectares
1993,Apples,12937,number,Hectares
1993,Pears (excluding Asian Pears),1068,number,Hectares
1993,Asian Pears (Nashi),484,number,Hectares
1993,Peaches,869,number,Hectares
1993,Apricots,804,number,Hectares
1993,Plums,303,number,Hectares
1993,Nectarines,845,number,Hectares
1993,Cherries,273,number,Hectares
1993,Kiwifruit,14099,number,Hectares
1993,Avocados,1260,number,Hectares
1993,Feijoas,226,number,Hectares
1993,Tamarillos,325,number,Hectares
1993,Passionfruit,68,number,Hectares
1993,Persimmons,400,number,Hectares
1993,Oranges,760,number,Hectares
1993,Grapefruit/Goldfruit,156,number,Hectares
1993,Lemons,283,number,Hectares
1993,Mandarins,533,number,Hectares
1993,Tangelos,357,number,Hectares
1993,Strawberries,247,number,Hectares
1993,Raspberries,224,number,Hectares
1993,Blackberries/Brambles,51,number,Hectares
1994,"Grazing, Arable Crop, Fodder Crop, Fallow",13535699,number,Hectares
1994,Conservation plantings,1479398,number,Hectares
1994,Number of Farm Holdings,69460,number,Number of farm holdings
1994,Land used for horticulture,103789,number,Hectares
1994,Plantations of Exotic Trees,1488082,number,Hectares
1994,Total Area of Farms,16606969,number,Hectares
1994,New Area Planted in Production Forest,60780,number,Hectares
1994,Area Replanted in Production Forest,21726,number,Hectares
1994,"Rising 2 Year Old Dairy Heifers, in Calf",489740,number,Number of cattle
1994,Bobby Calves Still on the Farm,7040,number,Number of cattle
1994,Dairy Cows and Heifers - not in Milk or Calf,120070,number,Number of cattle
1994,Rising 1 Year Old Dairy Heifers and Calves,687693,number,Number of cattle
1994,"Dairy Cows and Heifers, in Milk or Calf",2994022,number,Number of cattle
1994,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",65469,number,Number of cattle
1994,"Rising 2 Year Old Dairy Heifers, not in Calf",54601,number,Number of cattle
1994,Total Dairy Cattle (including Bobby Calves),3839184,number,Number of cattle
1994,Rising 1 Year Old Dairy Heifers and Heifer Calves,680652,number,Number of cattle
1994,Dairy Bulls intended for Breeding,31430,number,Number of cattle
1994,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2504282,number,Number of cattle
1994,Calves Born Alive to Dairy Heifers/Cows,2455975,number,Number of cattle
1994,"Beef Cows and Heifers, Bred From, 2 Years and Over",1391771,number,Number of cattle
1994,"Beef Cows and Heifers, Bred From, 1-2 Years",184816,number,Number of cattle
1994,Beef Non-breeding Bulls (all Ages),687846,number,Number of cattle
1994,Steers over 1 year,1023757,number,Number of cattle
1994,"Beef Cows and Heifers, Bred from",1576588,number,Number of cattle
1994,"Beef Heifer Calves, under 1 Year Old",618628,number,Number of cattle
1994,Total Beef Cattle,5047848,number,Number of cattle
1994,Total Cattle,8887032,number,Number of cattle
1994,Steers and Non-breeding Bulls,2273242,number,Number of cattle
1994,Beef Breeding Bulls,91245,number,Number of cattle
1994,"Steers, 2 years old and over",390195,number,Number of cattle
1994,"Steers, 1-2 years old",633562,number,Number of cattle
1994,"Steer Calves, under 1 year",561639,number,Number of cattle
1994,"Bulls, all Ages",779091,number,Number of cattle
1994,Other Pigs,364702,number,Number of pigs
1994,Total Pigs,422766,number,Number of pigs
1994,Mated Gilts,0,number,Number of pigs
1994,Breeding Ewes 2 Tooth and Over put to Ram,34437986,number,Number of sheep
1994,Breeding Ewes 2 Tooth and Over not put to Ram,767898,number,Number of sheep
1994,Rams 2 Tooth and Over,541283,number,Number of sheep
1994,Ewe Hoggets put to Ram,1316284,number,Number of sheep
1994,Ewe Hoggets not put to Ram,8319053,number,Number of sheep
1994,Hoggets Ram,608261,number,Number of sheep
1994,Hoggets Wether,2106872,number,Number of sheep
1994,Wethers 2 Tooth and Over,1274690,number,Number of sheep
1994,Total Sheep,49466054,number,Number of sheep
1994,Total Lambs Marked and/or Tailed,36243948,number,Number of sheep
1994,Total Ram and Wether Hoggets,2715133,number,Number of sheep
1994,Total Sheep other than Ewes/Ewe Hoggets put to Ram,13618057,number,Number of sheep
1994,Other Sheep,93727,number,Number of sheep
1994,Total goats,283547,number,Number of goats
1994,Total male deer,473274,number,Number of deer
1994,Total female deer,751375,number,Number of deer
1994,Total Deer,1231109,number,Number of deer
1994,Wheat (area sown),44668,number,Hectares
1994,Oats (area sown),12947,number,Hectares
1994,Barley (area sown),76858,number,Hectares
1994,Field peas (area sown),19680,number,Hectares
1994,Maize (area sown),14664,number,Hectares
1994,Wheat (yield),241853,number,Tonnes
1994,Oats (yield),57718,number,Tonnes
1994,Barley (yield),395476,number,Tonnes
1994,Seed/field peas (yield),59898,number,Tonnes
1994,Maize (yield),142768,number,Tonnes
1994,Nuts,1048,number,Hectares
1994,Hops,266,number,Hectares
1994,Flowers and Foliage (Outdoor),1171,number,Hectares
1994,"Nursery Trees, Shrubs and Plants",1762,number,Hectares
1994,Other Outdoor Horticultural Crops,130,number,Hectares
1994,Lime,0,number,Tonnes
1994,Urea,0,number,Tonnes
1994,Potatoes,9524,number,Hectares
1994,Male deer (2 yrs and over),221897,number,Number of deer
1994,Male deer (under 2 yrs),251376,number,Number of deer
1994,Female deer mated since 30 June last year,543095,number,Number of deer
1994,Other female deer,208280,number,Number of deer
1994,Mean average number of broilers on the farm,5997250,number,Number of chickens
1994,Horses,67842,number,Number of horses
1994,Alpacas,182,number,Number of alpacas
1994,Llamas,627,number,Number of llamas
1994,Alpacas and Llamas,34,number,Number of alpacas and llamas
1994,Eggs Sold,0,number,Number of eggs
1994,Silverbeet/Spinach,313,number,Hectares
1994,Sweetcorn,5526,number,Hectares
1994,"Tomatoes, outdoor",2394,number,Hectares
1994,Asparagus,2328,number,Hectares
1994,"Beans, Green",829,number,Hectares
1994,"Beans, Broad",246,number,Hectares
1994,Broccoli,1192,number,Hectares
1994,Brussel Sprouts,150,number,Hectares
1994,Cabbage,1074,number,Hectares
1994,Capsicum,113,number,Hectares
1994,Carrots,1368,number,Hectares
1994,Cauliflower,1178,number,Hectares
1994,Celery,160,number,Hectares
1994,Courgettes/Zucchini,214,number,Hectares
1994,Cucumber,57,number,Hectares
1994,Garlic,311,number,Hectares
1994,Kumara,1048,number,Hectares
1994,Lettuce,1019,number,Hectares
1994,Onions,4929,number,Hectares
1994,Parsnips,160,number,Hectares
1994,Peas,9870,number,Hectares
1994,Squash,7509,number,Hectares
1994,Pumpkin,1547,number,Hectares
1994,Orchids,517848,number,Square metres
1994,"Tomatoes, indoor",1492325,number,Square metres
1994,Cucumbers,240917,number,Square metres
1994,Capsicum/Peppers,171714,number,Square metres
1994,Mushrooms,135425,number,Square metres
1994,Melons (Water and Rock),376,number,Hectares
1994,Boysenberries,231,number,Hectares
1994,Blackcurrants,720,number,Hectares
1994,Blueberries,357,number,Hectares
1994,Wine grapes,7160,number,Hectares
1994,Apples,15256,number,Hectares
1994,Pears (excluding Asian Pears),1278,number,Hectares
1994,Asian Pears (Nashi),418,number,Hectares
1994,Peaches,714,number,Hectares
1994,Apricots,844,number,Hectares
1994,Plums,342,number,Hectares
1994,Nectarines,667,number,Hectares
1994,Cherries,274,number,Hectares
1994,Kiwifruit,12174,number,Hectares
1994,Avocados,1374,number,Hectares
1994,Feijoas,161,number,Hectares
1994,Tamarillos,299,number,Hectares
1994,Passionfruit,54,number,Hectares
1994,Persimmons,412,number,Hectares
1994,Oranges,789,number,Hectares
1994,Grapefruit/Goldfruit,116,number,Hectares
1994,Lemons,263,number,Hectares
1994,Mandarins,619,number,Hectares
1994,Tangelos,295,number,Hectares
1994,Strawberries,331,number,Hectares
1994,Raspberries,199,number,Hectares
1994,Blackberries/Brambles,43,number,Hectares
1995,"Grazing, Arable Crop, Fodder Crop, Fallow",13519794,number,Hectares
1995,Conservation plantings,1335261,number,Hectares
1995,Number of Farm Holdings,68776,number,Number of farm holdings
1995,Land used for horticulture,124143,number,Hectares
1995,Plantations of Exotic Trees,1598743,number,Hectares
1995,Total Area of Farms,16577942,number,Hectares
1995,New Area Planted in Production Forest,59483,number,Hectares
1995,Area Replanted in Production Forest,27608,number,Hectares
1995,"Rising 2 Year Old Dairy Heifers, in Calf",523438,number,Number of cattle
1995,Bobby Calves Still on the Farm,17807,number,Number of cattle
1995,Dairy Cows and Heifers - not in Milk or Calf,158392,number,Number of cattle
1995,Rising 1 Year Old Dairy Heifers and Calves,740648,number,Number of cattle
1995,"Dairy Cows and Heifers, in Milk or Calf",3153231,number,Number of cattle
1995,"Dairy Cows and Heifers, 2 Years Old and Over, not in Milk or Calf",85666,number,Number of cattle
1995,"Rising 2 Year Old Dairy Heifers, not in Calf",72725,number,Number of cattle
1995,Total Dairy Cattle (including Bobby Calves),4089817,number,Number of cattle
1995,Rising 1 Year Old Dairy Heifers and Heifer Calves,722841,number,Number of cattle
1995,Dairy Bulls intended for Breeding,31543,number,Number of cattle
1995,"Dairy Cows and Heifers, 2 Years Old and Over, in Milk or Calf",2629792,number,Number of cattle
1995,Calves Born Alive to Dairy Heifers/Cows,2499028,number,Number of cattle
1995,"Beef Cows and Heifers, Bred From, 2 Years and Over",1425379,number,Number of cattle
1995,"Beef Cows and Heifers, Bred From, 1-2 Years",191481,number,Number of cattle
1995,Beef Non-breeding Bulls (all Ages),604221,number,Number of cattle
1995,Steers over 1 year,1085539,number,Number of cattle
1995,"Beef Cows and Heifers, Bred from",1616860,number,Number of cattle
1995,"Beef Heifer Calves, under 1 Year Old",647782,number,Number of cattle
1995,Total Beef Cattle,5182508,number,Number of cattle
1995,Total Cattle,9272325,number,Number of cattle
1995,Steers and Non-breeding Bulls,2286410,number,Number of cattle
1995,Beef Breeding Bulls,88052,number,Number of cattle
1995,"Steers, 2 years old and over",405751,number,Number of cattle
1995,"Steers, 1-2 years old",679788,number,Number of cattle
1995,"Steer Calves, under 1 year",596650,number,Number of cattle
1995,"Bulls, all Ages",692273,number,Number of cattle
1995,"Breeding Sows, over 1 Year Old",51140,number,Number of pigs
1995,Other Pigs,371755,number,Number of pigs
1995,Total Pigs,431004,number,Number of pigs
1995,Mated Gilts,8110,number,Number of pigs
1995,Breeding Ewes 2 Tooth and Over put to Ram,33692996,number,Number of sheep
1995,Breeding Ewes 2 Tooth and Over not put to Ram,848541,number,Number of sheep
1995,Rams 2 Tooth and Over,516374,number,Number of sheep
1995,Ewe Hoggets put to Ram,1305607,number,Number of sheep
1995,Ewe Hoggets not put to Ram,8269253,number,Number of sheep
1995,Hoggets Ram,578549,number,Number of sheep
1995,Hoggets Wether,2160143,number,Number of sheep
1995,Wethers 2 Tooth and Over,1246002,number,Number of sheep
1995,Total Sheep,48816271,number,Number of sheep
1995,Total Lambs Marked and/or Tailed,37017649,number,Number of sheep
1995,Total Ram and Wether Hoggets,2738693,number,Number of sheep
1995,Total Sheep other than Ewes/Ewe Hoggets put to Ram,13817669,number,Number of sheep
1995,Other Sheep,198807,number,Number of sheep
1995,Total male deer,454399,number,Number of deer
1995,Total female deer,710155,number,Number of deer
1995,Total Deer,1178704,number,Number of deer
1995,Wheat (area sown),52362,number,Hectares
1995,Oats (area sown),10063,number,Hectares
1995,Barley (area sown),68206,number,Hectares
1995,Field peas (area sown),18424,number,Hectares
1995,Maize (area sown),16505,number,Hectares
1995,Wheat (yield),245173,number,Tonnes
1995,Oats (yield),38735,number,Tonnes
1995,Barley (yield),302804,number,Tonnes
1995,Seed/field peas (yield),56448,number,Tonnes
1995,Maize (yield),160797,number,Tonnes
1995,Nuts,1125,number,Hectares
1995,Hops,312,number,Hectares
1995,Flowers and Foliage (Outdoor),1287,number,Hectares
1995,"Nursery Trees, Shrubs and Plants",2281,number,Hectares
1995,Other Outdoor Horticultural Crops,22,number,Hectares
1995,Lime,1228097,number,Tonnes
1995,Urea,124756,number,Tonnes
1995,Total All Fertilisers,3273059,number,Tonnes
1995,Potatoes,10588,number,Hectares
1995,Male deer (2 yrs and over),204975,number,Number of deer
1995,Male deer (under 2 yrs),249424,number,Number of deer
1995,Female deer mated since 30 June last year,508582,number,Number of deer
1995,Other female deer,201573,number,Number of deer
1995,Mean average number of broilers on the farm,7296114,number,Number of chickens
1995,Horses,68631,number,Number of horses
1995,Alpacas,0,number,Number of alpacas
1995,Llamas,0,number,Number of llamas
1995,Alpacas and Llamas,490,number,Number of alpacas and llamas
1995,Hens for Egg Production,2947275,number,Number of chickens
1995,Eggs Sold,45029739,number,Number of eggs
1995,Silverbeet/Spinach,369,number,Hectares
1995,Sweetcorn,7383,number,Hectares
1995,"Tomatoes, outdoor",3113,number,Hectares
1995,Asparagus,2868,number,Hectares
1995,"Beans, Green",799,number,Hectares
1995,Broccoli,1446,number,Hectares
1995,Cabbage,1184,number,Hectares
1995,Carrots,2403,number,Hectares
1995,Cauliflower,1323,number,Hectares
1995,Celery,131,number,Hectares
1995,Garlic,181,number,Hectares
1995,Onions,5697,number,Hectares
1995,Parsnips,175,number,Hectares
1995,Peas,10868,number,Hectares
1995,Squash,6831,number,Hectares
1995,Pumpkin,986,number,Hectares
1995,Orchids,466834,number,Square metres
1995,"Tomatoes, indoor",1721751,number,Square metres
1995,Mushrooms,132472,number,Square metres
1995,Boysenberries,222,number,Hectares
1995,Blackcurrants,714,number,Hectares
1995,Blueberries,377,number,Hectares
1995,Wine grapes,7382,number,Hectares
1995,Apples,15916,number,Hectares
1995,Pears (excluding Asian Pears),1266,number,Hectares
1995,Asian Pears (Nashi),413,number,Hectares
1995,Peaches,738,number,Hectares
1995,Apricots,831,number,Hectares
1995,Plums,336,number,Hectares
1995,Nectarines,705,number,Hectares
1995,Cherries,353,number,Hectares
1995,Kiwifruit,11873,number,Hectares
1995,Avocados,1588,number,Hectares
1995,Tamarillos,249,number,Hectares
1995,Passionfruit,54,number,Hectares
1995,Persimmons,428,number,Hectares
1995,Oranges,757,number,Hectares
