call_sign,frequency,city,licensee,format,state
KMBY,1240 AM,Monterey,Hanford Youth Services Inc,Oldies,California
KMDR,95.1 FM,McKinleyville,"Mad River Radio, Inc.",Adult contemporary,California
KMEC-LP,105.1 FM,Ukiah,Mendocino Environmental Center,Variety,California
KMEL,106.1 FM,San Francisco,"iHM Licenses, LLC",Urban contemporary,California
KMEN,100.5 FM,Mendota,"Lazer Licenses, LLC",Regional Mexican,California
KMET,1490 AM,Banning,"KMET, LLC",Talk,California
KMGV,97.9 FM,Fresno,Cumulus Licensing LLC,Rhythmic oldies,California
KMIX,100.9 FM,Tracy,"Entravision Holdings, LLC",Regional Mexican,California
KMJ,580 AM,Fresno,Cumulus Licensing LLC,News/Talk,California
KMJ-FM,105.9 FM,Fresno,Cumulus Licensing LLC,News/Talk,California
KMJC,620 AM,Mount Shasta,Southern Oregon University,Public radio,California
KMJV,106.3 FM,Soledad,"California Ortiz & 2 Media, LLC",Regional Mexican,California
KMKE-LP,98.1 FM,Eureka,"California, State of",Traffic Info,California
KMKX,93.5 FM,Willits,"Radio Millennium, LLC",Classic rock,California
KMKY,1310 AM,Oakland,Radio Punjab AM 1310 Inc.,South Asian,California
KMLA,103.7 FM,El Rio,"Gold Coast Radio, LLC",Regional Mexican,California
KMLM-FM,107.3 FM,Grover Beach,"Gold Coast Radio, LLC",Regional Mexican,California
KMLY,95.1 FM,Gonzales,"Lazer Licenses, LLC",Regional Mexican,California
KMMT,106.5 FM,Mammoth Lakes,"Mammoth Mountain FM Associates, Inc.",Top 40/CHR,California
KMOB-LP,100.3 FM,Clearlake,"Minds of Business, Inc.",Urban adult contemporary,California
KMPC,1540 AM,Los Angeles,P&Y Broadcasting Corporation,Korean,California
KMPG,1520 AM,Hollister,Promo Radio Corp.,Regional Mexican,California
KMPH,840 AM,Modesto,"Relevant Radio, Inc.",Catholic,California
KMPO,88.7 FM,Modesto,"Radio Bilingue, Inc.",Spanish Talk/Standards,California
KMPS,910 AM,Hesperia,EDB VV License LLC,Silent,California
KMQA,100.5 FM,East Porterville,"Lazer Licenses, LLC",Regional Mexican,California
KMRB,1430 AM,San Gabriel,"Multicultural Radio Broadcasting Licensee, LLC",Chinese,California
KMRJ,99.5 FM,Rancho Mirage,"R M Broadcasting, LLC",Rhythmic AC,California
KMRO,90.3 FM,Camarillo,"The Association for Community Education, Inc.",Spanish Christian,California
KMRQ,96.7 FM,Riverbank,"iHM Licenses, LLC",Active rock,California
KMTG,89.3 FM,San Jose,San Jose Unified School District,Variety,California
KMUD,91.1 FM,Garberville,"Redwood Community Radio, Inc.",Variety,California
KMUE,88.1 FM,Eureka,"Redwood Community Radio, Inc.",Variety,California
KMVE,106.9 FM,California City,High Desert Broadcasting LLC,Classic hits,California
KMVQ-FM,99.7 FM,San Francisco,Bonneville International Corporation,Top 40/CHR,California
KMVS,89.3 FM,Moss Beach,Educational Media Foundation,Contemporary Christian (K-Love),California
KMWM,101.7 FM,Alturas,Matthew Warren Woodrow,NA,California
KMXI,95.1 FM,Chico,"Deer Creek Broadcasting, LLC",Adult contemporary,California
KMXX,99.3 FM,Imperial,"Entravision Holdings, LLC",Regional Mexican,California
KMYC,1410 AM,Marysville,E. E. Friesen,Talk,California
KMYI,94.1 FM,San Diego,"iHM Licenses, LLC",Hot AC,California
KMYT,94.5 FM,Temecula,"iHM Licenses, LLC",Adult alternative,California
KMYX-FM,92.5 FM,Arvin,"Farmworker Educational Radio Network, Inc.",Regional Mexican,California
KMZR,92.5 FM,Atwater,"Lazer Licenses, LLC",Regional Mexican,California
KMZT,1260 AM,Beverly Hills,"Mount Wilson FM Broadcasters, Inc.",Classical,California
KNBR,680 AM,San Francisco,Radio License Holding SRC LLC,Sports (CBS),California
KNBR-FM,104.5 FM,San Francisco,Radio License Holding SRC LLC,Sports (CBS),California
KNBX,91.7 FM,San Ardo,"KCBX, Inc.",Public radio,California
KNCA,89.7 FM,Burney,Southern Oregon University,Public radio,California
KNCI,105.1 FM,Sacramento,Bonneville International Corporation,Country,California
KNCO,830 AM,Grass Valley,"Nevada County Broadcasters, Inc.",News/Talk,California
KNCO-FM,94.1 FM,Grass Valley,"Nevada County Broadcasters, Inc.",Adult contemporary,California
KNCQ,97.3 FM,Redding,"Results Radio of Redding Licensee, LLC",Country,California
KNDZ,89.3 FM,McKinleyville,Pacific Cascade Communications Corporation,Christian radio,California
KNEW,960 AM,Oakland,"iHM Licenses, LLC",Talk,California
KNFS-LP,98.1 FM,Tulare,The Lorax Society,Variety,California
KNGS-LP,104.5 FM,Hanford,First Unitarian Universal Life Church of Hanford,Classic hits,California
KNHM,91.5 FM,Bayside,Southern Oregon University,Public radio,California
KNHT,102.5 FM,Rio Dell,Southern Oregon University,Classical,California
KNJR-LP,107.9 FM,Thousand Oaks,Conejo Radio Ministries,Christian radio,California
KNKJ-LP,92.5 FM,Red Bluff,Calvary Chapel Red Bluff,Christian,California
KNKK,107.1 FM,Needles,"Cameron Broadcasting, Inc.",Top 40/CHR,California
KNLF,95.9 FM,Quincy,New Life Broadcasting,Religious Teaching (AFR),California
KNLM,90.5 FM,Yucca Valley,"Advance Ministries, Inc., d/b/a New Life Christian School",Christian radio,California
KNOB,96.7 FM,Healdsburg,JYH Broadcasting,Adult hits,California
KNRO,1400 AM,Redding,"SMG-Redding, LLC",Sports (FSR),California
KNSJ,89.1 FM,Descanso,Activist San Diego,Community radio,California
KNSN,1240 AM,San Diego,"Kiertron, Inc.",Christian radio,California
KNSQ,88.1 FM,Mount Shasta,Southern Oregon University,Public radio,California
KNTI,99.5 FM,Lakeport,"Bicoastal Media Licenses, LLC",Adult album alternative,California
KNTO,93.3 FM,Chowchilla,Centro Christiano Amistad Church,Spanish oldies,California
KNTY,103.5 FM,Sacramento,"Entravision Holdings, LLC",Classic country,California
KNVE,91.3 FM,Redding,Educational Media Foundation,Spanish Religious,California
KNVM,89.7 FM,Prunedale,Educational Media Foundation,Contemporary Christian (K-Love),California
KNVU-LP,98.7 FM,Victorville,Centro Internacional de Oracion,Spanish Christian,California
KNWH,1250 AM,Yucca Valley,Alpha Media Licensee LLC,News/Talk,California
KNWQ,1140 AM,Palm Springs,Alpha Media Licensee LLC,News/Talk,California
KNWZ,970 AM,Coachella,Alpha Media Licensee LLC,News/Talk,California
KNX,1070 AM,Los Angeles,"Audacy License, LLC",News,California
KNX-FM,97.1 FM,Los Angeles,"Audacy License, LLC",News,California
KNYO-LP,107.7 FM,Fort Bragg,Noyo Radio Project,Variety,California
KNYR,91.3 FM,Yreka,Southern Oregon University,Classical,California
KNZR,1560 AM,Bakersfield,Alpha Media Licensee LLC,News/Talk,California
KNZR-FM,97.7 FM,Shafter,Alpha Media Licensee LLC,News/Talk,California
KOBO,1450 AM,Yuba City,"Punjabi American Media, LLC",Punjabi,California
KOCC-LP,101.5 FM,Oxnard,Calvary Chapel of Oxnard,Christian radio,California
KOCI-LP,101.5 FM,Newport Beach,"Startree 107, Inc.",Variety,California
KOCL-LP,101.5 FM,Anaheim,The Church in Anaheim,Religious Teaching,California
KOCN,105.1 FM,Pacific Grove,"iHM Licenses, LLC",Rhythmic oldies,California
KOCP,104.7 FM,Oxnard,"Gold Coast Broadcasting, LLC",Rhythmic oldies,California
KODS,103.7 FM,Carnelian Bay,"Americom, L.P.",Classic hits,California
KODV,89.1 FM,Barstow,"Ondas De Vida Network, Inc.",Spanish Contemporary Christian,California
KOFP-LP,103.3 FM,Fresno,Idefua Foundation for African Arts and Culture,Urban,California
KOGI-LP,97.7 FM,Big Pine,Big Pine Paiute Tribe of the Owens Valley,Variety,California
KOGO,600 AM,San Diego,"iHM Licenses, LLC",News/Talk,California
KOHL,89.3 FM,Fremont,Fremont-Newark Community College District,Top 40/CHR,California
KOHM,105.7 FM,Ridgecrest,Hispanic Target Media Inc.,Regional Mexican,California
KOIT,96.5 FM,San Francisco,Bonneville International Corporation,Adult contemporary,California
KOKO-FM,94.3 FM,Kerman,"Big Broadcasting, Inc",Rhythmic oldies,California
KOLA,99.9 FM,San Bernardino,Inland Empire Broadcasting Corp.,Classic hits,California
KOLS-LP,98.5 FM,Oakhurst,Radio Catholic,Catholic,California
KOMY,1340 AM,La Selva Beach,"Zwerling Broadcasting System, Ltd",Oldies,California
KRDA,92.1 FM,Clovis,"Univision Radio Illinois, Inc.",Spanish Adult hits,California
KORB,88.7 FM,Hopland,"One Ministries, Inc",Christian preaching,California
KORM-LP,101.5 FM,Corona,"Templo Nueva Vida, Inc.",Spanish Christian,California
KOSC,89.9 FM,Angwin,University of Southern California,Classical,California
KOSF,103.7 FM,San Francisco,"iHM Licenses, LLC",Classic hits,California
KOSJ,1490 AM,Santa Barbara,Rincon Broadcasting LS LLC,Spanish Adult hits,California
KOSO,92.9 FM,Patterson,"iHM Licenses, LLC",Country,California
KOSS,1380 AM,Lancaster,"High Desert Broadcasting, LLC",News/Talk,California
KOST,103.5 FM,Los Angeles,"iHM Licenses, LLC",Adult contemporary,California
KOWL,1490 AM,South Lake Tahoe,D&H Broadcasting LLC,News/Talk,California
KOWS-LP,92.5 FM,Occidental,KOWS Community Radio,Variety,California
KOXC-LP,107.9 FM,Oxnard,"Centro Evangelico Emmanuel, Inc.",Spanish Christian,California
KOXR,910 AM,Oxnard,"Lazer Licenses, LLC",Ranchero,California
KOXZ-LP,93.3 FM,Ventura,La Iglesia Cristiana de Oxnard,Spanish Religious,California
KOYO-LP,107.1 FM,Oroville,African American & Family Cultural Center,Variety,California
KOYT-LP,97.1 FM,Anza,Anza Community Broadcasting,Variety,California
KOZT,95.3 FM,Ft. Bragg,"California Radio Partners, Inc.",Rock,California
KPAT,95.7 FM,Orcutt,"AGM California, Inc.",Rhythmic contemporary,California
KPAY,1290 AM,Chico,"Deer Creek Broadcasting, LLC",News/Talk,California
KPAY-FM,93.9 FM,Chico,"Deer Creek Broadcasting, LLC",News/Talk,California
KPBS-FM,89.5 FM,San Diego,"The Board of Trustees, California State University",Public radio,California
KPCA-LP,103.3 FM,Petaluma,Petaluma Community Access,Variety,California
KPCC,89.3 FM,Pasadena,Pasadena Area Community College District,Public radio,California
KPCR-LP,101.9 FM,Santa Cruz,Central Coast Media Education Foundation,Variety,California
KPDO,89.3 FM,Pescadero,"Pescadero Public Radio Service, Inc.",Variety,California
KPEA-LP,96.1 FM,San Francisco,World Peace Through Technology Organization,Silent,California
KPEG-LP,100.9 FM,Lompoc,City of Lompoc,Variety,California
KPFA,94.1 FM,Berkeley,"Pacifica Foundation, Inc.",Public radio,California
KPFB,89.3 FM,Berkeley,"Pacifica Foundation, Inc.",Public radio,California
KPFK,90.7 FM,Los Angeles,"Pacifica Foundation, Inc.",Public radio,California
KPFN-LP,105.1 FM,Laytonville,Bella Opus Inc,Variety,California
KPFZ-FM,88.1 FM,Lakeport,Lake County Community Radio Inc,Variety,California
KPHD-LP,93.3 FM,Modesto,Central Valley Media Center Inc.,Variety,California
KPHT-LP,99.9 FM,Laytonville,"Long Valley Communications, Inc.",Variety,California
KPIG-FM,107.5 FM,Freedom,"SMG-Monterey, LLC",Freeform Rock,California
KPJP,89.3 FM,Greenville,"Relevant Radio, Inc.",Catholic,California
KPKW,90.3 FM,Susanville,"Relevant Radio, Inc.",Catholic,California
KPLM,106.1 FM,Palm Springs,R M Broadcasting L.L.C.,Country,California
KPMO,1300 AM,Mendocino,Southern Oregon University,Public radio,California
KPOD,1240 AM,Crescent City,"Bicoastal Media Licenses II, LLC",News/Talk,California
KPOD-FM,97.9 FM,Crescent City,"Bicoastal Media Licenses II, LLC",Country,California
KPOO,89.5 FM,San Francisco,"Poor People's Radio, Inc.",Variety,California
KPPQ-LP,104.1 FM,Ventura,Community Access Partners of San Buenaventura,Variety,California
KPQS,106.7 FM,Waterford,Hispanic Target Media Inc.,Regional Mexican,California
KPQW,106.3 FM,Willows,Hispanic Target Media Inc.,Regional Mexican,California
KPRA,89.5 FM,Ukiah,"Family Stations, Inc.",Christian radio (Family Radio),California
KPRC-FM,100.7 FM,Salinas,"iHM Licenses, LLC",Spanish Adult hits,California
KPRI,91.3 FM,Pala,Pala Band of Mission Indians,Variety,California
KPRL,1230 AM,Paso Robles,"North County Communications, LLC",News/Talk,California
KPRX,89.1 FM,Bakersfield,"White Ash Broadcasting, Inc.",Public radio,California
KPRZ,1210 AM,San Marcos-Poway,"New Inspiration Broadcasting Company, Inc.",Christian radio,California
KPSC,88.5 FM,Palm Springs,University of Southern California,Classical,California
KPSF,1200 AM,Cathedral City,"CRC Media West, LLC, Debtor in Possession",Silent,California
KPSH,90.9 FM,Coachella,"Family Worship Center Church, Inc.",Christian radio,California
KPSI-FM,100.5 FM,Palm Springs,Alpha Media Licensee LLC,Hot AC,California
KPSL-FM,96.5 FM,Bakersfield,Lotus Bakersfield Corp.,Regional Mexican,California
KPST-FM,103.5 FM,Coachella,"Entravision Holdings, LLC",Bilingual Rhythmic CHR,California
KPSV-FM,91.9 FM,Tulare,South Valley Peace Center,Variety,California
KPTG-LP,107.1 FM,Adelanto,Calvary Chapel Victor Valley d/b/a Calvary Chapel Adelanto,Religious Teaching,California
KPTL-LP,96.9 FM,Temecula,Calvary Chapel Bible Fellowship,Christian,California
KPWK,1350 AM,San Bernardino,"iHM Licenses, LLC",Sports (FSR),California
KPWR,105.9 FM,Los Angeles,"KWHY-22 Broadcasting, LLC",Rhythmic contemporary,California
KPYG,94.9 FM,Cayucos,Dimes Media Corporation,Freeform Rock,California
KPYV,1340 AM,Oroville,"Radio Santisimo Sacramento, Inc.",Spanish Catholic,California
KQAV,93.5 FM,Rosamond,High Desert Broadcasting LLC,Urban oldies,California
KQBH-LP,101.5 FM,Los Angeles,Boyle Heights Arts Conservatory,NA,California
KQBM,90.7 FM,San Andreas,Blue Mountain Coalition for Youth and Families,Variety,California
KQBM-LP,103.7 FM,West Point,Harry Amyotte Memorial Music Fund,Variety,California
KQEA-LP,96.9 FM,San Francisco Sunset,Chinese Culture and Art Heritage Foundation,Ethnic/Chinese,California
KQEB-LP,96.9 FM,San Francisco,"Sound of Hope Radio Network, Inc.",Ethnic/Chinese,California
KQED-FM,88.5 FM,San Francisco,"Northern California Public Broadcasting, Inc.",Public radio,California
KQEI-FM,89.3 FM,North Highlands,"KQED, Inc.",Public radio,California
KQEQ,1210 AM,Fowler,Akal Broadcasting Corporation,World Ethnic,California
KQEV-LP,104.7 FM,Walnut,Chinese Sound of Oriental and West Heritage,Ethnic/Chinese,California
KQIE,104.7 FM,Redlands,LC Media LP,Rhythmic oldies,California
KQIP-LP,107.1 FM,Chico,Calvary Chapel of Chico,Christian radio,California
KQKZ,92.1 FM,Bakersfield,Lotus Bakersfield Corp.,Classic hits,California
KQLB,106.9 FM,Los Banos,"VLB Broadcasting, Inc.",Regional Mexican,California
KQLH-LP,92.5 FM,Yucaipa,Arrowhead Alliance of the Inland Empire,Nostalgia,California
KQMS,1670 AM,Redding,"SMG-Redding, LLC",News/Talk,California
KQMX,105.7 FM,Lost Hills,Deportes y Musica Comunicaciones LLC,Regional Mexican,California
KQNC,88.1 FM,Quincy,"California State University, Sacramento",Public radio,California
KQNY,91.9 FM,Quincy,Plumas Community Radio,Variety,California
KQOD,100.1 FM,Stockton,"iHM Licenses, LLC",Rhythmic oldies,California
KQPM,105.9 FM,Ukiah,"Bicoastal Media Licenses, LLC",Country,California
KQPS,103.1 FM,Palm Desert,"Audacy License, LLC",LGBTQ talk/EDM,California
KQPT-LP,106.1 FM,Sacramento,Sacramento Area Peace Action,Variety,California
KQRU-LP,107.9 FM,Santa Clarita,White Fox Horse Rescue,Variety,California
KQSG-LP,101.5 FM,El Monte,The Emperor's Circle of Shen Yun,Ethnic/Chinese,California
KQTE,1450 AM,Helendale,Jeff Chang,Sports (ESPN),California
KQVO,97.7 FM,Calexico,"State of California, San Diego State University",Public radio,California
KRAB,106.1 FM,Greenacres,"iHM Licenses, LLC",Alternative rock,California
KRAC,1370 AM,Red Bluff,"Independence Rock Media, LLC",News/Talk,California
KRAJ,100.9 FM,Johannesburg,"Adelman Broadcasting, Inc.",Rhythmic contemporary,California
KRAQ-LP,100.1 FM,Rancho Mirage,Cadena Radial Mision y Vision,Spanish Religious,California
KRAY-FM,103.5 FM,Salinas,"California Ortiz & 2 Media, LLC",Regional Mexican,California
KRAZ,105.9 FM,Santa Ynez,"Knight Broadcasting, Inc.",Country,California
KRBH-LP,93.1 FM,Red Bluff,Red Bluff Joint Union High School District,Variety,California
KRBN,94.3 FM,Manton,"Jab Broadcasting, LLC",Silent,California
KRBQ,102.1 FM,San Francisco,"Audacy License, LLC",Classic hip hop,California
KRCB-FM,104.9 FM,Rohnert Park,Rural California Broadcasting Corporation,Public radio,California
KRCD,103.9 FM,Inglewood,"Univision Radio Illinois, Inc.",Spanish Adult hits,California
KRCG-FM,91.1 FM,Santa Rosa,Rural California Broadcasting Corp.,Public radio,California
KRCK-FM,97.7 FM,Mecca,Major Market Radio LLC - Debtor in Possession,Christian radio (VCY America),California
KRCV,98.3 FM,West Covina,"Univision Radio Illinois, Inc.",Spanish Adult hits,California
KRCX-FM,99.9 FM,Marysville,"Entravision Holdings, LLC",Regional Mexican,California
KOND,107.5 FM,Hanford,"Univision Radio Illinois, Inc.",Regional Mexican,California
KRDC,1110 AM,Pasadena,"ABC Radio Los Angeles Assets, LLC",Sports (ESPN),California
KRDG,105.3 FM,Shingletown,"SMG-Redding, LLC",Classic hits,California
KRDU,1130 AM,Dinuba,"iHM Licenses, LLC",Christian radio,California
KRDW-LP,107.3 FM,Smith River,Calvary Chapel of the Redwoods,Christian radio,California
KRED,92.3 FM,Eureka,"Bicoastal Media Licenses II, LLC",Country,California
KREV,92.7 FM,Alameda,Golden State Broadcasting LLC - Debtor in Possession,Silent,California
KRFH-LP,105.1 FM,Arcata,Humboldt State University,Adult alternative,California
KRGR-LP,101.3 FM,Paradise,"Golden Feather Ministries, Inc.",Christian radio (LifeTalk Radio),California
KRHM-LP,103.5 FM,Bakersfield,"Pentecostal Church of God, I.M. Iorpca",Spanish Christian,California
KRHQ,102.3 FM,Indio,R M Broadcasting L.L.C.,Classic rock,California
KRHV,93.3 FM,Big Pine,David A. And Maryann M. Digerness,Classic rock,California
KRJF-LP,92.3 FM,Santa Rosa,Redwood Justice Fund,Variety,California
KRJK,97.3 FM,Lamont,"Buck Owens Production Company, Incorporated",Country,California
KRKC,1490 AM,King City,Dimes Media Corporation,Country,California
KRKC-FM,102.1 FM,King City,Dimes Media Corporation,Hot AC,California
KRLA,870 AM,Glendale,"New Inspiration Broadcasting Company, Inc.",News/Talk,California
KRLT,93.9 FM,South Lake Tahoe,D&H Broadcasting LLC,Adult Top 40,California
KRLY-LP,107.9 FM,Alpine,"East County Broadcasting, Inc.",Country,California
KRML,1410 AM,Carmel,"KRML Radio, LLC",Adult album alternative,California
KROJ-LP,101.5 FM,Panorama City,Ballet Folklorico Ollin,NA,California
KROP,1300 AM,Brawley,"The Voice of International Christian Evangelism, Inc.",Silent,California
KROQ-FM,106.7 FM,Pasadena,"Audacy License, LLC",Alternative rock,California
KROV,91.1 FM,Oroville,Bird Street Media Project,Variety,California
KRPU,1210 AM,Rocklin,"DABAJ, LLC",Punjabi Music,California
KRQB,96.1 FM,San Jacinto,LBI Radio License LLC,Regional Mexican,California
KRQK,100.3 FM,Lompoc,"AGM California, Inc.",Regional Mexican,California
KRQL-LP,104.7 FM,Santa Ana,Centro Cultural de Mexico en el Condado de Orange,Spanish Variety,California
KRQR,106.7 FM,Orland,"Results Radio of Chico Licensee, LLC",Active rock,California
KRQZ,91.5 FM,Lompoc,"Spirit Communications, Inc.",Christian Hits,California
