subcategory,rank,year,name,show,affiliation,title
"Television Program, on Location",Nominee,2014,Laurie Donnelly,NA,PBS,Lidia Celebrates America: Freedom and Independence
"Television Program, on Location",Winner,2014,Anthony Bourdain,NA,PBS,The Mind of a Chef
"Video Webcast, Fixed Location and/or Instructional",Winner,2014,Eric Slatkin,NA,youtube.com/tastemade,Thirsty For ...
"Television Program, on Location",Winner,2014,Joseph Caterini,NA,The Mind of a Chef,NA
Radio Show,Winner,2014,Ben Calhoun,NA,Public Radio,This American Life
"Television Program, on Location",Nominee,2014,Shelly Burgess Nicotra,NA,PBS,Lidia Celebrates America: Freedom and Independence
Television Segment,Nominee,2014,Martha A. Teichner,NA,CBS,CBS Sunday Morning
"Television Program, in Studio or Fixed Location",Nominee,2014,Shelly Burgess Nicotra,NA,Food Network,Heartland Table
Special/Documentary (Television or Video Webcast),Nominee,2014,Charles Osgood,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and be Merry"""
"Video Webcast, Fixed Location and/or Instructional",Nominee,2014,Upwave,NA,upwave.com,Upwave Eat Videos
"Television Program, on Location",Winner,2014,Michael Steed,NA,PBS,The Mind of a Chef
"Video Webcast, On Location",Nominee,2014,Clyde Burley,NA,darkrye.com,Dark Rye
Television Segment,Nominee,2014,Tom Foreman,NA,CNN and CNN.com,American Journey
"Video Webcast, Fixed Location and/or Instructional",Nominee,2014,Jamie Tiampo,NA,upwave.com,Upwave Eat Videos
Radio Show,Nominee,2014,Kathy Gunst,NA,Public Radio,Here & Now
Outstanding Personality/Host,Nominee,2013,Sara Moulton,NA,PBS,Sara's Weeknight Meals
Outstanding Personality/Host,Winner,2013,Andrew Zimmern,NA,Travel Channel,Bizarre Foods America
"Television Program, on Location",Winner,2013,Michael Steed,NA,PBS,The Mind of a Chef
"Television Program, on Location",Nominee,2013,Christopher Collins,NA,Sportsman Channel,MeatEater
"Television Program, on Location",Nominee,2013,Joseph Caterini,NA,Sportsman Channel,MeatEater
"Television Program, on Location",Nominee,2013,Craig Shepherd,NA,Sportsman Channel,MeatEater
"Television Program, on Location",Nominee,2013,Jared Andrukanis,NA,Sportsman Channel,MeatEater
"Television Program, on Location",Nominee,2013,Lydia Tenaglia,NA,Sportsman Channel,MeatEater
"Video Webcast, On Location",Nominee,2013,food. curated.,NA,foodcurated.com,food. curated.
"Television Program, on Location",Nominee,2013,Colleen Needles Steward,NA,Travel Channel,Bizarre Foods America
"Television Program, on Location",Nominee,2013,Steven Rinella,NA,Sportsman Channel,MeatEater
"Television Program, on Location",Winner,2013,Anthony Bourdain,NA,PBS,The Mind of a Chef
"Television Program, in Studio or Fixed Location",Nominee,2013,Natalie Gustafson,NA,PBS,Sara's Weeknight Meals
Television Segment,Winner,2013,"Friday Arts, Art of Food",NA,WHYY TV,"Friday Arts, Art of Food"
"Television Program, on Location",Nominee,2013,Andrew Zimmern,NA,Travel Channel,Bizarre Foods America
"Television Program, on Location",Winner,2013,Jonathan Cianfrani,NA,PBS,The Mind of a Chef
"Television Program, in Studio or Fixed Location",Nominee,2013,Christina Deyo,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Winner,2013,Robin Sanders,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
"Television Program, in Studio or Fixed Location",Nominee,2013,Martha Stewart,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Nominee,2013,Greta Anthony,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Nominee,2013,Michael Morrison,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Winner,2013,Rand Morrison,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
"Television Program, in Studio or Fixed Location",Winner,2013,Amy Rosner,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
"Television Program, in Studio or Fixed Location",Winner,2013,Jason Sacca,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
"Television Program, in Studio or Fixed Location",Nominee,2013,Olivia Schneider,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Nominee,2013,Natalie Gustafson,NA,PBS,Sara's Weeknight Meals
Radio Show,Nominee,2013,Alison Richards,NA,npr.org/blogs/thesalt,The Salt
"Television Program, on Location",Nominee,2013,Andrew Zimmern,NA,Travel Channel,Bizarre Foods America
"Television Program, on Location",Nominee,2013,Steven Rinella,NA,Sportsman Channel,MeatEater
"Video Webcast, On Location",Winner,2013,Mirra Fine,NA,theperennialplate.com,The Perennial Plate: Real Food World Tour
"Video Webcast, On Location",Winner,2013,Daniel Klein,NA,theperennialplate.com,The Perennial Plate: Real Food World Tour
"Video Webcast, On Location",Nominee,2013,Kelly LeCastre,NA,darkrye.com,The Curious Adventures of Kirk Lombard
"Video Webcast, On Location",Nominee,2013,Kirk Lombard,NA,darkrye.com,The Curious Adventures of Kirk Lombard
"Video Webcast, Fixed Location and/or Instructional",Nominee,2013,Matt Duckor,NA,bonappetit.com,The Seasonal Cooks
"Video Webcast, Fixed Location and/or Instructional",Nominee,2013,Christopher Hirsheimer,NA,bonappetit.com,The Seasonal Cooks
"Video Webcast, Fixed Location and/or Instructional",Nominee,2013,Melissa Hamilton,NA,bonappetit.com,The Seasonal Cooks
"Television Program, on Location",Nominee,2013,Jared Andrukanis,NA,Sportsman Channel,MeatEater
"Video Webcast, Fixed Location and/or Instructional",Winner,2013,Noah Rothbaum,NA,youtube.com/liquor,How to Cocktail
Radio Show,Nominee,2013,Allison Aubrey,NA,npr.org/blogs/thesalt,The Salt
"Video Webcast, Fixed Location and/or Instructional",Winner,2013,Scott Kritz,NA,youtube.com/liquor,How to Cocktail
"Television Program, on Location",Nominee,2013,Craig Shepherd,NA,Sportsman Channel,MeatEater
"Video Webcast, Fixed Location and/or Instructional",Winner,2013,Kit Codik,NA,youtube.com/liquor,How to Cocktail
"Television Program, on Location",Winner,2013,Anthony Bourdain,NA,PBS,The Mind of a Chef
"Video Webcast, Fixed Location and/or Instructional",Nominee,2013,Julie MacMillan,NA,jmpurepastry.com,"The Chicago Restaurant Pastry Competition, Season One"
"Video Webcast, Fixed Location and/or Instructional",Nominee,2013,Jimmy MacMillan,NA,jmpurepastry.com,"The Chicago Restaurant Pastry Competition, Season One"
"Video Webcast, Fixed Location and/or Instructional",Nominee,2013,Daniel Kullman,NA,jmpurepastry.com,"The Chicago Restaurant Pastry Competition, Season One"
"Video Webcast, Fixed Location and/or Instructional",Nominee,2013,Nicolas DeGrazia,NA,jmpurepastry.com,"The Chicago Restaurant Pastry Competition, Season One"
Television Segment,Nominee,2013,Eric Marrapodi,NA,CNN,CNN InFocus
Television Segment,Nominee,2013,Dan Lothian,NA,CNN,CNN InFocus
Television Segment,Nominee,2013,Kat Kinsman,NA,CNN,CNN InFocus
Television Segment,Nominee,2013,Jeremy Harlan,NA,CNN,CNN InFocus
Television Segment,Nominee,2013,Badriyyah Waheed,NA,WLS-TV (ABC 7) Chicago,The Hungry Hound
Television Segment,Nominee,2013,Steve Dolinsky,NA,WLS-TV (ABC 7) Chicago,The Hungry Hound
Television Segment,Winner,2013,Monica Rogozinski,NA,WHYY TV,"Friday Arts, Art of Food"
Television Segment,Nominee,2013,Tom Foreman,NA,CNN,CNN InFocus
Special/Documentary (Television or Video Webcast),Winner,2013,Roger Sherman,NA,PBS,The Restaurateur
Outstanding Personality/Host,Nominee,2013,Gerry Garvin,NA,Cooking Channel,Road Trip With G. Garvin
Special/Documentary (Television or Video Webcast),Nominee,2013,Yul Kwon,NA,PBS,America Revealed: Food Machine
Special/Documentary (Television or Video Webcast),Nominee,2013,Greg Roden,NA,PBS,Food Forward: Urban Agriculture Across America
Special/Documentary (Television or Video Webcast),Nominee,2013,Stett Holbrook,NA,PBS,Food Forward: Urban Agriculture Across America
Special/Documentary (Television or Video Webcast),Nominee,2013,Nic Young,NA,PBS,America Revealed: Food Machine
Special/Documentary (Television or Video Webcast),Nominee,2013,Antony Tackaberry,NA,PBS,America Revealed: Food Machine
Special/Documentary (Television or Video Webcast),Nominee,2013,Amy Goodman Kass,NA,PBS,America Revealed: Food Machine
Special/Documentary (Television or Video Webcast),Nominee,2013,Ruth Johnston,NA,PBS,America Revealed: Food Machine
Special/Documentary (Television or Video Webcast),Nominee,2013,Nick Catliff,NA,PBS,America Revealed: Food Machine
"Television Program, in Studio or Fixed Location",Nominee,2013,Michael Morrison,NA,PBS,Martha Stewart's Cooking School
Special/Documentary (Television or Video Webcast),Nominee,2013,Christopher Bryson,NA,PBS,America Revealed: Food Machine
"Television Program, in Studio or Fixed Location",Nominee,2013,Martha Stewart's Cooking School,NA,PBS,Martha Stewart's Cooking School
"Video Webcast, On Location",Nominee,2013,Liza Deguia,NA,foodcurated.com,food. curated.
"Television Program, in Studio or Fixed Location",Nominee,2013,Olivia Schneider,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Nominee,2013,Martha Stewart,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Winner,2013,Robin Sanders,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
"Video Webcast, On Location",Winner,2013,The Perennial Plate: Real Food World Tour,NA,theperennialplate.com,The Perennial Plate: Real Food World Tour
"Television Program, in Studio or Fixed Location",Nominee,2013,Christina Deyo,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Nominee,2013,Lisa Wagner,NA,PBS,Martha Stewart's Cooking School
"Television Program, in Studio or Fixed Location",Nominee,2013,Greta Anthony,NA,PBS,Martha Stewart's Cooking School
"Video Webcast, On Location",Nominee,2013,The Curious Adventures of Kirk Lombard,NA,darkrye.com,The Curious Adventures of Kirk Lombard
Radio Show,Winner,2013,Fear of Frying: Culinary Nightmares,NA,WBEZ,Fear of Frying
"Television Program, in Studio or Fixed Location",Winner,2013,Rand Morrison,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
Television Segment,Nominee,2013,CNN InFocus,NA,CNN,CNN InFocus
Television Segment,Nominee,2013,The Hungry Hound,NA,WLS-TV (ABC 7) Chicago,The Hungry Hound
"Video Webcast, Fixed Location and/or Instructional",Winner,2013,How to Cocktail,NA,youtube.com/liquor,How to Cocktail
"Video Webcast, Fixed Location and/or Instructional",Nominee,2013,The Seasonal Cooks,NA,bonappetit.com,The Seasonal Cooks
"Video Webcast, Fixed Location and/or Instructional",Nominee,2013,"The Chicago Restaurant Pastry Competition, Season One",NA,jmpurepastry.com,"The Chicago Restaurant Pastry Competition, Season One"
"Television Program, in Studio or Fixed Location",Winner,2013,Charles Osgood,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
"Television Program, in Studio or Fixed Location",Winner,2013,Amol Mhatre,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
"Television Program, in Studio or Fixed Location",Nominee,2013,Sara Moulton,NA,PBS,Sara's Weeknight Meals
"Television Program, on Location",Nominee,2013,MeatEater,NA,Sportsman Channel,MeatEater
"Television Program, in Studio or Fixed Location",Winner,2013,Amy Rosner,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
"Television Program, on Location",Winner,2013,The Mind of a Chef,NA,PBS,The Mind of a Chef
"Television Program, in Studio or Fixed Location",Winner,2013,Jason Sacca,NA,CBS,"CBS Sunday Morning: ""Eat, Drink and Be Merry"""
"Television Program, on Location",Nominee,2012,Nick Brigden,NA,Travel Channel,The Wild Within
"Television Program, on Location",Nominee,2012,Travis Shakespeare,NA,Travel Channel,The Wild Within
"Television Program, on Location",Nominee,2012,Joseph Caterini,NA,Travel Channel,The Wild Within
"Television Program, on Location",Nominee,2012,Walter Staib,NA,PBS,A Taste of History
"Television Program, on Location",Nominee,2012,Steven Rinella,NA,Travel Channel,The Wild Within
"Television Program, on Location",Nominee,2012,Craig Shepherd,NA,Travel Channel,The Wild Within
"Television Program, on Location",Nominee,2012,Lydia Tenaglia,NA,Travel Channel,The Wild Within
"Television Program, in Studio or Fixed Location",Nominee,2012,Jacques Pépin,NA,PBS,Essential Pepin
Radio Show,Nominee,2012,Dan Pashman,NA,The Sporkful,NA
Radio Show,Nominee,2012,Mark Garrison,NA,The Sporkful,NA
"Television Program, in Studio or Fixed Location",Nominee,2012,Tina Salter,NA,PBS,Essential Pepin
"Television Program, in Studio or Fixed Location",Nominee,2012,Ming Tsai,NA,PBS,Simply Ming
Radio Show,Nominee,2012,Alex Salomon,NA,WBEZ,From Bread Lines to Revolution: The Role of Food in the Arab Uprisings
Radio Show,Nominee,2012,Joe Linstroth,NA,WBEZ,From Bread Lines to Revolution: The Role of Food in the Arab Uprisings
Radio Show,Nominee,2012,Jerome McDonnell,NA,WBEZ,From Bread Lines to Revolution: The Role of Food in the Arab Uprisings
Television Segment,Winner,2012,CBS News Sunday Morning,NA,CBS,CBS News Sunday Morning
Video Webcast,Winner,2012,EatTV With Jamie Tiampo,NA,Eattv.com,EatTV With Jamie Tiampo
"Television Program, in Studio or Fixed Location",Nominee,2012,Laurie Donnelly,NA,PBS,Simply Ming
Radio Show,Winner,2012,Fear of Frying: Culinary Nightmares,NA,WBEZ-Chicago,Fear of Frying: Culinary Nightmares
Special/Documentary (Television or Video Webcast),Winner,2012,A Matter of Taste: Serving Up Paul Liebrandt,NA,HBO,A Matter of Taste: Serving Up Paul Liebrandt
"Television Program, on Location",Nominee,2012,"Multi Media Productions, Inc.",NA,PBS,A Taste of History
"Television Program, on Location",Winner,2012,Bizarre Foods with Andrew Zimmern,NA,Travel Channel,Bizarre Foods with Andrew Zimmern
"Television Show, In Studio or Fixed Location",Winner,2012,Chopped,NA,Food Network,Chopped
"Television Program, in Studio or Fixed Location",Winner,2012,Ted Allen,NA,Food Network,Chopped
"Television Program, in Studio or Fixed Location",Winner,2012,Linda Lea,NA,Food Network,Chopped
"Television Program, in Studio or Fixed Location",Winner,2012,Dave Noll,NA,Food Network,Chopped
"Television Program, on Location",Winner,2012,Andrew Zimmern,NA,Travel Channel,Bizarre Foods with Andrew Zimmern
"Television Program, in Studio or Fixed Location",Winner,2012,Vivian Sorenson,NA,Food Network,Chopped
Radio Show,Winner,2012,Nina Barrett,NA,WBEZ-Chicago,Fear of Frying: Culinary Nightmares
Radio Show,Winner,2012,Jason Marck,NA,WBEZ-Chicago,Fear of Frying: Culinary Nightmares
Media Personality/Host (Television or Video Webcast),Nominee,2012,Sara Moulton,NA,PBS,Sara's Weeknight Meals
Video Webcast,Nominee,2012,Lyn Jenkins,NA,Paul Willis,NA
Video Webcast,Nominee,2012,Sarah Rosenberg,NA,Paul Willis,NA
Video Webcast,Nominee,2012,Lisa Mosquito de Guia,NA,Foodcurated.com,Food. Curated.
"Television Program, on Location",Nominee,2012,Lydia Tenaglia,NA,Travel Channel,The Wild Within
"Television Program, on Location",Nominee,2012,Craig Shepherd,NA,Travel Channel,The Wild Within
"Television Program, on Location",Nominee,2012,Steven Rinella,NA,Travel Channel,The Wild Within
"Television Program, on Location",Nominee,2012,Walter Staib,NA,PBS,A Taste of History
Radio Show,Winner,2012,Nina Barrett,NA,WBEZ-Chicago,Fear of Frying: Culinary Nightmares
Radio Show,Winner,2012,Jason Marck,NA,WBEZ-Chicago,Fear of Frying: Culinary Nightmares
Television Segment,Nominee,2012,Neal Karlinsky,NA,ABC,ABC News Nightline
Television Segment,Nominee,2012,Sarah Rosenberg,NA,ABC,ABC News Nightline
Television Segment,Nominee,2012,Steve Dolinsky,NA,WLS-TV (ABC7) Chicago,The Hungry Hound
Television Segment,Nominee,2012,Badriyyah Waheed,NA,WLS-TV (ABC7) Chicago,The Hungry Hound
Television Segment,Winner,2012,Edward Forgotson,NA,CBS,CBS News Sunday Morning
Television Segment,Winner,2012,Patrick Lee,NA,CBS,CBS News Sunday Morning
Television Segment,Winner,2012,David Small,NA,CBS,CBS News Sunday Morning
Special/Documentary (Television or Video Webcast),Winner,2012,Alan Oxman,NA,HBO,A Matter of Taste: Serving Up Paul Liebrandt
Special/Documentary (Television or Video Webcast),Winner,2012,Rachel Mills,NA,HBO,A Matter of Taste: Serving Up Paul Liebrandt
Special/Documentary (Television or Video Webcast),Winner,2012,Sally Rowe,NA,HBO,A Matter of Taste: Serving Up Paul Liebrandt
Television Segment,Winner,2012,Jon Carras,NA,CBS,CBS News Sunday Morning
Television Segment,Winner,2012,Lauren Barnello,NA,CBS,CBS News Sunday Morning
"Television Program, on Location",Winner,2012,Bizarre Foods with Andrew Zimmern,NA,Travel Channel,Bizarre Foods with Andrew Zimmern
"Television Show, In Studio or Fixed Location",Winner,2012,Chopped,NA,Food Network,Chopped
Special/Documentary (Television or Video Webcast),Nominee,2012,Joshua Seftel,NA,PBS,Lidia Celebrates America: Holiday Tables and Traditions
Television Segment,Winner,2012,Martha A. Teichner,NA,CBS,CBS News Sunday Morning
"Television Program, in Studio or Fixed Location",Nominee,2012,Laurie Donnelly,NA,PBS,Simply Ming
"Television Program, in Studio or Fixed Location",Nominee,2012,Ming Tsai,NA,PBS,Simply Ming
"Television Program, on Location",Nominee,2012,"Multi Media Productions, Inc.",NA,PBS,A Taste of History
"Television Program, in Studio or Fixed Location",Nominee,2012,Tina Salter,NA,PBS,Essential Pepin
Audio Webcast or Radio Show,Winner,2011,Susan Mahoney,NA,Canada and Online,"CBC Ideas: ""Pasta: The Long and Short of It"""
TV Special/Documentary,Nominee,2011,Jim Brennan,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Vermont
"Television Program, on Location",Nominee,2011,Andrew Zimmern,NA,Travel Channel,Bizarre Foods with Andrew Zimmern
"Television Program, on Location",Nominee,2011,Jeanne Begley,NA,Food Network,Ace of Cakes
"Television Program, in Studio or Fixed Location",Winner,2011,Tom Colicchio,NA,Bravo,Top Chef: Season 7
TV Special/Documentary,Nominee,2011,Emeril Lagasse,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Vermont
TV Special/Documentary,Nominee,2011,Elina Brown,NA,Planet Green,Emeril Green: Emeril's Culinary Adventure: Vermont
