subcategory,rank,year,name,title,publisher
Healthy Focus,Nominee,2011,Terry Walters,Clean Start: Inspiring You to Eat Clean and Live Well,(Sterling/Epicure)
Beverage,Nominee,2011,DK Publishing,Opus Vino,(DK Publishing)
Baking & Desserts,Nominee,2011,Fany Gerson,"My Sweet Mexico: Recipes For Authentic Pastries, Breads, Candies, Beverages, and Frozen Treats",(Ten Speed Press)
Baking & Desserts,Nominee,2011,Sarabeth Levine,Sarabeth's Bakery: From My Hands to Yours,(Rizzoli New York)
Photography,Winner,2011,Massimo Bottura,Noma: Time and Place in Nordic Cuisine,(Phaidon Press)
Reference and Scholarship,Nominee,2011,Faith D'Aluisio,What I Eat: Around the World in 80 Diets,(Material World Books/Ten Speed Press)
American Cooking,Nominee,2011,Peter Meehan,The Frankies Spuntino Kitchen Companion & Cooking Manual,(Artisan)
General Cooking,Nominee,2011,Rozanne Gold,Radically Simple: Brilliant Flavors With Breathtaking Ease,(Rodale)
Single Subject,Nominee,2011,Deborah Krasner,Good Meat: the Complete Guide to Sourcing and Cooking Sustainable Meat,"(Stewart, Tabori & Chang)"
Healthy Focus,Winner,2011,Jessie Price,The Simple Art of EatingWell Cookbook,(The Countryman Press)
American Cooking,Nominee,2011,Frank Castronovo,The Frankies Spuntino Kitchen Companion & Cooking Manual,(Artisan)
Writing and Literature,Nominee,2011,Andrew Rimas,"Empires of Food: Feast, Famine, and the Rise and Fall of Civilizations",(Free Press)
Beverage,Nominee,2011,Terry Theise,Reading Between the Wines,(University of California Press)
American Cooking,Winner,2011,James Villas,Pig: King of the Southern Table,(John Wiley & Sons)
Single Subject,Nominee,2011,Mark Scarborough,Ham: an Obsession With the Hindquarter,"(Stewart, Tabori & Chang)"
Photography,Nominee,2011,Eric Wolfinger,Tartine Bread,(Chronicle Books)
General Cooking,Winner,2011,Amanda Hesser,The Essential New York Times Cookbook: Classic Recipes for a New Century,(W.W. Norton & Company)
Cooking from a Professional point of view,Nominee,2011,Francisco Migoya,The Modern Cafe,(John Wiley & Sons)
Cooking from a Professional point of view,Winner,2011,Rene Redzepi,Noma: Time and Place in Nordic Cuisine,(Phaidon Press)
Beverage,Winner,2011,Rajat Parr,Secrets of the Sommeliers: How to Think and Drink Like the Word's Top Wine Professionals,(Ten Speed Press)
Photography,Nominee,2011,Nancy Singleton Hachisu,The Blue Chair Jam Cookbook,(Andrews McMeel Publishing)
Baking & Desserts,Winner,2011,Kimberly Boyce,Good to the Grain: Baking With Whole-Grain Flours,"(Stewart, Tabori & Chang)"
Reference and Scholarship,Winner,2011,Mark Bitterman,"Salted: a Manifesto On the World's Most Essential Mineral, With Recipes",(Ten Speed Press)
Single Subject,Nominee,2011,Bruce Weinstein,Ham: an Obsession With the Hindquarter,"(Stewart, Tabori & Chang)"
Healthy Focus,Nominee,2011,Martha Rose Shulman,The Very Best Recipes For Health: 250 Recipes and More From the Popular Feature On NYTimes.com,(Rodale)
Healthy Focus,Nominee,2010,Jessie Price,EatingWell Comfort Foods Made Healthy,(The Countryman Press)
Single Subject,Nominee,2010,Eugenia Bone,Well-Preserved: Recipes and Techniques For Putting Up Small Batches of Seasonal Foods,(Clarkson Potter)
Cooking from a Professional point of view,Winner,2010,Judith Choate,The Fundamental Techniques of Classic Pastry Arts,"(Stewart, Tabori & Chang)"
Baking & Desserts,Winner,2010,James Peterson,Baking,(Ten Speed Press)
Cooking from a Professional point of view,Nominee,2010,David Chang,Momofuku,(Clarkson Potter)
American Cooking,Nominee,2010,Ted Lee,The Lee Bros. Simple Fresh Southern: Knockout Dishes With Down-Home Flavor,(Clarkson Potter)
General Cooking,Nominee,2010,Catherine Young,"Salt to Taste: the Keys to Confident, Delicious Cooking",(Rodale)
American Cooking,Nominee,2010,Matt Lee,The Lee Bros. Simple Fresh Southern: Knockout Dishes With Down-Home Flavor,(Clarkson Potter)
Cooking from a Professional point of view,Nominee,2010,James Walt,Araxi: Seasonal Recipes From the Celebrated Whistler Restaurant,(Douglas & McIntyre)
International,Nominee,2010,Eileen Yin-Fei Lo,Mastering the Art of Chinese Cooking,(Chronicle Books)
Baking & Desserts,Nominee,2010,Raquel Pelzel,"DamGoodSweet: Desserts to Satisfy Your Sweet Tooth, New Orleans Style","(The Taunton Press, Inc.)"
General Cooking,Nominee,2010,Marco Canora,"Salt to Taste: the Keys to Confident, Delicious Cooking",(Rodale)
International,Nominee,2010,Lidia Bastianich,Lidia Cooks From the Heart of Italy,(Alfred A. Knopf)
General Cooking,Nominee,2010,Judith A. Jones,The Pleasures of Cooking For One,(Alfred A. Knopf)
Reference and Scholarship,Winner,2010,Oretta Zanini de Vita,Encyclopedia of Pasta,(University of California Press)
Baking & Desserts,Nominee,2010,Peter Reinhart,Peter Reinhart's Artisan Breads Every Day,(Ten Speed Press)
Cooking from a Professional point of view,Winner,2010,Judith Choate,The Fundamental Techniques of Classic Pastry Arts,"(Stewart, Tabori & Chang)"
Cooking from a Professional point of view,Winner,2010,The International Culinary Center,The Fundamental Techniques of Classic Pastry Arts,"(Stewart, Tabori & Chang)"
Cookbook Hall of Fame,Winner,2010,Claudia Roden,A Book of Middle Eastern Food,NA
Writing and Literature,Nominee,2010,Terra Brockman,The Seasons On Henry's Farm: A Year of Food and Life On a Sustainable Farm,(Agate Surrey)
Healthy Focus,Nominee,2010,The Editors of EatingWell,EatingWell Comfort Foods Made Healthy,(The Countryman Press)
Healthy Focus,Winner,2010,Anna Thomas,"Love Soup: 160 All-New Vegetarian Recipes From the Author of the ""Vegetarian Epicure""",(W.W. Norton & Company)
Cookbook of the Year,Winner,2010,Colman Andrews,The Country Cooking of Ireland,(Chronicle Books)
Baking & Desserts,Nominee,2010,David Guas,"DamGoodSweet: Desserts to Satisfy Your Sweet Tooth, New Orleans Style","(The Taunton Press, Inc.)"
Cooking from a Professional point of view,Nominee,2010,James Walt,Araxi: Seasonal Recipes From the Celebrated Whistler Restaurant,(Douglas & McIntyre)
Single Subject,Nominee,2010,Eugenia Bone,Well-Preserved: Recipes and Techniques For Putting Up Small Batches of Seasonal Foods,(Clarkson Potter)
International,Winner,2010,Colman Andrews,The Country Cooking of Ireland,(Chronicle Books)
General Cooking,Winner,2010,Dave Cruz,Ad Hoc at Home,(Artisan Books)
General Cooking,Nominee,2010,Catherine Young,"Salt to Taste: the Keys to Confident, Delicious Cooking",(Rodale)
International,Nominee,2010,Tanya Bastianich Manuali,Lidia Cooks From the Heart of Italy,(Alfred A. Knopf)
Single Subject,Winner,2010,Susan Simon,Pasta Sfoglia,"(John Wiley & Sons, Inc.)"
American Cooking,Nominee,2010,John Besh,My New Orleans,(Andrews McMeel Publishing)
Writing and Literature,Nominee,2010,Tristram Stuart,Waste: Uncovering the Global Food Scandal,"(W.W. Norton & Company, LLC)"
Photography,Winner,2010,Santiago Soto Monllor,Seven Fires: Grilling the Argentine Way,(Artisan Books)
Photography,Nominee,2010,Paul Brissman,New American Table,(John Wiley & Sons)
International,Nominee,2010,Eileen Yin-Fei Lo,Mastering the Art of Chinese Cooking,(Chronicle Books)
American Cooking,Nominee,2010,Matt Lee,The Lee Bros. Simple Fresh Southern: Knockout Dishes With Down-Home Flavor,(Clarkson Potter)
Reference and Scholarship,Nominee,2010,Andrew Coe,Chop Suey: A Cultural History of Chinese Food in the United States,(Oxford University Press)
Cooking from a Professional point of view,Nominee,2010,David Chang,Momofuku,(Clarkson Potter)
Reference and Scholarship,Winner,2010,Oretta Zanini de Vita,Encyclopedia of Pasta,(University of California Press)
General Cooking,Winner,2010,Thomas A. Keller,Ad Hoc at Home,(Artisan Books)
Healthy Focus,Nominee,2010,Jessie Price,EatingWell Comfort Foods Made Healthy,(The Countryman Press)
Writing and Literature,Winner,2010,David Sax,Save the Deli,(Houghton Mifflin Harcourt)
Beverage,Winner,2010,Randall Grahm,Been Doon So Long: A Randall Grahm Vinthology,(University of California Press)
Reference and Scholarship,Nominee,2010,Librarie Larousse,"Larousse Gastronomique: the World's Greatest Culinary Encyclopedia, Completely Revised and Updated",(Clarkson Potter)
Single Subject,Winner,2010,Ronald Suhanosky,Pasta Sfoglia,"(John Wiley & Sons, Inc.)"
Photography,Nominee,2010,Earl Carter,Eat Ate,(Chronicle Books)
Cooking from a Professional point of view,Winner,2009,Grant Achatz,Alinea,(Achatz LLC/Ten Speed Press)
Cookbook Hall of Fame,Winner,2009,Jane Grigson,Jane Grigson's Vegetable Book et al,NA
Cookbook of the Year,Winner,2009,Jennifer McLagan,"Fat: An Appreciation of a Misunderstood Ingredient, with Recipes",()
Single Subject,Winner,2009,Jennifer McLagan,"Fat: An Appreciation of a Misunderstood Ingredient, with Recipes",(Ten Speed Press)
Baking,Winner,2009,Shirley Corriher,Bakewise: The Hows and Whys of Successful Baking,(Scribner)
International,Winner,2009,Jeffrey Alford,Beyond the Great Wall: Recipes and Travels in the Other China,(Artisan)
Photography,Winner,2009,Dominic Davies,The Big Fat Duck Cookbook,(Bloomsbury USA)
Writing and Literature,Nominee,2009,Fuchsia Dunlop,Shark's Fin and Sichuan Pepper: A Sweet-Sour Memoir of Eating in China,"(W.W. Norton & Company, Inc.)"
Single Subject,Nominee,2009,Beatrice Ojakangas,The Best Casserole Cookbook Ever,(Chronicle Books)
Writing and Literature,Nominee,2009,Betty Fussell,Raising Steaks: The Life and Times of American Beef,(Houghton Mifflin Harcourt)
Reference and Scholarship,Nominee,2009,Anne Mendelson,Milk: The Surprising Story of Milk Through the Ages,(Knopf)
Reference and Scholarship,Nominee,2009,David Joachim,The Science of Good Food,(Robert Rose Inc)
Healthy Focus,Winner,2009,Ellie Krieger,The Food You Crave: Luscious Recipes for a Healthy Life,(Taunton Press)
Reference and Scholarship,Winner,2009,Andrew Dornenburg,"The Flavor Bible: The Essential Guide to Culinary Creativity, Based on the Wisdom of Americas Most Imaginative Chefs","(Little, Brown and Company)"
Reference and Scholarship,Winner,2009,Karen Page,"The Flavor Bible: The Essential Guide to Culinary Creativity, Based on the Wisdom of America's Most Imaginative Chefs","(Little, Brown and Company)"
Photography,Nominee,2009,Masashi Kuma,Haute Chinese Cuisine from the Kitchen of Wakiya,(Kodansha International)
Reference and Scholarship,Nominee,2009,Andrew Schloss,The Science of Good Food,(Robert Rose Inc)
Healthy Focus,Nominee,2009,Deborah M Schneider,Cooking with the Seasons at Rancho La Puerta: Recipes from the World-Famous Spa,"(Stewart, Tabori & Chang)"
Healthy Focus,Nominee,2009,Jesus Gonzalez,Cooking with the Seasons at Rancho La Puerta: Recipes from the World-Famous Spa,"(Stewart, Tabori & Chang)"
International,Nominee,2009,Jayne Cohen,Jewish Holiday Cooking: A Food Lover's Treasury of Classics and Improvisations,"(John Wiley & Sons, Inc.)"
Healthy Focus,Nominee,2009,Philip A Ades,EatingWell for a Healthy Heart Cookbook,(The Countryman Press)
International,Nominee,2009,Robert Danhi,"Southeast Asian Flavors: Adventures in Cooking the Foods of Thailand, Vietnam, Malaysia, & Singapore",(Mortar & Press)
General Cooking,Nominee,2009,Martha Stewart,Martha Stewart's Cooking School: Lessons and Recipes for the Home Cook,(Clarkson Potter)
General Cooking,Nominee,2009,Sarah Carey,Martha Stewart's Cooking School: Lessons and Recipes for the Home Cook,(Clarkson Potter)
General Cooking,Nominee,2009,Barbara Fairchild,The Bon Appetit Fast Easy Fresh Cookbook,"(John Wiley & Sons, Inc.)"
Healthy Focus,Nominee,2009,Deborah Szekely,Cooking with the Seasons at Rancho La Puerta: Recipes from the World-Famous Spa,"(Stewart, Tabori & Chang)"
Cooking from a Professional point of view,Nominee,2009,Thomas A. Keller,Under Pressure: Cooking Sous Vide,(Artisan)
Photography,Nominee,2009,Dave McKean,The Big Fat Duck Cookbook,(Bloomsbury USA)
Reference and Scholarship,Nominee,2009,A Philip Handel Ph.D.,The Science of Good Food,(Robert Rose Inc)
Beverage,Nominee,2009,Clive Coates MW,The Wines of Burgundy,(University of California Press)
Cooking from a Professional point of view,Nominee,2009,Heston Blumenthal,The Big Fat Duck Cookbook,(Bloomsbury USA)
Photography,Nominee,2009,Thomas Dhellemmes,Decadent Desserts,(Flammarion)
Beverage,Winner,2009,Steven Kolpan,"WineWise: Your Complete Guide to Understanding, Selecting, and Enjoying Wine",(John Wiley & Sons)
Baking,Nominee,2009,Flo Braker,Baking for all Occasions: A Treasury of Recipes for Everyday Celebrations,(Chronicle Books)
General Cooking,Winner,2009,Mark Bittman,How to Cook Everything (Completely Revised Tenth Anniversary Edition),"(John Wiley & Sons, Inc.)"
Baking,Nominee,2009,Cindy Mushet,The Art and Soul of Baking,(Andrews McMeel Publishing)
American Cooking,Nominee,2009,Arthur Schwartz,Arthur Schwartz's Jewish Home Cooking: Yiddish Recipes Revisted,(Ten Speed Press)
Beverage,Nominee,2009,Emily Kaiser Thelin,The Harney and Sons Guide to Tea,(The Penguin Press)
American Cooking,Nominee,2009,Marcelle Bienvenu,Cooking Up a Storm: Recipes Lost and Found from The Times-Picayune of New Orleans,(Chronicle Books)
Beverage,Winner,2009,Michael Weiss,"WineWise: Your Complete Guide to Understanding, Selecting, and Enjoying Wine","(John Wiley & Sons, Inc.)"
American Cooking,Nominee,2009,Judy Walker,Cooking Up a Storm: Recipes Lost and Found from The Times-Picayune of New Orleans,(Chronicle Books)
Beverage,Winner,2009,Brian H. Smith,"WineWise: Your Complete Guide to Understanding, Selecting, and Enjoying Wine","(John Wiley & Sons, Inc.)"
Single Subject,Nominee,2009,Joyce Goldstein,Mediterranean Fresh: A Compendium of One-Plate Salad Meals and Mix-and-Match Dressings,"(W.W. Norton & Company, Inc.)"
Beverage,Nominee,2009,Mike Harney,The Harney and Sons Guide to Tea,(The Penguin Press)
American Cooking,Winner,2009,Martha Hall Foose,Screen Doors and Sweet Tea: Recipes and Tales from a Southern Cook,(Clarkson Potter)
Writing and Literature,Winner,2009,Michael Pollan,In Defense of Food,(The Penguin Press)
International,Winner,2009,Naomi Duguid,Beyond the Great Wall: Recipes and Travels in the Other China,(Artisan)
Cooking from a Professional point of view,Nominee,2008,Masaharu Morimoto,Morimoto: The New Art of Japanese Cooking,(DK Publishing)
Wine & Spirits,Winner,2008,David Wondrich,"Imbibe!: From Absinthe Cocktail to Whiskey Smash, a Salute in Stories and Drinks to ""Professor"" Jerry Thomas, Pioneer of the American Bar",(Perigee)
Americana,Winner,2008,Jean Anderson,A Love Affair with Southern Cooking,(HarperCollins Publishers)
Writing on Food,Nominee,2008,Gina Kolata,Rethinking Thin: The New Science of Weight Loss and the Myths and Realities of Dieting,"(Farrar, Straus and Giroux)"
Entertaining,Nominee,2008,Kate Heyhoe,Great Bar Food at Home,(John Wiley & Sons)
Healthy Focus,Winner,2008,The Editors of EatingWell,The EatingWell Diet,(The Countryman Press)
Healthy Focus,Nominee,2008,Heidi Swanson,Super Natural Cooking: Five Ways to Incorporate Whole & Natural Ingredients into Your Cooking,(Celestial Arts)
International,Nominee,2008,Anne Willan,The Country Cooking of France,(Chronicle Books)
Wine & Spirits,Nominee,2008,Julia Flynn Siler,The House of Mondavi: The Rise and Fall of an American Wine Dynasty,(Gotham Books)
Cookbook Hall of Fame,Winner,2008,Paula Wolfert,Couscous and Other Good Food From Morocco,NA
Entertaining,Nominee,2008,Michael McCarthy,"Welcome to Michael's: Great Food, Great People, Great Party!","(Little, Brown and Company)"
International,Nominee,2008,Mark Strausman,Two Meatballs in the Italian Kitchen,(Artisan)
Asian Cooking,Nominee,2008,Fuchsia Dunlop,Revolutionary Chinese Cooking,(W.W. Norton)
Cooking from a Professional point of view,Nominee,2008,The International Culinary Center,The Fundamental Techniques of Classic Cuisine,"(Stewart, Tabori & Chang)"
General,Nominee,2008,Jacques Pépin,Chez Jacques: Traditions and Rituals of a Cook,"(Stewart, Tabori & Chang)"
Cooking from a Professional point of view,Winner,2008,Judith Choate,The Fundamental Techniques of Classic Cuisine,"(Stewart, Tabori & Chang)"
Healthy Focus,Winner,2008,Joyce Hendley,The EatingWell Diet,(The Countryman Press)
General,Winner,2008,James Peterson,Cooking,(Ten Speed Press)
Single Subject,Nominee,2008,Patricia Wells,Vegetable Harvest,(HarperCollins Publishers)
Baking & Desserts,Nominee,2008,Alice Medrich,Pure Dessert,(Artisan)
Baking & Desserts,Nominee,2008,Greg Patent,A Baker's Odyssey,(John Wiley & Sons)
Baking & Desserts,Nominee,2008,Alice Medrich,Pure Dessert,(Artisan)
Baking & Desserts,Nominee,2008,Greg Patent,A Baker's Odyssey,(John Wiley & Sons)
Americana,Nominee,2008,James Villas,The Glory of Southern Cooking,(John Wiley & Sons)
Americana,Nominee,2008,Roberto Santibanez,Rosa's New Mexican Table,(Artisan)
Healthy Focus,Winner,2008,The Editors of EatingWell,The EatingWell Diet,(The Countryman Press)
Writing on Food,Nominee,2008,Gina Kolata,Rethinking Thin: The New Science of Weight Loss and the Myths and Realities of Dieting,"(Farrar, Straus and Giroux)"
Wine & Spirits,Nominee,2008,Julia Flynn Siler,The House of Mondavi: The Rise and Fall of an American Wine Dynasty,(Gotham Books)
