INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,"NON-
RESIDENT FOREIGN",TOTAL MINORITY
U. of San DiegoCalifornia,"8,349","4,761",42,641,291,"1,505",30,"4,406",408,415,611,"2,917"
Shasta CollegeCalifornia,"8,342","4,867",222,278,125,"1,185",35,"5,828",367,284,18,"2,212"
San Juan CollegeNew Mexico,"8,323","4,501","2,659",56,79,"1,365",12,"3,678",82,320,72,"4,253"
Northeastern State U.Oklahoma,"8,310","5,176","1,754",167,360,338,9,"4,235","1,138",187,122,"3,766"
Laredo Community CollegeTexas,"8,307","4,619",3,21,15,"8,105",0,136,8,10,9,"8,152"
McLennan Community CollegeTexas,"8,294","5,450",21,118,"1,156","2,142",4,"4,602",213,36,2,"3,654"
Lakeland Community CollegeOhio,"8,250","4,934",43,97,"1,315",243,11,"6,057",122,345,17,"1,831"
McNeese State U.Louisiana,"8,237","5,120",53,121,"1,421",211,6,"5,886",172,6,361,"1,984"
Creighton U.Nebraska,"8,236","4,715",36,742,330,472,25,"5,961",259,215,196,"1,864"
Suffolk U.Massachusetts,"8,215","4,635",10,588,519,812,1,"3,815",146,823,"1,501","2,076"
Raritan Valley Community CollegeNew Jersey,"8,214","4,205",19,493,755,"1,419",30,"4,468",174,621,235,"2,890"
Gateway Community College (Conn.)Connecticut,"8,200","4,789",19,280,"2,104","1,823",7,"3,310",172,444,41,"4,405"
Columbus State U.Georgia,"8,192","4,896",35,176,"2,921",430,20,"4,310",182,3,115,"3,764"
Concordia U. WisconsinWisconsin,"8,161","5,591",79,173,"1,000",202,9,"5,656",234,502,306,"1,697"
Eastern Iowa Community College District Central OfficeIowa,"8,143","4,567",37,151,523,710,16,"6,076",251,334,45,"1,688"
New Jersey City U.New Jersey,"8,136","5,158",19,660,"1,624","2,623",0,"2,318",98,651,143,"5,024"
Imperial Valley CollegeCalifornia,"8,135","4,615",6,95,57,"6,695",5,658,10,590,19,"6,868"
Chapman U.California,"8,132","4,820",21,889,126,"1,150",27,"4,663",446,355,455,"2,659"
Red Rocks Community CollegeColorado,"8,112","4,090",67,213,151,"1,069",13,"5,846",284,341,128,"1,797"
"State U. of New York, The College at BrockportNew York","8,106","4,545",19,123,743,389,3,"5,930",198,580,121,"1,475"
NorthWest Arkansas Community CollegeArkansas,"8,098","4,670",118,245,183,"1,408",25,"5,571",271,145,132,"2,250"
County College of MorrisNew Jersey,"8,096","4,009",26,429,387,"1,468",15,"4,758",127,689,197,"2,452"
Princeton U.New Jersey,"8,088","3,669",10,"1,282",474,571,7,"3,494",281,277,"1,692","2,625"
Millersville U. of PennsylvaniaPennsylvania,"8,047","4,619",16,178,719,613,7,"6,240",176,40,58,"1,709"
U. of Texas at TylerTexas,"8,036","4,731",25,237,814,"1,172",6,"4,795",522,161,304,"2,776"
State U. of New York College at OswegoNew York,"8,034","4,175",12,156,500,684,6,"6,291",162,15,208,"1,520"
Kapiolani Community CollegeHawaii,"7,994","4,587",13,"3,316",90,653,249,905,"2,011",29,728,"6,332"
Augusta U.Georgia,"7,988","4,979",25,500,"1,687",398,22,"4,618",328,259,151,"2,960"
California U. of PennsylvaniaPennsylvania,"7,978","4,390",11,67,876,258,10,"6,232",232,224,68,"1,454"
California Baptist U.California,"7,957","5,203",57,398,665,"2,524",73,"3,250",361,454,175,"4,078"
Folsom Lake CollegeCalifornia,"7,942","4,568",63,756,213,"1,330",47,"4,904",440,165,24,"2,849"
DeVry U. of CaliforniaCalifornia,"7,932","3,193",28,"1,098",991,"2,619",197,"1,968",123,648,260,"5,056"
College of Central FloridaFlorida,"7,931","5,023",32,125,"1,169","1,112",23,"4,931",0,444,95,"2,461"
Middle Georgia State CollegeGeorgia,"7,927","4,616",20,186,"2,618",271,10,"4,520",219,35,48,"3,324"
Green River Community CollegeWashington,"7,915","3,962",41,556,342,619,57,"3,664",639,734,"1,263","2,254"
Massasoit Community CollegeMassachusetts,"7,905","4,446",26,133,"2,124",518,6,"4,332",289,457,20,"3,096"
Lewis and Clark Community CollegeIllinois,"7,903","4,317",50,52,602,105,16,"6,519",9,546,4,834
Illinois Institute of TechnologyIllinois,"7,898","2,809",12,497,292,600,13,"1,995",72,600,"3,817","1,486"
Anoka-Ramsey Community CollegeMinnesota,"7,877","4,845",34,342,591,321,12,"6,143",328,72,34,"1,628"
New York Institute of Technology at Old WestburyNew York,"7,872","3,274",16,"1,165",496,678,9,"1,921",65,"1,386","2,136","2,429"
Indiana U. at South BendIndiana,"7,859","4,855",13,127,536,627,2,"5,951",241,130,232,"1,546"
Yavapai CollegeArizona,"7,842","4,360",154,60,72,975,10,"4,172",84,"2,299",16,"1,355"
Mercer County Community CollegeNew Jersey,"7,839","4,048",15,432,"1,713","1,306",18,"3,161",139,738,317,"3,623"
Brandman U.California,"7,795","4,909",46,356,769,"1,954",70,"3,834",321,443,2,"3,516"
Wake Forest U.North Carolina,"7,788","3,992",21,331,647,433,40,"5,554",166,105,491,"1,638"
Sacred Heart U.Connecticut,"7,781","5,188",14,174,361,497,11,"5,262",89,"1,019",354,"1,146"
U. of Hawaii Leeward Community CollegeHawaii,"7,742","4,584",10,"2,863",169,"1,003",424,675,"2,480",37,81,"6,949"
Baton Rouge Community CollegeLouisiana,"7,740","4,581",24,149,"3,263",241,12,"3,105",159,633,154,"3,848"
Rock Valley CollegeIllinois,"7,737","4,303",32,186,674,"1,167",10,"5,395",151,97,25,"2,220"
Monterey Peninsula CollegeCalifornia,"7,727","4,133",25,616,300,"2,778",78,"3,260",401,229,40,"4,198"
Arizona Western CollegeArizona,"7,702","4,359",92,87,225,"5,233",23,"1,474",85,247,236,"5,745"
Morgan State U.Maryland,"7,698","4,304",17,96,"6,280",244,6,256,259,40,500,"6,902"
State U. of New York at New PaltzNew York,"7,692","4,770",16,361,384,"1,095",7,"4,889",136,435,369,"1,999"
North Carolina Central U.North Carolina,"7,687","5,127",39,96,"5,843",221,2,882,267,291,46,"6,468"
U. of TampaFlorida,"7,683","4,299",17,127,404,914,6,"4,435",191,666,923,"1,659"
Volunteer State Community CollegeTennessee,"7,664","4,603",25,89,663,301,8,"6,194",166,166,52,"1,252"
Southern Utah U.Utah,"7,656","4,225",89,61,102,359,78,"6,093",54,442,378,743
Central Georgia Technical CollegeGeorgia,"7,625","4,910",18,72,"3,964",228,7,"3,141",75,107,13,"4,364"
Community College of AuroraColorado,"7,617","4,478",43,415,"1,619","1,595",33,"2,922",449,356,185,"4,154"
El Camino College at ComptonCalifornia,"7,611","4,816",12,348,"2,667","4,045",53,224,210,35,17,"7,335"
Adelphi U.New York,"7,610","5,523",10,554,857,"1,007",6,"4,058",153,529,436,"2,587"
Northwest Mississippi Community CollegeMississippi,"7,559","4,590",10,73,"2,583",93,2,"4,746",25,27,0,"2,786"
Texas A&M International U.Texas,"7,554","4,440",5,53,47,"7,024",3,152,17,16,237,"7,149"
Rockland Community CollegeNew York,"7,520","4,040",17,343,"1,374","1,406",24,"2,867",124,"1,298",67,"3,288"
Everett Community CollegeWashington,"7,516","4,179",93,444,194,635,27,"4,360",480,"1,011",272,"1,873"
Asheville-Buncombe Technical Community CollegeNorth Carolina,"7,507","4,200",59,70,470,424,13,"5,996",139,320,16,"1,175"
Pittsburg State U.Kansas,"7,479","3,787",104,56,273,312,10,"5,812",333,31,548,"1,088"
Concordia U. (Ore.)Oregon,"7,435","5,751",41,179,"1,260",499,69,"3,617",173,"1,540",57,"2,221"
Pepperdine U.California,"7,417","4,382",35,724,532,865,28,"3,241",373,771,848,"2,557"
North Shore Community CollegeMassachusetts,"7,412","4,480",15,316,705,"1,626",6,"4,371",173,188,12,"2,841"
Gateway Technical CollegeWisconsin,"7,410","4,398",35,89,"1,018","1,108",3,"4,874",193,87,3,"2,446"
College of New JerseyNew Jersey,"7,409","4,430",18,711,387,890,24,"4,777",48,541,13,"2,078"
North Hennepin Community CollegeMinnesota,"7,384","4,240",46,973,"1,599",374,9,"3,714",392,197,80,"3,393"
Shippensburg U. of PennsylvaniaPennsylvania,"7,355","3,740",11,102,662,319,7,"5,804",198,154,98,"1,299"
Gonzaga U.Washington,"7,352","4,150",57,289,119,561,27,"5,131",307,420,441,"1,360"
Olympic CollegeWashington,"7,349","3,767",87,363,268,489,89,"4,995",548,408,102,"1,844"
U. of Alabama at HuntsvilleAlabama,"7,348","3,171",96,268,826,248,1,"5,091",109,257,452,"1,548"
Horry-Georgetown Technical CollegeSouth Carolina,"7,335","4,663",27,80,"1,547",290,7,"5,134",187,46,17,"2,138"
Elizabethtown Community and Technical CollegeKentucky,"7,314","3,842",32,66,539,256,18,"5,958",209,234,2,"1,120"
Clackamas Community CollegeOregon,"7,302","3,569",82,238,151,783,26,"4,751",307,915,49,"1,587"
Manchester Community College (Conn.)Connecticut,"7,300","3,866",12,349,"1,222","1,283",10,"3,918",141,353,12,"3,017"
Germanna Community CollegeVirginia,"7,282","4,378",40,179,"1,033",689,26,"4,851",377,65,22,"2,344"
Seattle U.Washington,"7,273","4,347",41,"1,011",215,612,43,"3,491",457,740,663,"2,379"
Georgia Military CollegeGeorgia,"7,262","4,408",93,123,"3,125",395,23,"3,020",20,447,16,"3,779"
Colorado State U. at PuebloColorado,"7,256","4,463",39,94,396,"1,636",8,"3,557",205,"1,184",137,"2,378"
Belmont U.Tennessee,"7,244","4,478",16,157,318,300,7,"5,734",231,390,91,"1,029"
Gwinnett Technical CollegeGeorgia,"7,234","4,365",14,508,"2,496",872,9,"2,623",189,436,87,"4,088"
Indiana TechIndiana,"7,192","4,432",25,35,"2,671",255,8,"2,928",149,891,230,"3,143"
Tacoma Community CollegeWashington,"7,189","4,467",65,456,562,624,61,"3,314",684,"1,064",359,"2,452"
St. Charles Community CollegeMissouri,"7,153","4,069",21,146,410,269,6,"5,734",225,284,58,"1,077"
Wharton County Junior CollegeTexas,"7,152","3,971",18,807,823,"2,538",20,"2,845",91,7,3,"4,297"
Mohawk Valley Community CollegeNew York,"7,149","3,757",26,295,468,497,7,"5,451",177,162,66,"1,470"
Oxnard CollegeCalifornia,"7,148","3,803",22,381,189,"5,116",26,"1,135",204,75,0,"5,938"
Gloucester County CollegeNew Jersey,"7,130","4,047",31,165,906,455,19,"4,939",224,367,24,"1,800"
Lehigh U.Pennsylvania,"7,119","3,179",7,479,239,475,1,"4,309",139,363,"1,107","1,340"
St. Johns River State CollegeFlorida,"7,114","4,478",28,168,667,556,16,"5,191",222,251,15,"1,657"
Naugatuck Valley Community CollegeConnecticut,"7,102","4,078",14,203,695,"1,790",8,"3,925",134,318,15,"2,844"
Michigan Technological U.Michigan,"7,099","1,867",33,82,95,117,8,"5,301",156,214,"1,093",491
Armstrong Atlantic State U.Georgia,"7,094","4,807",12,230,"1,735",442,14,"4,222",272,37,130,"2,705"
Southwest Minnesota State U.Minnesota,"7,069","4,087",24,95,118,196,3,"6,137",143,211,142,579
U. of Tennessee at MartinTennessee,"7,042","4,153",10,39,"1,066",150,0,"5,449",146,0,182,"1,411"
Clayton State U.Georgia,"7,022","4,807",12,369,"4,307",177,3,"1,574",189,263,128,"5,057"
City U. of New York Graduate CenterNew York,"7,013","4,352",9,355,"1,050","2,476",5,"2,232",26,0,860,"3,921"
Lincoln Land Community CollegeIllinois,"7,006","4,057",18,82,706,173,9,"5,598",30,389,1,"1,018"
Monroe College (N.Y.)New York,"7,002","4,516",36,111,"2,995","2,789",24,210,0,126,711,"5,955"
Lord Fairfax Community CollegeVirginia,"6,996","4,279",20,136,313,529,9,"5,631",239,73,46,"1,246"
Somerset Community CollegeKentucky,"6,995","4,237",23,24,57,79,5,"6,617",87,91,12,275
Hostos Community College-City U. of New YorkNew York,"6,985","4,573",10,171,"1,787","4,465",11,159,47,0,335,"6,491"
Northern Essex Community CollegeMassachusetts,"6,963","4,283",11,127,273,"2,570",36,"3,544",83,280,39,"3,100"
State U. of New York College at CortlandNew York,"6,958","4,023",13,85,320,690,6,"5,236",132,420,56,"1,246"
Orange County Community CollegeNew York,"6,951","4,043",25,188,731,"1,721",9,"3,785",167,321,4,"2,841"
Los Angeles Southwest CollegeCalifornia,"6,937","4,801",13,131,"3,917","2,356",19,114,171,197,19,"6,607"
MCPHS U.Massachusetts,"6,935","4,656",7,"1,469",330,184,8,"2,494",24,"1,599",820,"2,022"
U. of Wisconsin at Green BayWisconsin,"6,927","4,541",102,188,96,251,6,"5,953",161,45,125,804
U. of Nebraska at KearneyNebraska,"6,902","4,102",13,62,126,584,3,"5,532",91,66,425,879
Rose State CollegeOklahoma,"6,891","4,153",351,141,"1,104",366,15,"3,898",631,369,16,"2,608"
Genesee Community CollegeNew York,"6,876","4,361",53,47,410,261,1,"5,223",129,639,113,901
Strayer U. at Arlington (Va.)Virginia,"6,850","3,798",29,351,"3,157",562,19,"2,061",212,259,200,"4,330"
Atlantic Cape Community CollegeNew Jersey,"6,845","4,003",38,551,"1,001","1,116",22,"3,273",93,677,74,"2,821"
U. of North AlabamaAlabama,"6,841","3,969",62,131,869,168,5,"4,867",148,290,301,"1,383"
Edinboro U. of PennsylvaniaPennsylvania,"6,837","4,225",13,55,555,181,5,"5,680",152,83,113,961
Rensselaer Polytechnic InstituteNew York,"6,835","2,078",6,629,182,439,3,"3,913",386,131,"1,146","1,645"
U of Arkansas at Fort SmithArkansas,"6,830","3,848",186,299,300,661,4,"4,907",359,10,104,"1,809"
East Stroudsburg U. of PennsylvaniaPennsylvania,"6,819","3,780",11,109,712,700,10,"4,437",198,546,96,"1,740"
U. of HartfordConnecticut,"6,817","3,500",16,232,865,612,5,"3,953",146,504,484,"1,876"
U. of New HavenConnecticut,"6,811","3,337",22,169,602,578,12,"3,719",92,526,"1,091","1,475"
Fitchburg State U.Massachusetts,"6,810","4,321",11,123,354,488,1,"5,259",137,354,83,"1,114"
Finger Lakes Community CollegeNew York,"6,793","3,889",26,49,385,286,0,"4,983",105,950,9,851
Southern Polytechnic State U.Georgia,"6,786","1,436",12,484,"1,484",565,7,"3,554",236,158,286,"2,788"
Lehigh Carbon Community CollegePennsylvania,"6,779","4,082",13,140,439,882,0,"4,296",261,723,25,"1,735"
Seattle Central Community CollegeWashington,"6,773","3,810",39,724,601,387,19,"2,353",437,749,"1,464","2,207"
Georgia College and State U.Georgia,"6,772","4,150",14,99,506,329,5,"5,540",155,16,108,"1,108"
Cedar Valley CollegeTexas,"6,759","4,186",26,169,"3,578","1,514",8,"1,190",104,158,12,"5,399"
Southern Maine Community CollegeMaine,"6,734","3,269",43,132,344,175,9,"5,531",122,348,30,825
Washburn U.Kansas,"6,722","3,957",39,76,327,465,6,"4,207",220,"1,138",244,"1,133"
Beth Medrash GovohaNew Jersey,"6,721",0,0,0,0,8,0,"6,591",0,0,122,8
Northwest Missouri State U.Missouri,"6,720","3,595",20,39,374,182,8,"4,981",167,241,708,790
John A. Logan CollegeIllinois,"6,718","3,897",16,70,529,167,21,"5,388",64,463,0,867
Harford Community CollegeMaryland,"6,714","3,956",24,144,"1,027",311,15,"4,873",205,49,66,"1,726"
Oklahoma State U.-Oklahoma CityOklahoma,"6,712","4,076",266,181,988,644,0,"3,748",601,284,0,"2,680"
City U. of New York Medgar Evers CollegeNew York,"6,701","4,780",21,160,"5,352",766,17,105,87,0,193,"6,403"
Delaware Technical and Community College Stanton-Wilmington CampusDelaware,"6,700","3,988",21,307,"1,839",715,15,"3,381",175,121,126,"3,072"
Catholic U. of AmericaDistrict of Columbia,"6,699","3,566",12,206,561,612,4,"3,696",248,811,549,"1,643"
Contra Costa CollegeCalifornia,"6,697","3,896",11,"1,225","1,482","2,644",42,678,332,113,170,"5,736"
Lewis U.Illinois,"6,689","4,009",8,204,610,"1,043",14,"4,301",149,267,93,"2,028"
Yuba CollegeCalifornia,"6,640","3,971",79,744,262,"2,032",25,"2,846",402,248,2,"3,544"
California State U.-Monterey BayCalifornia,"6,631","4,117",32,336,394,"2,639",25,"2,114",385,414,292,"3,811"
Springfield Technical Community CollegeMassachusetts,"6,622","3,823",33,208,"1,027","1,731",5,"3,384",131,52,51,"3,135"
Rice U.Texas,"6,621","2,849",5,"1,102",340,746,6,"2,474",222,168,"1,558","2,421"
Holyoke Community CollegeMassachusetts,"6,604","4,068",33,132,412,"1,501",2,"4,018",197,280,29,"2,277"
Saint Paul CollegeMinnesota,"6,600","3,580",61,"1,136","1,938",531,4,"2,478",393,36,23,"4,063"
Ithaca CollegeNew York,"6,587","3,828",9,229,341,481,2,"4,652",178,552,143,"1,240"
McHenry County CollegeIllinois,"6,567","3,534",13,119,105,"1,173",12,"4,544",126,463,12,"1,548"
Iowa Western Community CollegeIowa,"6,547","3,764",103,104,651,440,19,"4,961",9,153,107,"1,326"
West Georgia Technical College-Murphy CampusGeorgia,"6,536","4,272",28,65,"2,007",214,12,"4,019",98,76,17,"2,424"
Xavier U. (Ohio)Ohio,"6,508","3,681",16,168,588,297,11,"4,797",178,225,228,"1,258"
Framingham State U.Massachusetts,"6,499","4,398",7,178,392,529,4,"4,922",184,248,35,"1,294"
Canada CollegeCalifornia,"6,498","4,107",14,726,232,"3,302",104,"1,641",213,157,109,"4,591"
Schenectady County Community CollegeNew York,"6,497","3,514",56,356,898,398,38,"4,400",136,214,1,"1,882"
Angelo State U.Texas,"6,494","3,672",28,74,526,"1,874",9,"3,490",155,155,183,"2,666"
North Seattle Community CollegeWashington,"6,493","3,778",34,592,365,368,17,"2,811",408,"1,179",719,"1,784"
Elon U.North Carolina,"6,483","3,856",29,146,391,316,3,"5,289",110,92,107,995
Lee CollegeTexas,"6,481","2,992",16,76,"1,034","2,477",0,"2,640",91,85,62,"3,694"
Niagara County Community CollegeNew York,"6,478","3,768",63,79,628,203,6,"5,278",158,43,20,"1,137"
Highline Community CollegeWashington,"6,443","3,762",41,990,676,733,84,"2,180",567,690,482,"3,091"
Indiana U.-SoutheastIndiana,"6,442","3,813",11,92,372,160,11,"5,412",145,214,25,791
U. of New EnglandMaine,"6,429","4,591",27,301,387,82,15,"4,210",96,"1,266",45,908
U. of BaltimoreMaryland,"6,422","3,748",18,289,"2,550",305,12,"2,606",202,251,189,"3,376"
Rowan-Cabarrus Community CollegeNorth Carolina,"6,420","4,084",37,86,"1,538",502,8,"3,989",152,35,73,"2,323"
Minnesota State Community and Technical College at Fergus FallsMinnesota,"6,415","3,799",91,103,330,229,9,"4,968",201,458,26,963
West Kentucky Community and Technical CollegeKentucky,"6,402","3,735",18,38,540,179,3,"5,205",157,248,14,935
Western Iowa Tech Community CollegeIowa,"6,399","3,705",113,172,202,829,12,"4,170",101,752,48,"1,429"
Monmouth U.New Jersey,"6,395","4,073",8,215,351,585,7,"4,703",127,266,133,"1,293"
Florida Institute of TechnologyFlorida,"6,393","2,110",28,174,533,359,17,"2,406",97,535,"2,244","1,208"
Tri-County Technical CollegeSouth Carolina,"6,386","3,361",15,68,650,223,5,"5,207",158,60,0,"1,119"
Columbia Basin CollegeWashington,"6,385","3,348",56,119,84,"2,011",12,"3,680",187,227,9,"2,469"
Worcester Polytechnic InstituteMassachusetts,"6,381","1,989",5,294,130,394,0,"3,545",168,495,"1,350",991
Eastern Arizona CollegeArizona,"6,379","3,427",449,64,222,"1,251",27,"4,056",57,205,48,"2,070"
Central Community CollegeNebraska,"6,377","3,808",28,54,122,"1,093",8,"4,930",41,101,0,"1,346"
Norwalk Community CollegeConnecticut,"6,363","3,652",10,274,"1,180","2,108",13,"2,224",72,359,123,"3,657"
Biola U.California,"6,358","3,462",14,"1,217",170,972,13,"3,137",332,215,288,"2,718"
Marist CollegeNew York,"6,356","3,686",14,173,262,544,6,"4,649",124,391,193,"1,123"
Worcester State U.Massachusetts,"6,350","3,920",36,239,400,504,3,"4,514",138,453,63,"1,320"
Napa Valley CollegeCalifornia,"6,348","3,536",25,895,443,"2,442",29,"2,016",335,144,19,"4,169"
Yeshiva U.New York,"6,348","3,283",6,289,144,199,15,"4,092",29,931,643,682
South Louisiana Community CollegeLouisiana,"6,332","3,590",31,113,"2,203",194,7,"3,317",113,301,53,"2,661"
Southern U.Louisiana,"6,330","4,148",7,80,"5,830",48,3,192,70,73,27,"6,038"
Westfield State U.Massachusetts,"6,321","3,483",16,70,269,506,3,"4,896",240,294,27,"1,104"
Berkeley City CollegeCalifornia,"6,321","3,488",18,"1,014","1,167","1,568",25,"1,702",451,304,72,"4,243"
Rutgers U. at CamdenNew Jersey,"6,321","3,449",6,526,974,723,10,"3,537",211,214,120,"2,450"
Rasmussen College at Ocala (Fla.)Florida,"6,318","4,821",61,125,"1,079",246,18,"4,047",217,525,0,"1,746"
Central Oregon Community CollegeOregon,"6,312","3,433",112,79,35,561,25,"4,505",165,830,0,977
Benedictine U.Illinois,"6,307","4,005",20,755,703,464,15,"2,811",0,"1,407",132,"1,957"
Black Hawk CollegeIllinois,"6,307","3,678",8,277,693,786,8,"4,194",193,127,21,"1,965"
Minnesota State U. at MoorheadMinnesota,"6,306","3,928",47,81,161,158,2,"4,905",146,375,431,595
U. of the PacificCalifornia,"6,304","3,424",39,"2,101",153,957,26,"2,118",244,272,394,"3,520"
Dartmouth CollegeNew Hampshire,"6,298","2,967",102,775,341,446,7,"2,968",245,450,964,"1,916"
Northwest Florida State CollegeFlorida,"6,295","3,647",29,167,533,500,20,"4,548",273,191,34,"1,522"
Nicholls State U.Louisiana,"6,292","3,971",117,70,"1,242",197,4,"4,222",176,120,144,"1,806"
Moraine Park Technical CollegeWisconsin,"6,280","3,696",24,75,100,329,4,"5,496",65,187,0,597
U. of Maryland at BaltimoreMaryland,"6,276","4,468",9,941,958,324,3,"3,445",192,134,270,"2,427"
U. of North Carolina at PembrokeNorth Carolina,"6,269","3,905",929,87,"2,156",294,3,"2,499",112,129,60,"3,581"
U. of California at MercedCalifornia,"6,268","3,200",15,"1,488",345,"2,728",39,981,272,62,338,"4,887"
