name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Illinois Eastern Community Colleges: Frontier Community College,Illinois,IL,Public,2 Year,NA,3730,3730,11008,11008
Illinois Eastern Community Colleges: Lincoln Trail College,Illinois,IL,Public,2 Year,NA,3730,3730,11008,11008
Illinois Eastern Community Colleges: Olney Central College,Illinois,IL,Public,2 Year,NA,3730,3730,11008,11008
Illinois Eastern Community Colleges: Wabash Valley College,Illinois,IL,Public,2 Year,NA,3730,3730,11008,11008
Illinois Institute of Technology,Illinois,IL,Private,4 Year,12762,47296,60058,47296,60058
Illinois State University,Illinois,IL,Public,4 Year,9850,14516,24366,26040,35890
Illinois Valley Community College,Illinois,IL,Public,2 Year,NA,4015,4015,11793,11793
Illinois Wesleyan University,Illinois,IL,Private,4 Year,10984,47636,58620,47636,58620
Immaculata University,Pennsylvania,PA,Private,4 Year,12620,27350,39970,27350,39970
Imperial Valley College,California,CA,Public,2 Year,NA,1420,1420,9010,9010
Independence Community College,Kansas,KS,Public,2 Year,5168,2910,8078,3300,8468
Indian River State College,Florida,FL,Public,2 Year,NA,3115,3115,11715,11715
Indiana Institute of Technology,Indiana,IN,Private,4 Year,10020,26900,36920,26900,36920
Indiana State University,Indiana,IN,Public,4 Year,10590,9090,19680,19836,30426
Indiana University Bloomington,Indiana,IN,Public,4 Year,10465,10681,21146,35456,45921
Indiana University East,Indiana,IN,Public,4 Year,NA,7344,7344,19400,19400
Indiana University Kokomo,Indiana,IN,Public,4 Year,NA,7344,7344,19400,19400
Indiana University Northwest,Indiana,IN,Public,4 Year,NA,7344,7344,19400,19400
Indiana University of Pennsylvania,Pennsylvania,PA,Public,4 Year,12592,12979,25571,17299,29891
Indiana University South Bend,Indiana,IN,Public,4 Year,7309,7344,14653,19400,26709
Indiana University Southeast,Indiana,IN,Public,4 Year,6780,7344,14124,19400,26180
Indiana University-Purdue University Fort Wayne,Indiana,IN,Public,4 Year,5996,8450,14446,20288,26284
Indiana University-Purdue University Indianapolis,Indiana,IN,Public,4 Year,8924,9465,18389,29821,38745
Indiana Wesleyan University,Indiana,IN,Private,4 Year,8312,25980,34292,25980,34292
Institute of American Indian Arts,New Mexico,NM,Public,4 Year,9604,4980,14584,4980,14584
Inter American University of Puerto Rico: Aguadilla Campus,NA,PR,Private,4 Year,NA,6262,6262,6262,6262
Inter American University of Puerto Rico: Arecibo Campus,NA,PR,Private,4 Year,NA,6452,6452,6452,6452
Inter American University of Puerto Rico: Barranquitas Campus,NA,PR,Private,4 Year,NA,6262,6262,6262,6262
Inter American University of Puerto Rico: Bayamon Campus,NA,PR,Private,4 Year,7993,5898,13891,5898,13891
Inter American University of Puerto Rico: Fajardo Campus,NA,PR,Private,4 Year,NA,5898,5898,5898,5898
Inter American University of Puerto Rico: Guayama Campus,NA,PR,Private,4 Year,NA,6452,6452,6452,6452
Inter American University of Puerto Rico: Metropolitan Campus,NA,PR,Private,4 Year,NA,7476,7476,7476,7476
Inter American University of Puerto Rico: Ponce Campus,NA,PR,Private,4 Year,NA,5220,5220,5220,5220
Inter American University of Puerto Rico: San German Campus,NA,PR,Private,4 Year,3900,5976,9876,5976,9876
International Baptist College,Arizona,AZ,Private,4 Year,6200,11250,17450,11250,17450
International College of Broadcasting,Ohio,OH,For Profit,2 Year,NA,31950,31950,31950,31950
Inver Hills Community College,Minnesota,MN,Public,2 Year,NA,5332,5332,5332,5332
Iona College,New York,NY,Private,4 Year,15278,38812,54090,38812,54090
Iowa Central Community College,Iowa,IA,Public,2 Year,6850,5490,12340,7890,14740
Iowa Lakes Community College,Iowa,IA,Public,2 Year,6750,6058,12808,6388,13138
Iowa State University,Iowa,IA,Public,4 Year,8720,8988,17708,23392,32112
Iowa Wesleyan College,Iowa,IA,Private,4 Year,10500,30500,41000,30500,41000
Iowa Western Community College,Iowa,IA,Public,2 Year,6430,5615,12045,5765,12195
Irvine Valley College,California,CA,Public,2 Year,NA,1418,1418,9608,9608
Island Drafting and Technical Institute,New York,NY,For Profit,2 Year,NA,16650,16650,16650,16650
Isothermal Community College,North Carolina,NC,Public,2 Year,NA,2334,2334,8094,8094
Itasca Community College,Minnesota,MN,Public,2 Year,5920,5920,11840,7102,13022
Itawamba Community College,Mississippi,MS,Public,2 Year,3900,3020,6920,5220,9120
Ithaca College,New York,NY,Private,4 Year,15562,43978,59540,43978,59540
Ivy Tech Community College: Bloomington,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Central Indiana,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Columbus,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Kokomo,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Lafayette,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Muncie,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: North Central,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Northeast,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Northwest,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Richmond,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: South Central,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Southeast,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Southwest,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
Ivy Tech Community College: Wabash Valley,Indiana,IN,Public,2 Year,NA,4368,4368,8402,8402
J. Sargeant Reynolds Community College,Virginia,VA,Public,2 Year,NA,5508,5508,11436,11436
Jackson College,Michigan,MI,Public,2 Year,NA,5910,5910,10500,10500
Jackson State Community College,Tennessee,TN,Public,2 Year,NA,4425,4425,13191,13191
Jackson State University,Mississippi,MS,Public,4 Year,9552,8226,17778,19454,29006
Jacksonville College,Texas,TX,Private,2 Year,6400,8000,14400,8000,14400
Jacksonville State University,Alabama,AL,Public,4 Year,8100,10425,18525,20145,28245
Jacksonville University,Florida,FL,Private,4 Year,14080,36670,50750,36670,50750
James A. Rhodes State College,Ohio,OH,Public,2 Year,NA,5104,5104,10210,10210
James Madison University,Virginia,VA,Public,4 Year,10092,12016,22108,28416,38508
James Sprunt Community College,North Carolina,NC,Public,2 Year,NA,2501,2501,8645,8645
Jamestown Business College,New York,NY,For Profit,2 Year,NA,12600,12600,12600,12600
Jamestown Community College,New York,NY,Public,2 Year,10750,5850,16600,10720,21470
Jarvis Christian College,Texas,TX,Private,4 Year,8440,11720,20160,11720,20160
Jefferson College,Missouri,MO,Public,2 Year,6156,3330,9486,6510,12666
Jefferson College of Health Sciences,Virginia,VA,Private,4 Year,5870,26886,32756,26886,32756
Jefferson Community and Technical College,Kentucky,KY,Public,2 Year,NA,5310,5310,18000,18000
Jefferson Community College,New York,NY,Public,2 Year,11666,5424,17090,10176,21842
Jefferson State Community College,Alabama,AL,Public,2 Year,NA,4800,4800,8370,8370
Jewish Theological Seminary of America,New York,NY,Private,4 Year,12570,51326,63896,51326,63896
JNA Institute of Culinary Arts,Pennsylvania,PA,For Profit,2 Year,NA,12725,12725,12725,12725
John A. Gupton College,Tennessee,TN,Private,2 Year,NA,10450,10450,10450,10450
John A. Logan College,Illinois,IL,Public,2 Year,NA,3600,3600,5940,5940
John Brown University,Arkansas,AR,Private,4 Year,9224,26928,36152,26928,36152
John Carroll University,Ohio,OH,Private,4 Year,11874,41340,53214,41340,53214
John F. Kennedy University,California,CA,Private,4 Year,NA,18261,18261,18261,18261
John Paul the Great Catholic University,California,CA,Private,4 Year,7650,26100,33750,26100,33750
John Tyler Community College,Virginia,VA,Public,2 Year,NA,4800,4800,10098,10098
John Wesley University,North Carolina,NC,Private,4 Year,3600,13330,16930,13330,16930
John Wood Community College,Illinois,IL,Public,2 Year,NA,4890,4890,8190,8190
Johns Hopkins University,Maryland,MD,Private,4 Year,15836,54240,70076,54240,70076
Johns Hopkins University: Peabody Conservatory of Music,Maryland,MD,Private,4 Year,15838,50180,66018,50180,66018
Johnson & Wales University: Charlotte,North Carolina,NC,Private,4 Year,14148,32091,46239,32091,46239
Johnson & Wales University: Denver,Colorado,CO,Private,4 Year,12546,32091,44637,32091,44637
Johnson & Wales University: North Miami,Florida,FL,Private,4 Year,12564,32091,44655,32091,44655
Johnson & Wales University: Providence,Rhode Island,RI,Private,4 Year,14337,32091,46428,32091,46428
Johnson C. Smith University,North Carolina,NC,Private,4 Year,7100,18236,25336,18236,25336
Johnson College,Pennsylvania,PA,Private,2 Year,8250,18641,26891,18641,26891
Johnson County Community College,Kansas,KS,Public,2 Year,NA,2790,2790,6600,6600
Johnson University,Tennessee,TN,Private,4 Year,6700,16060,22760,16060,22760
Johnson University: Florida,Florida,FL,Private,4 Year,7040,16060,23100,16060,23100
Johnston Community College,North Carolina,NC,Public,2 Year,NA,2497,2497,8257,8257
Joliet Junior College,Illinois,IL,Public,2 Year,NA,4380,4380,13140,13140
Jones County Junior College,Mississippi,MS,Public,2 Year,4132,3440,7572,5440,9572
Judson College,Alabama,AL,Private,4 Year,10590,18510,29100,18510,29100
Judson University,Illinois,IL,Private,4 Year,9988,29860,39848,29860,39848
Juilliard School,New York,NY,Private,4 Year,16950,45360,62310,45360,62310
Juniata College,Pennsylvania,PA,Private,4 Year,12521,45597,58118,45597,58118
Kalamazoo College,Michigan,MI,Private,4 Year,9756,48516,58272,48516,58272
Kalamazoo Valley Community College,Michigan,MI,Public,2 Year,NA,3446,3446,7646,7646
Kankakee Community College,Illinois,IL,Public,2 Year,NA,4620,4620,22382,22382
Kansas City Art Institute,Missouri,MO,Private,4 Year,10400,38400,48800,38400,48800
Kansas City Kansas Community College,Kansas,KS,Public,2 Year,NA,3120,3120,6510,6510
Kansas State University,Kansas,KS,Public,4 Year,9680,10263,19943,25767,35447
Kansas Wesleyan University,Kansas,KS,Private,4 Year,9500,29500,39000,29500,39000
Kaskaskia College,Illinois,IL,Public,2 Year,NA,4470,4470,12330,12330
Kean University,New Jersey,NJ,Public,4 Year,14470,12348,26818,19383,33853
Keene State College,New Hampshire,NH,Public,4 Year,11026,14212,25238,23176,34202
Kehilath Yakov Rabbinical Seminary,New York,NY,Private,4 Year,2800,9700,12500,9700,12500
Keiser University,Florida,FL,Private,4 Year,NA,29920,29920,29920,29920
Kellogg Community College,Michigan,MI,Public,2 Year,NA,4083,4083,8350,8350
Kennebec Valley Community College,Maine,ME,Public,2 Year,NA,3462,3462,6282,6282
Kennesaw State University,Georgia,GA,Public,4 Year,11467,7432,18899,21158,32625
Kent State University,Ohio,OH,Public,4 Year,11362,10012,21374,18714,30076
Kent State University: Ashtabula,Ohio,OH,Public,2 Year,NA,5664,5664,14366,14366
Kent State University: East Liverpool,Ohio,OH,Public,2 Year,NA,5664,5664,14366,14366
Kent State University: Geauga,Ohio,OH,Public,2 Year,NA,5664,5664,14366,14366
Kent State University: Salem,Ohio,OH,Public,2 Year,NA,5664,5664,14366,14366
Kent State University: Stark,Ohio,OH,Public,2 Year,NA,5664,5664,14366,14366
Kent State University: Trumbull,Ohio,OH,Public,2 Year,NA,5664,5664,14366,14366
Kent State University: Tuscarawas,Ohio,OH,Public,2 Year,NA,5664,5664,14366,14366
Kentucky Christian University,Kentucky,KY,Private,4 Year,8270,19820,28090,19820,28090
Kentucky Mountain Bible College,Kentucky,KY,Private,4 Year,5050,9460,14510,9460,14510
Kentucky State University,Kentucky,KY,Public,4 Year,6690,8090,14780,19390,26080
Kentucky Wesleyan College,Kentucky,KY,Private,4 Year,9764,26440,36204,26440,36204
Kenyon College,Ohio,OH,Private,4 Year,12510,55930,68440,55930,68440
Kettering College,Ohio,OH,Private,4 Year,4100,16200,20300,16200,20300
Kettering University,Michigan,MI,Private,4 Year,8240,43490,51730,43490,51730
Keuka College,New York,NY,Private,4 Year,11906,32093,43999,32093,43999
Key College,Florida,FL,For Profit,2 Year,NA,11085,11085,11085,11085
Keystone College,Pennsylvania,PA,Private,4 Year,11900,26920,38820,26920,38820
Kilgore College,Texas,TX,Public,2 Year,4916,2370,7286,6240,11156
King University,Tennessee,TN,Private,4 Year,8762,29714,38476,29714,38476
King's College,Pennsylvania,PA,Private,4 Year,12940,37226,50166,37226,50166
Kirkwood Community College,Iowa,IA,Public,2 Year,NA,5170,5170,6550,6550
Kirtland Community College,Michigan,MI,Public,2 Year,NA,4170,4170,8130,8130
Kishwaukee College,Illinois,IL,Public,2 Year,NA,4770,4770,13290,13290
Klamath Community College,Oregon,OR,Public,2 Year,NA,5496,5496,8714,8714
Knox College,Illinois,IL,Private,4 Year,9870,46554,56424,46554,56424
Kutztown University of Pennsylvania,Pennsylvania,PA,Public,4 Year,10334,10802,21136,14660,24994
Kuyper College,Michigan,MI,Private,4 Year,7285,21989,29274,21989,29274
La Roche College,Pennsylvania,PA,Private,4 Year,11556,28564,40120,28564,40120
La Salle University,Pennsylvania,PA,Private,4 Year,15080,30560,45640,30560,45640
La Sierra University,California,CA,Private,4 Year,8415,32778,41193,32778,41193
Labette Community College,Kansas,KS,Public,2 Year,NA,3060,3060,3810,3810
Laboure College,Massachusetts,MA,Private,2 Year,NA,36863,36863,36863,36863
Lac Courte Oreilles Ojibwa Community College,Wisconsin,WI,Public,2 Year,NA,5850,5850,5850,5850
Lackawanna College,Pennsylvania,PA,Private,2 Year,10300,15450,25750,15450,25750
Lafayette College,Pennsylvania,PA,Private,4 Year,15640,52880,68520,52880,68520
LaGrange College,Georgia,GA,Private,4 Year,11630,30470,42100,30470,42100
Laguna College of Art and Design,California,CA,Private,4 Year,10000,30700,40700,30700,40700
Lake Area Technical Institute,South Dakota,SD,Public,2 Year,NA,6364,6364,6364,6364
Lake Erie College,Ohio,OH,Private,4 Year,9908,31422,41330,31422,41330
Lake Forest College,Illinois,IL,Private,4 Year,10390,47064,57454,47064,57454
Lake Land College,Illinois,IL,Public,2 Year,NA,4110,4110,13736,13736
Lake Michigan College,Michigan,MI,Public,2 Year,7252,4500,11752,6345,13597
Lake Region State College,North Dakota,ND,Public,2 Year,6660,4475,11135,4475,11135
Lake Superior College,Minnesota,MN,Public,2 Year,NA,5166,5166,6270,6270
Lake Superior State University,Michigan,MI,Public,4 Year,9882,12090,21972,12090,21972
Lake Tahoe Community College,California,CA,Public,2 Year,NA,1410,1410,9825,9825
Lake Washington Institute of Technology,Washington,WA,Public,2 Year,NA,4879,4879,5313,5313
Lake-Sumter State College,Florida,FL,Public,2 Year,NA,3172,3172,13276,13276
Lakeland Community College,Ohio,OH,Public,2 Year,NA,3849,3849,10038,10038
Lakeland University,Wisconsin,WI,Private,4 Year,9234,28870,38104,28870,38104
Lakes Region Community College,New Hampshire,NH,Public,2 Year,NA,6720,6720,14970,14970
Lakeshore Technical College,Wisconsin,WI,Public,2 Year,NA,4020,4020,6030,6030
Lakeview College of Nursing,Illinois,IL,Private,4 Year,NA,16320,16320,16320,16320
Lamar Community College,Colorado,CO,Public,2 Year,6588,3950,10538,6332,12920
Lamar Institute of Technology,Texas,TX,Public,2 Year,NA,5634,5634,18084,18084
Lamar State College at Orange,Texas,TX,Public,2 Year,NA,5330,5330,17780,17780
Lamar State College at Port Arthur,Texas,TX,Public,2 Year,8370,5459,13829,17820,26190
Lamar University,Texas,TX,Public,4 Year,8920,10192,19112,22642,31562
Lancaster Bible College,Pennsylvania,PA,Private,4 Year,8750,25270,34020,25270,34020
Lander University,South Carolina,SC,Public,4 Year,9100,11700,20800,21300,30400
Landing School of Boatbuilding and Design,Maine,ME,Private,2 Year,8757,20740,29497,20740,29497
Landmark College,Vermont,VT,Private,2 Year,11840,56800,68640,56800,68640
Lane College,Tennessee,TN,Private,4 Year,7270,10690,17960,10690,17960
Lane Community College,Oregon,OR,Public,2 Year,NA,5641,5641,12683,12683
Laney College,California,CA,Public,2 Year,NA,1461,1461,9201,9201
Langston University,Oklahoma,OK,Public,4 Year,9476,5950,15426,13300,22776
Lansing Community College,Michigan,MI,Public,2 Year,NA,3530,3530,9830,9830
Laramie County Community College,Wyoming,WY,Public,2 Year,7200,3426,10626,7938,15138
Laredo Community College,Texas,TX,Public,2 Year,NA,4080,4080,7140,7140
Las Positas College,California,CA,Public,2 Year,NA,1436,1436,9686,9686
Lasell College,Massachusetts,MA,Private,4 Year,15400,36000,51400,36000,51400
Lassen Community College,California,CA,Public,2 Year,30,1407,1437,9147,9177
Lawrence Technological University,Michigan,MI,Private,4 Year,9950,33570,43520,33570,43520
Lawrence University,Wisconsin,WI,Private,4 Year,10341,47475,57816,47475,57816
Lawson State Community College,Alabama,AL,Public,2 Year,4760,4760,9520,8660,13420
LDS Business College,Utah,UT,Private,2 Year,5600,3440,9040,3440,9040
Le Moyne College,New York,NY,Private,4 Year,13780,34625,48405,34625,48405
Lebanon Valley College,Pennsylvania,PA,Private,4 Year,11860,43650,55510,43650,55510
Lee College,Texas,TX,Public,2 Year,NA,2643,2643,5313,5313
Lee University,Tennessee,TN,Private,4 Year,7410,17690,25100,17690,25100
Leech Lake Tribal College,Minnesota,MN,Public,2 Year,NA,4920,4920,4920,4920
Lees-McRae College,North Carolina,NC,Private,4 Year,11078,26198,37276,26198,37276
Lehigh Carbon Community College,Pennsylvania,PA,Public,2 Year,NA,4080,4080,10620,10620
Lehigh University,Pennsylvania,PA,Private,4 Year,13600,52930,66530,52930,66530
LeMoyne-Owen College,Tennessee,TN,Private,4 Year,6100,11196,17296,11196,17296
