cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Cacow Belle,https://www.cheese.com/cacow-belle/,cow,United States,Oregon,Cheddar,"semi-soft, artisan",NA,NA,"creamy, smooth",natural,pale yellow,"savory, spicy, sweet","aromatic, spicy",TRUE,FALSE,NA,NA,Rogue Creamery
Caerphilly,https://www.cheese.com/caerphilly/,cow,"United Kingdom, Wales","Wales, London",Cheddar,hard,48%,NA,"crumbly, dense",natural,white,"citrusy, mild, tangy",fresh,NA,NA,"Duckett's Caerphilly, Duckett's Aged Caerphilly",NA,NA
Cahill's Irish Porter Cheddar,https://www.cheese.com/cahills-irish-porter-cheddar/,cow,Ireland,NA,Cheddar,"semi-hard, artisan",NA,NA,firm,NA,brownish yellow,"full-flavored, tangy",rich,NA,NA,Original Irish Porter,NA,Cahills Farm Cheese
Cahill's Whiskey Cheese,https://www.cheese.com/cahills-whiskey-cheese/,cow,Ireland,Co Limerick,Cheddar,"semi-hard, artisan",NA,NA,"creamy, soft",waxed,straw,"butterscotch, creamy","pecan, whiskey",NA,NA,Cahills Original Whiskey cheese,Cahill's Irish Whiskey Cheese,Cahills Farm Cheese
Cairnsmore,https://www.cheese.com/cairnsmore/,sheep,Scotland,Wigtownshire,Cheddar,"hard, artisan",NA,NA,"crumbly, open, smooth",natural,ivory,"burnt caramel, nutty, sweet",aromatic,TRUE,FALSE,NA,NA,Galloway Farmhouse Cheese
Calcagno,https://www.cheese.com/calcagno/,sheep,Italy,Sardinia & Campania,Pecorino,"hard, artisan",NA,NA,"firm, flaky, smooth",natural,pale yellow,"herbaceous, savory, sweet",herbal,FALSE,FALSE,NA,Calcagno Pecorino,Casa Madaio
Calenzana (Calinzanincu),https://www.cheese.com/calenzana/,"goat, sheep",France,Upper Corsica,NA,"semi-soft, artisan",NA,NA,creamy,natural,pale yellow,strong,rich,FALSE,FALSE,Calinzanincu,NA,NA
California Crottin,https://www.cheese.com/california-crottin/,goat,United States,NA,Brie,"soft, artisan, soft-ripened",NA,NA,"dense, firm",mold ripened,cream,"earthy, full-flavored, tangy",mushroom,NA,NA,NA,NA,Redwood Hill Farm & Creamery
cambazola,https://www.cheese.com/cambazola/,cow,Germany,NA,Blue,"soft, soft-ripened",NA,NA,creamy,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA
Cambozola Grand Noir,https://www.cheese.com/cambozola-grand-noir/,cow,Germany,Allgäu,Blue,"semi-soft, blue-veined",NA,NA,creamy,waxed,pale yellow,"sharp, sweet",aromatic,TRUE,FALSE,"Cambozola Black Label, Cambozola Classic, Cambozola Finesse, Cambozola Balance, Cambozola",NA,Käserei Champignon
Cambus o’May,https://www.cheese.com/cambus-omay/,cow,Scotland,Aberdeenshire,NA,"semi-hard, artisan",NA,NA,creamy,cloth wrapped,cream,sharp,strong,NA,NA,NA,NA,The Cambus O’May Cheese Company
Camembert,https://www.cheese.com/camembert/,cow,France,NA,Camembert,"soft, artisan",NA,NA,"smooth, soft-ripened",NA,pale yellow,sweet,"buttery, rich",NA,NA,"Camembert Le Châtelain, Camembert St Loup, Camembert Le Chatelain",NA,NA
Camembert Calvados,https://www.cheese.com/camembert-calvados/,cow,France,NA,NA,"soft, semi-soft",NA,NA,"creamy, smooth, springy",NA,yellow,savory,"aromatic, fruity",NA,NA,NA,NA,NA
Camembert de Normandie,https://www.cheese.com/camembert-de-normandie/,cow,France,Normandy,Camembert,"soft, soft-ripened",NA,NA,creamy,bloomy,pale yellow,creamy,NA,NA,NA,"Camembert de Normandie AOC, Camembert de Normandie PDO",NA,NA
Camembert de Portneuf,https://www.cheese.com/camembert-de-portneuf/,cow,Canada,Quebec,Camembert,"soft, soft-ripened",NA,NA,"creamy, soft-ripened, supple",bloomy,pale yellow,"buttery, creamy",aromatic,NA,NA,NA,NA,Alexis de Portneuf
Camembert des Camarades,https://www.cheese.com/camembert-des-camarades/,cow,Canada,Quebec,Camembert,"soft, soft-ripened",30%,NA,"creamy, soft, soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",NA,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Cameo,https://www.cheese.com/cameo/,goat,United States,California,Camembert,"semi-soft, artisan",NA,NA,"buttery, creamy, soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",NA,NA,NA,NA,Redwood Hill Farm & Creamery
Campfire,https://www.cheese.com/campfire/,cow,United States,Port Townsend,Monterey Jack,semi-hard,NA,NA,"compact, creamy, firm, open, supple",natural,ivory,"buttery, smokey , sweet",smokey,FALSE,FALSE,Smoked Washington Jack,NA,Mt. Townsend Creamery
Campi,https://www.cheese.com/campi/,water buffalo,Italy,Lombardy,NA,"semi-hard, artisan",NA,NA,"elastic, firm",natural,ivory,"spicy, sweet",strong,FALSE,FALSE,NA,NA,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Cana de Cabra,https://www.cheese.com/cana-de-cabra/,goat,Spain,Murcia,NA,"semi-soft, soft-ripened",NA,NA,creamy,bloomy,ivory,"creamy, mild","mild, mushroom",NA,NA,"MitiCana de Cabra, MitiCaña® de Cabra",NA,NA
Canadian Cheddar,https://www.cheese.com/canadian-cheddar/,"cow, goat, sheep",Canada,Ontario,Cheddar,"hard, artisan, processed",NA,NA,"crumbly, open",natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong",FALSE,FALSE,NA,NA,Balderson Cheese Company
Canarejal,https://www.cheese.com/canarejal/,sheep,Spain,NA,NA,soft,NA,NA,"gooey, runny, smooth",NA,pale yellow,NA,NA,NA,NA,NA,NA,NA
Canastra cheese,https://www.cheese.com/canastra-cheese/,cow,Brazil,"Serra da Canastra, Minas Gerais state",NA,artisan,NA,NA,,NA,yellow,spicy,aromatic,NA,NA,Queijo Canastra,NA,NA
Cancoillotte (Cancoyotte),https://www.cheese.com/cancoillotte-cancoyotte/,cow,France,NA,NA,soft,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,Cancoyotte,NA,NA
Canestrato,https://www.cheese.com/canestrato/,"goat, sheep",Italy,Moliterno,NA,"hard, artisan",NA,NA,"dense, flaky",NA,straw,full-flavored,"spicy, strong",NA,NA,"Canestrato di Moliterno, Canestrato di Moliterno IGP",NA,Casa Madaio
Cantal,https://www.cheese.com/cantal/,cow,France,NA,NA,"semi-hard, artisan",NA,NA,firm,natural,pale yellow,NA,NA,NA,NA,"Cantal jeune, Cantal entre-deux, Cantal vieux",NA,NA
Cap Cressy,https://www.cheese.com/cap-cressy/,goat,"Canada, Italy",Lombardy,NA,"semi-hard, artisan, smear-ripened",NA,NA,"compact, dense",washed,pale yellow,"mellow, savory, sweet",lactic,NA,NA,NA,NA,Fifth Town Artisan Cheese
Cape Vessey,https://www.cheese.com/cape-vessey/,goat,Canada,"Prince Edward County, Ontario",NA,"semi-soft, artisan",NA,NA,"chewy, firm",washed,pale yellow,"acidic, creamy, subtle, sweet","goaty, rich, strong",NA,NA,NA,NA,NA
Capra al Fieno,https://www.cheese.com/capra-al-fieno/,goat,Italy,"Treviso, Veneto",NA,"semi-soft, artisan",NA,NA,firm,natural,ivory,"strong, woody","floral, grassy",NA,NA,NA,NA,Moro Latteria di Moro Sergio
Capra al Pepe,https://www.cheese.com/capra-al-pepe/,goat,Italy,"Treviso, Veneto",NA,"soft, artisan",NA,NA,"creamy, soft",natural,pale yellow,"mild, spicy",spicy,NA,NA,NA,NA,Moro Latteria di Moro Sergio
Capra Nouveau,https://www.cheese.com/capra-nouveau/,goat,England,"Chelmarsh, Bridgnorth, Shropshire",NA,semi-soft,NA,NA,"creamy, smooth",washed,ivory,"creamy, herbaceous, nutty, smooth, sweet","herbal, nutty, rich, sweet",NA,NA,Capra Baby,NA,Brock Hall Farm Dairy
Caprano,https://www.cheese.com/caprano/,goat,Canada,Quebec,NA,"hard, semi-hard",26%,NA,"crumbly, open, smooth",natural,pale yellow,pronounced,"goaty, strong",TRUE,FALSE,NA,Aged Caprano,La Maison Alexis de Portneuf Inc.
Capraricca,https://www.cheese.com/capraricca/,goat,Italy,Veneto,NA,"soft, artisan, soft-ripened",NA,NA,"creamy, runny, supple",bloomy,white,sweet,"fresh, goaty",FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Caprese di Bufala,https://www.cheese.com/caprese-di-bufala/,water buffalo,Italy,Veneto,NA,soft,NA,NA,"oily, smooth",natural,straw,"herbaceous, mild, subtle, vegetal","aromatic, fresh",FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Capri Blu,https://www.cheese.com/capri-blu/,goat,"Canada, Italy",Lombardy,Blue,"soft, blue-veined",NA,NA,"creamy, soft",natural,pale yellow,"creamy, subtle, sweet",goaty,NA,NA,NA,NA,Fifth Town Artisan Cheese
Capriago,https://www.cheese.com/capriago/,goat,United States,"Sebastopol, California",NA,"hard, artisan, brined",NA,NA,firm,washed,NA,"nutty, sweet","nutty, spicy",NA,NA,NA,NA,Bohemian Creamery
Caprice,https://www.cheese.com/caprice/,goat,"Canada, Italy",Lombardy,NA,soft,NA,NA,"creamy, smooth",natural,white,subtle,goaty,NA,NA,NA,NA,Fifth Town Artisan Cheese
Caprice des Dieux,https://www.cheese.com/caprice-des-dieux/,cow,France,Illoud (Haute-Marne),NA,"soft, soft-ripened",60%,NA,"creamy, smooth",bloomy,white,"buttery, nutty, smooth",fresh,TRUE,FALSE,NA,NA,Savencia Fromage & Dairy
Capricious,https://www.cheese.com/capricious/,goat,United States,"Petaluma, California",NA,"hard, artisan",NA,NA,creamy,mold ripened,ivory,"caramel, nutty",nutty,NA,NA,NA,NA,Achadinha Cheese Company
Capricorn Somerset Goats Cheese,https://www.cheese.com/capricorn-somerset-goats-cheese/,goat,England,Somerset,NA,"soft, artisan",NA,NA,"creamy, crumbly, firm, smooth",bloomy,white,nutty,NA,TRUE,FALSE,NA,NA,Lactalis McLelland Ltd
Capriny,https://www.cheese.com/capriny/,goat,Canada,Quebec,NA,soft,NA,NA,creamy,rindless,white,"creamy, mild, sharp, sour",goaty,NA,NA,NA,"Capriny with Fine Herbs, Capriny Pepper",La Maison Alexis de Portneuf Inc.
Capriole Banon,https://www.cheese.com/capriole-banon/,goat,United States,"Greenville, Indiana",NA,"soft, artisan",NA,NA,"creamy, dense",leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty",FALSE,FALSE,O'Banon,NA,Capriole Goat Cheese
Caprotto,https://www.cheese.com/caprotto/,goat,Italy,Campania,NA,"hard, artisan",NA,NA,compact,natural,straw,"sharp, spicy","floral, strong",FALSE,FALSE,NA,NA,Casa Madaio
Carabiner,https://www.cheese.com/carabiner/,cow,United States,California,NA,"semi-hard, artisan",NA,NA,"dense, firm",natural,yellow,"nutty, salty, sweet",earthy,TRUE,FALSE,NA,NA,Weirauch Farm and Creamery
Caravane,https://www.cheese.com/caravane/,camel,Mauritania,NA,NA,"soft, artisan",22%,NA,creamy,bloomy,white,"salty, sweet",NA,TRUE,FALSE,Camelbert,NA,Tiviski
Carboncino,https://www.cheese.com/carboncino/,"cow, goat, sheep",Italy,NA,NA,fresh soft,NA,NA,"creamy, gooey, runny, soft",NA,white,NA,NA,NA,NA,NA,NA,NA
Cardo,https://www.cheese.com/cardo/,goat,"England, Scotland, Wales","Timsbury, Somerset",NA,"semi-soft, artisan",NA,NA,"firm, open, runny",washed,ivory,"floral, pungent, savory",pungent,TRUE,FALSE,NA,NA,NA
Carlina,https://www.cheese.com/carlina/,cow,Italy,Veneto,NA,"fresh soft, artisan",NA,NA,creamy,bloomy,white,subtle,fresh,FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Carlow,https://www.cheese.com/carlow/,cow,Ireland,County Carlow,NA,"semi-hard, artisan",NA,NA,"firm, smooth",waxed,golden yellow,"mild, savory, spicy",NA,NA,NA,NA,NA,Elizabeth Bradley @ Carlow Cheese
Carmody,https://www.cheese.com/carmody/,cow,United States,California,Gorgonzola,"semi-hard, artisan",NA,NA,firm,natural,cream,"buttery, caramel, sweet",fresh,TRUE,FALSE,NA,NA,Bellwether Farms
Carnia Altobut,https://www.cheese.com/carnia-altobut/,cow,Italy,Carnia,NA,"hard, artisan",NA,NA,"compact, elastic, firm, open",natural,pale yellow,"pronounced, strong, subtle","aromatic, floral",FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Caronzola,https://www.cheese.com/caronzola/,cow,Canada,Quebec,Blue,"soft, blue-veined",NA,NA,creamy,bloomy,ivory,mild,NA,NA,NA,NA,NA,La Maison Alexis de Portneuf Inc.
Carr Valley Glacier Wildfire Blue,https://www.cheese.com/carr-valley-glacier-wildfire-blue/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly, soft",rindless,ivory,creamy,clean,NA,NA,NA,NA,Carr Valley Cheese Company
Carre de l'Est,https://www.cheese.com/carre-de-lest/,cow,France,NA,NA,soft,NA,NA,smooth,washed,pale yellow,smokey,NA,NA,NA,NA,NA,NA
Carrick,https://www.cheese.com/carrick/,cow,Scotland,NA,NA,"hard, organic",NA,NA,creamy,edible,cream,citrusy,earthy,TRUE,FALSE,NA,NA,The Ethical Dairy
Carrot Rebel,https://www.cheese.com/carrot-rebel/,cow,Austria,Sulzberg,NA,"semi-hard, artisan",50%,NA,creamy,natural,orange,"creamy, fruity, nutty, sweet","aromatic, fruity, sweet",NA,NA,Rüblirebell,NA,Sulzberger Käserebellen Sennerei GmbH
Carrowholly,https://www.cheese.com/carrowholly/,cow,Ireland,Co. Mayo,Gouda,"hard, artisan",NA,NA,"crumbly, crystalline, firm, smooth",waxed,yellow,"acidic, crunchy, fruity, herbaceous, mild, spicy",NA,TRUE,FALSE,"Carrowholly Original, Carrowholly ""Old Russet"", Carrowholly Cheese Flavoured, Carrowholly Nettle, Carrowholly Pepper, Carrowholly Garlic & Chive",NA,Carrowholly Cheese
Casatica,https://www.cheese.com/casatica/,water buffalo,Italy,Lombardy,NA,"semi-soft, artisan, soft-ripened",NA,NA,"creamy, soft-ripened",bloomy,white,"creamy, subtle","aromatic, milky, pleasant, rich",FALSE,FALSE,Casatica di Bufala,NA,NA
Casciotta di Urbino,https://www.cheese.com/casciotta-di-urbino/,"cow, sheep",Italy,Pesaro-Urbino,Caciotta,"semi-soft, artisan",45%,NA,"creamy, crumbly, open",waxed,straw,"acidic, milky, nutty","grassy, pleasant",FALSE,FALSE,NA,"Casciotta di Urbino D.O.P, Casciotta di Urbino PDO, Casciotta d’Urbino",Caseificio Val D’Apsa
Cashel Blue,https://www.cheese.com/cashel-blue/,cow,Ireland,NA,Blue,"semi-soft, blue-veined",NA,NA,creamy,natural,blue,tangy,sweet,TRUE,FALSE,NA,NA,J&L Grubb Ltd.
Cashew Nut Cream Cheese,https://www.cheese.com/cashew-nut-cream-cheese/,,United States,Brooklyn NY,NA,"soft, artisan",NA,NA,"creamy, smooth, soft, spreadable",NA,white,"creamy, nutty, sweet","clean, fresh, nutty",TRUE,FALSE,"Cream Cashew Nut Cheese with Chives, Cream Cashew Nut Cheese with Tomato-Turmeric-Garlic",Plain Cream Cashew Nut Cheese,Dr. Cow Tree Nut Cheese
Castelmagno,https://www.cheese.com/castelmagno/,"cow, goat, sheep",Italy,Piedmont,Blue,semi-hard,34.2 g/100g,4768 mg/100g,"crumbly, dense, grainy",washed,ivory,"sharp, spicy, strong",strong,FALSE,FALSE,NA,"Castelmagno PDO, Castelmagno di alpeggio, Castelmagno prodotto della montagna",NA
Castelo Branco,https://www.cheese.com/castelo-branco/,"goat, sheep",Portugal,"Castelo Branco, Fundão and Idanha-a-Nova",NA,"semi-soft, artisan",45%,NA,"brittle, creamy, crumbly, firm, smooth",natural,pale yellow,"sour, spicy, tangy",aromatic,TRUE,FALSE,NA,Queijo de Castelo Branco,NA
Castigliano,https://www.cheese.com/castigliano/,"cow, goat, sheep",Spain,Castile-Leon,NA,hard,NA,NA,firm,natural,yellow,"acidic, salty, spicy",rich,FALSE,FALSE,NA,Queso Castellano,NA
Castillon Frais,https://www.cheese.com/castillon-frais/,sheep,France,NA,NA,fresh soft,NA,NA,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE,Fresh Castillon,NA,David and Fanette Ladu
Castle Blue,https://www.cheese.com/castle-blue/,cow,Canada,British Columbia,Brie,"semi-soft, blue-veined, soft-ripened",NA,NA,"buttery, creamy",natural,cream,"creamy, piquant, sweet","earthy, rich",FALSE,FALSE,NA,NA,The Farm House Natural Cheeses
Casu marzu,https://www.cheese.com/casu-marzu/,sheep,"France, Italy","Sardinia (Italy), Southern Corsica (France)",NA,"soft, soft-ripened",NA,NA,soft-ripened,natural,NA,NA,NA,NA,NA,"casu modde, casu cundídu, casu fràzigu, formaggio marcio, Casu martzu, Casgiu merzu",NA,NA
Cathelain,https://www.cheese.com/cathelain/,cow,France,NA,NA,soft,NA,NA,smooth,NA,NA,sour,NA,FALSE,FALSE,NA,NA,NA
Catupiry,https://www.cheese.com/catupiry/,cow,Brazil,NA,NA,"soft, processed",NA,NA,"creamy, spreadable",NA,white,"creamy, mild, milky","fresh, milky",FALSE,FALSE,"Catupiry Original, Catupiry Light",NA,NA
Cave Aged Marisa,https://www.cheese.com/cave-aged-marisa/,sheep,United States,Wisconsin,NA,"semi-hard, artisan",NA,NA,firm,natural,pale yellow,"sweet, tangy",sweet,NA,NA,NA,NA,Carr Valley Cheese Company
Cave Rebel,https://www.cheese.com/cave-rebel/,cow,Austria,Sulzberg,NA,"hard, artisan",50%,NA,"compact, crumbly, firm, open",natural,pale yellow,"creamy, grassy","aromatic, nutty",NA,NA,Höhlenrebell,NA,Sulzberger Käserebellen Sennerei GmbH
Caveman Blue,https://www.cheese.com/caveman-blue/,cow,United States,Oregon,Blue,"semi-hard, blue-veined",NA,NA,"creamy, dense",natural,pale yellow,"buttery, mushroomy",fresh,TRUE,FALSE,NA,NA,Rogue Creamery
Caws Cenarth Black Sheep,https://www.cheese.com/caws-cenarth-black-sheep/,sheep,Wales,NA,NA,semi-hard,NA,NA,buttery,NA,cream,NA,NA,NA,NA,NA,NA,NA
Caws Penhelyg Abaty,https://www.cheese.com/caws-penhelyg-abaty/,cow,Wales,NA,NA,soft,NA,NA,gooey,NA,white,NA,NA,NA,NA,NA,NA,NA
Cayuga Blue,https://www.cheese.com/cayuga-blue/,goat,United States,NY,Blue,"semi-hard, blue-veined",NA,NA,compact,bloomy,ivory,creamy,"mild, rich",TRUE,FALSE,NA,NA,Lively Run Goat Dairy
Cello Thick & Smooth Mascarpone,https://www.cheese.com/cello-thick-smooth-mascarpone/,cow,United States,NA,NA,"fresh soft, processed",NA,NA,"buttery, creamy, firm, smooth",rindless,white,"creamy, milky, sweet","fresh, milky",NA,NA,NA,NA,Schuman Cheese
Celtic Promise,https://www.cheese.com/celtic-promise/,cow,United Kingdom,Ceredigion,NA,"semi-soft, artisan",NA,NA,creamy,washed,yellow,full-flavored,pungent,TRUE,FALSE,NA,NA,Teifi Farmhouse Cheese
Cendre d'Olivet,https://www.cheese.com/cendre-dolivet/,cow,France,Centre-Val de Loire,NA,"soft, artisan",45%,NA,"smooth, supple",natural,ivory,"mild, smooth","earthy, pungent",FALSE,FALSE,NA,Olivet Cendre,NA
Cendré des Prés,https://www.cheese.com/cendre-des-pres/,cow,Canada,Quebec,Brie,"soft, artisan, soft-ripened",27%,NA,"buttery, creamy, soft",bloomy,ivory,"acidic, buttery, creamy, fruity, mushroomy","aromatic, buttery, floral, lactic, mushroom, woody",NA,NA,NA,NA,Fromagerie Domaine Féodal inc.
Cerney Pyramid,https://www.cheese.com/cerney-pyramid/,goat,"England, Great Britain, United Kingdom",Cotswolds,NA,"fresh soft, artisan",NA,NA,creamy,natural,white,"citrusy, lemony, mild, sweet",NA,TRUE,FALSE,NA,NA,NA
Chabichou du Poitou,https://www.cheese.com/chabichou-du-poitou/,goat,France,NA,NA,"semi-soft, artisan",NA,NA,creamy,NA,white,"salty, sweet, tangy",goaty,NA,NA,"Chabichou du Poitou AOP, Chabichou du Poitou AOC",NA,NA
Chabis de Gatine,https://www.cheese.com/chabis-de-gatine/,goat,France,Poitou-Charentes,NA,"soft, artisan",NA,NA,"firm, smooth",natural,white,"salty, sharp",goaty,FALSE,FALSE,NA,NA,NA
Challerhocker,https://www.cheese.com/challerhocker/,cow,Switzerland,"St. Gallen (canton), Tufertschwil",Swiss Cheese,hard,NA,NA,"creamy, dense, smooth",washed,pale yellow,"caramel, nutty, salty, sweet","nutty, sweet",NA,NA,NA,NA,Käserei Tufertschwil
Champignon de Luxe Garlic,https://www.cheese.com/champignon-de-luxe-garlic/,cow,Germany,Allgäu,NA,"soft, soft-ripened",NA,NA,creamy,natural,cream,"garlicky, herbaceous","herbal, spicy",TRUE,FALSE,"Champignon de Luxe Knoblauch, Champignon Garlic",NA,Käserei Champignon
Champignon de Luxe Pepper,https://www.cheese.com/champignon-de-luxe-pepper/,cow,Germany,Allgäu,NA,"soft, soft-ripened",NA,NA,creamy,natural,cream,"creamy, sharp",spicy,TRUE,FALSE,"Champignon Pepper, Champignon de Luxe Pfeffer",NA,Käserei Champignon
Champignon Mushrooom,https://www.cheese.com/champignon-mushrooom/,cow,Germany,Allgäu,NA,"soft, soft-ripened",NA,NA,creamy,natural,cream,"creamy, mushroomy","fresh, mild",TRUE,FALSE,Champignon Mushroom Mini,NA,Käserei Champignon
Chaource,https://www.cheese.com/chaource/,cow,France,NA,NA,"soft, soft-ripened",NA,NA,"creamy, runny",NA,cream,creamy,NA,NA,NA,NA,NA,NA
Chapman's Pasture,https://www.cheese.com/chapmans-pasture/,cow,United States,Vermont,Parmesan,semi-hard,NA,NA,grainy,washed,ivory,"sharp, sweet","strong, sweet",FALSE,FALSE,NA,NA,Parish Hill Creamery
Charolais,https://www.cheese.com/charolais/,goat,France,Bourgogne,NA,semi-soft,NA,NA,firm,NA,NA,"acidic, salty, sweet",subtle,FALSE,FALSE,Charoles,NA,NA
Chaumes,https://www.cheese.com/chaumes/,cow,France,St Antoine,NA,"soft, semi-soft, soft-ripened",50%,NA,"creamy, smooth, springy, supple",washed,pale yellow,"full-flavored, nutty","aromatic, strong",FALSE,FALSE,NA,Chaumes la Crème,NA
Chavroux,https://www.cheese.com/chavroux/,goat,France,NA,NA,soft,12%,NA,"creamy, spreadable",NA,white,"creamy, mild","fresh, goaty",NA,NA,NA,NA,NA
Checkerboard Cheddar,https://www.cheese.com/checkerboard-cheddar/,cow,United States,NY,Cheddar,"semi-hard, artisan",NA,NA,crumbly,natural,pale yellow,"sharp, sweet, tangy",pleasant,NA,NA,NA,NA,Muranda Cheese Company
Cheddar,https://www.cheese.com/cheddar/,cow,England,NA,Cheddar,hard,NA,NA,compact,NA,pale yellow,"creamy, sharp",NA,NA,NA,NA,NA,NA
Cheddar LaDiDa Lavender,https://www.cheese.com/cheddar-ladida-lavender/,cow,United States,Oregon,Cheddar,"semi-hard, artisan",NA,NA,"creamy, smooth",natural,white,"herbaceous, savory, subtle",earthy,TRUE,FALSE,NA,La Di Da Lavender,Rogue Creamery
Cheddar with Irish Porter,https://www.cheese.com/cheddar-with-irish-porter/,cow,Ireland,Kilmallock County Limerick,Cheddar,"semi-hard, artisan",NA,NA,smooth,NA,pale yellow,"fruity, tangy","pungent, rich",NA,NA,Irish Porter,NA,NA
Cheddar with Red Wine,https://www.cheese.com/cheddar-with-red-wine/,cow,Ireland,Kilmallock County Limerick,Cheddar,"semi-hard, artisan",NA,NA,firm,NA,pale yellow,"fruity, tangy","fruity, rich",TRUE,FALSE,Red Wine Cheddar,NA,J.O.D. Foods
Cheese Curds,https://www.cheese.com/cheese-curds/,,"Canada, India, United States",NA,Cheddar,fresh firm,NA,NA,"firm, springy",natural,white,"mild, milky",fresh,NA,NA,"Squeaky Cheese, cheeseballs, paneer, Boivin Cheddar Curds",NA,NA
Chelsea Blue,https://www.cheese.com/chelsea-blue/,,Australia,"Mornington Peninsula, Melbourne",Blue,artisan,NA,NA,crumbly,NA,NA,"nutty, salty, sweet","nutty, sweet",TRUE,FALSE,NA,NA,BoatShed Cheese
Cherni Vit,https://www.cheese.com/cherni-vit/,sheep,Bulgaria,Central Balkan Mountains,NA,"soft, brined",NA,NA,soft,mold ripened,green,"nutty, sharp",NA,NA,NA,NA,NA,NA
