show,synopsis
The Music Man,"Two-time Tony, Grammy, and Emmy winner Hugh Jackman will make his highly anticipated return to Broadway as Professor Harold Hill in Meredith Willson’s beloved classic, The Music Man. Two-time Tony-winning superstar Sutton Foster will star as Marian Paroo. The production, directed by four-time Tony winner Jerry Zaks, with choreography by Tony winner Warren Carlyle, will begin performances on Sept. 9, 2020, and officially open on Oct. 15, 2020."
Dirty Blonde,A contemporary actress and a film archivist share a passion for the legendary film star Mae West and act out memorable moments from her life in Claudia Shear's comedic tribute to obsessive fandom.
The Man Who Came to Dinner,"An acerbic theatre critic breaks his leg while on a lecture tour in the Midwest and is forced to stay a bit longer at the home of his host family, ultimately taking over the house with his demands and visiting Broadway luminary friends."
The Best Man,"A well-born, womanizing idealist and an ambitious member of the working class compete for the office of President of the United States in Gore Vidal's satire of campaign double-dealings."
The Full Monty,Six unemployed steelworkers try to make some quick cash by taking off their clothes.  Their unlikely new job strengthens their self-esteem and friendship in this musical version of the Academy Award-nominated 1997 film.
The Dinner Party,Six antagonistic guests are corralled together for a dinner party run by a mysterious host with a sketchily defined purpose.
Matters of the Heart,"Patti LuPone examines the many facets of the heart's emotions in songs by Rodgers and Hammerstein, Stephen Sondheim, Judy Collins, Randy Newman and more."
Proof,NA
The Tale of the Allergist's Wife,"Marjorie, the wife of allergist Ira Taub, cannot rouse herself from a deep personal crisis until her enigmatic childhood friend, Lee, comes to visit in this comedy from veteran playwright Charles Busch."
Betrayal,"Pinter's play tracks an affair between a woman and her husband's best friend, starting with the end and moving back to the beginning. Amidst the conflicting points of view, shifting alliances, destructive jealousy and binding passions . . .who is really telling the truth?"
The Rocky Horror Show,"Innocent Brad and Janet find themselves seeking shelter at a mysterious old castle on a dark and stormy night, where they encounter transvestite Dr. Frank N Furter, his ""perfect"" creation Rocky, and an assortment of other crazy creatures."
Seussical,"Horton the Elephant, the Cat in the Hat and other characters from the whimsical imagination of Dr. Seuss come together in this musical featuring a score by Lynn Ahrens and Stephen Flaherty."
Jane Eyre,NA
A Class Act,"The previously unpublished songs of Ed Kleban, best known as the lyricist of A Chorus Line, are used to tell the story of his life -- especially his personal quirks and his love of the theatre."
Design for Living,"Artists Gilda, Otto and Leo rotate partners while on an excursion through Europe in Noel Coward's scandalous ""ménage à trois"" dark comedy."
Judgment at Nuremberg,"In post-Holocaust Germany, Nazi judges are tried for war crimes.  Abby Mann's play was previously seen on television and film and as a novel."
The Invention of Love,"Tom Stoppard envisions the venerated English poet A.E. Houseman taking his final journey across the river Styx and meeting (and interacting with) his younger self, seen as a student at Oxford dealing with unrequited love for a classmate."
Follies,NA
Bells Are Ringing,"An answering service operator gets a little too involved in the lives of her clients, particularly a procrastinating playwright whom she falls for.  Mistaken identity and misadventures follow in this Jule Styne-Comden and Green musical comedy."
One Flew Over the Cuckoo's Nest,Mental hospital patient Randle McMurphy leads a revolt against cold Nurse Ratched in this stage adaptation of the Ken Kesey novel.
Stones in His Pockets,A cast of two actors relate the effect a big Hollywood movie shoot has on a small Irish town.
The Producers,"Mel Brooks' adaptation of his 1968 film features fading producer Max Bialystock, who convinces accountant Leo Bloom to partner with him in producing Springtime for Hitler, a guaranteed flop, and then running off with the money they've raised."
The Adventures of Tom Sawyer,"This musical adaptation of the Mark Twain novel follows Tom Sawyer, Becky Thatcher and Huck Finn through their fence-painting, murder-avoiding adventures in 1840s Missouri."
Blast!,"A marching band based in Indiana plays a variety of instruments in choreographed routines set to music by Copland, Ravel, Leonard Bernstein and more."
King Hedley II,"In the 1980s portion of August Wilson's 10-play cycle on African-American life in Pittsburgh, an ex-convict struggles to put the money together to open a video store and turn his life around."
The Gathering,"A Holocaust survivor working as a sculptor in 1985 New York hides his suffering behind wisecracks, ultimately confronting the issue with a West German soldier on the eve of President Reagan's visit to the country."
George Gershwin Alone,"The story of legendary composer George Gershwin is examined in dialogue, song and piano performances of his greatest classics."
Major Barbara,NA
If You Ever Leave Me...I'm Going with You!,Renee Taylor and Joseph Bologna tell stories of their long marriage and enact autobiographical scenes and sketches that they have written and performed over the years.
Urinetown The Musical,"In a futuristic world, people must pay for the privilege to urinate.  Heroic Bobby Strong leads the fight against this practice in a musical comedy that spoofs musical comedy — and musical drama."
Dance of Death,A captain and his wife draw her visiting cousin into their dangerous marital games in August Strindberg's 1901 play.
Thou Shalt Not,"Harry Connick, Jr.'s musical adaptation of the Emile Zola novel Therese Raquin transplants the tale of secret lovers Therese and Laurent, who conspire to murder her husband Camille, to 1940s New Orleans."
Mamma Mia!,NA
Sexaholix,John Leguizamo examines his love life and decision to start a family in this one-man evening of autobiographical comedy.
The Women,NA
45 Seconds from Broadway,"Neil Simon's affectionate, fictionalized tribute to the popular Broadway district eatery Café Edison includes an assortment of theatrical types who frequent the establishment, from a controversial comedian to a fading actress to matinee ladies, all taken care of by the couple who run the restaurant."
By Jeeves,"P.G. Wodehouse's resourceful butler Jeeves and his employer, Bertie Wooster, are brought to musical life by Andrew Lloyd Webber and Alan Ayckbourn. When Bertie's banjo goes missing before a concert, Jeeves encourages him to tell stories about his high-society friends instead."
Noises Off,"In Act I of Michael Frayn's farce, a second-rate company of British actors is rehearsing a touring company of a terrible sex farce. Act II reveals the backstage chaos that takes place during a performance, and Act III follows the onstage performance in which everything goes wrong."
QED,"The life of physicist Richard Feynman, who also performed in amateur musicals, is examined in Peter Parnell's play."
Mostly Sondheim,"Legendary singer Barbara Cook brings this concert of songs Stephen Sondheim wrote, and songs he wishes he had written, to Broadway after a successful engagement at Carnegie Hall."
