player,year,tournament,outcome,gender
Iva Majoli,1993,French Open,4th Round,Female
Tracy Austin,1993,French Open,Absent,Female
Venus Williams,1993,French Open,NA,Female
Serena Williams,1993,French Open,NA,Female
Lindsay Davenport,1993,French Open,1st Round,Female
Nathalie Tauziat,1993,French Open,3rd Round,Female
Martina Navratilova,1993,French Open,Absent,Female
Mary Pierce,1993,French Open,4th Round,Female
Anke Huber,1993,French Open,Semi-finalist,Female
Helena Suková,1993,French Open,Absent,Female
Manuela Maleeva,1993,French Open,3rd Round,Female
Natasha Zvereva,1993,French Open,4th Round,Female
Zina Garrison Jackson,1993,French Open,1st Round,Female
Pam Shriver,1993,French Open,Absent,Female
Elena Dementieva,1993,French Open,NA,Female
Steffi Graf,1993,Wimbledon,Won,Female
// Monica Seles,1993,Wimbledon,Absent,Female
Martina Hingis,1993,Wimbledon,NA,Female
Arantxa Sánchez Vicario,1993,Wimbledon,4th Round,Female
Jana Novotná,1993,Wimbledon,Finalist,Female
Gabriela Sabatini,1993,Wimbledon,Quarterfinalist,Female
Amélie Mauresmo,1993,Wimbledon,NA,Female
Conchita Martínez,1993,Wimbledon,Semi-finalist,Female
Jennifer Capriati,1993,Wimbledon,Quarterfinalist,Female
Mary Joe Fernández,1993,Wimbledon,3rd Round,Female
Iva Majoli,1993,Wimbledon,Absent,Female
Tracy Austin,1993,Wimbledon,Absent,Female
Venus Williams,1993,Wimbledon,NA,Female
Serena Williams,1993,Wimbledon,NA,Female
Lindsay Davenport,1993,Wimbledon,3rd Round,Female
Nathalie Tauziat,1993,Wimbledon,4th Round,Female
Martina Navratilova,1993,Wimbledon,Semi-finalist,Female
Mary Pierce,1993,Wimbledon,Absent,Female
Anke Huber,1993,Wimbledon,4th Round,Female
Helena Suková,1993,Wimbledon,Quarterfinalist,Female
Manuela Maleeva,1993,Wimbledon,2nd Round,Female
Natasha Zvereva,1993,Wimbledon,Quarterfinalist,Female
Zina Garrison Jackson,1993,Wimbledon,4th Round,Female
Pam Shriver,1993,Wimbledon,Absent,Female
Elena Dementieva,1993,Wimbledon,NA,Female
Steffi Graf,1993,US Open,Won,Female
// Monica Seles,1993,US Open,Absent,Female
Martina Hingis,1993,US Open,NA,Female
Arantxa Sánchez Vicario,1993,US Open,Semi-finalist,Female
Jana Novotná,1993,US Open,4th Round,Female
Gabriela Sabatini,1993,US Open,Quarterfinalist,Female
Amélie Mauresmo,1993,US Open,NA,Female
Conchita Martínez,1993,US Open,4th Round,Female
Jennifer Capriati,1993,US Open,1st Round,Female
Mary Joe Fernández,1993,US Open,Absent,Female
Iva Majoli,1993,US Open,2nd Round,Female
Tracy Austin,1993,US Open,Absent,Female
Venus Williams,1993,US Open,NA,Female
Serena Williams,1993,US Open,NA,Female
Lindsay Davenport,1993,US Open,4th Round,Female
Nathalie Tauziat,1993,US Open,4th Round,Female
Martina Navratilova,1993,US Open,4th Round,Female
Mary Pierce,1993,US Open,4th Round,Female
Anke Huber,1993,US Open,3rd Round,Female
Helena Suková,1993,US Open,Finalist,Female
Manuela Maleeva,1993,US Open,Semi-finalist,Female
Natasha Zvereva,1993,US Open,Quarterfinalist,Female
Zina Garrison Jackson,1993,US Open,3rd Round,Female
Pam Shriver,1993,US Open,1st Round,Female
Elena Dementieva,1993,US Open,NA,Female
Steffi Graf,1994,Australian Open,Won,Female
// Monica Seles,1994,Australian Open,Absent,Female
Martina Hingis,1994,Australian Open,NA,Female
Arantxa Sánchez Vicario,1994,Australian Open,Finalist,Female
Jana Novotná,1994,Australian Open,Quarterfinalist,Female
Gabriela Sabatini,1994,Australian Open,Semi-finalist,Female
Amélie Mauresmo,1994,Australian Open,NA,Female
Conchita Martínez,1994,Australian Open,Quarterfinalist,Female
Jennifer Capriati,1994,Australian Open,Absent,Female
Mary Joe Fernández,1994,Australian Open,4th Round,Female
Iva Majoli,1994,Australian Open,Absent,Female
Tracy Austin,1994,Australian Open,2nd Round,Female
Venus Williams,1994,Australian Open,NA,Female
Serena Williams,1994,Australian Open,NA,Female
Lindsay Davenport,1994,Australian Open,Quarterfinalist,Female
Nathalie Tauziat,1994,Australian Open,1st Round,Female
Martina Navratilova,1994,Australian Open,Absent,Female
Mary Pierce,1994,Australian Open,4th Round,Female
Anke Huber,1994,Australian Open,3rd Round,Female
Helena Suková,1994,Australian Open,3rd Round,Female
Manuela Maleeva,1994,Australian Open,Quarterfinalist,Female
Natasha Zvereva,1994,Australian Open,1st Round,Female
Zina Garrison Jackson,1994,Australian Open,1st Round,Female
Pam Shriver,1994,Australian Open,2nd Round,Female
Elena Dementieva,1994,Australian Open,NA,Female
Steffi Graf,1994,French Open,Semi-finalist,Female
// Monica Seles,1994,French Open,Absent,Female
Martina Hingis,1994,French Open,NA,Female
Arantxa Sánchez Vicario,1994,French Open,Won,Female
Jana Novotná,1994,French Open,1st Round,Female
Gabriela Sabatini,1994,French Open,1st Round,Female
Amélie Mauresmo,1994,French Open,NA,Female
Conchita Martínez,1994,French Open,Semi-finalist,Female
Jennifer Capriati,1994,French Open,Absent,Female
Mary Joe Fernández,1994,French Open,3rd Round,Female
Iva Majoli,1994,French Open,4th Round,Female
Tracy Austin,1994,French Open,1st Round,Female
Venus Williams,1994,French Open,NA,Female
Serena Williams,1994,French Open,NA,Female
Lindsay Davenport,1994,French Open,3rd Round,Female
Nathalie Tauziat,1994,French Open,2nd Round,Female
Martina Navratilova,1994,French Open,1st Round,Female
Mary Pierce,1994,French Open,Finalist,Female
Anke Huber,1994,French Open,4th Round,Female
Helena Suková,1994,French Open,3rd Round,Female
Manuela Maleeva,1994,French Open,Retired,Female
Natasha Zvereva,1994,French Open,4th Round,Female
Zina Garrison Jackson,1994,French Open,1st Round,Female
Pam Shriver,1994,French Open,1st Round,Female
Elena Dementieva,1994,French Open,NA,Female
Steffi Graf,1994,Wimbledon,1st Round,Female
// Monica Seles,1994,Wimbledon,Absent,Female
Martina Hingis,1994,Wimbledon,NA,Female
Arantxa Sánchez Vicario,1994,Wimbledon,4th Round,Female
Jana Novotná,1994,Wimbledon,Quarterfinalist,Female
Gabriela Sabatini,1994,Wimbledon,4th Round,Female
Amélie Mauresmo,1994,Wimbledon,NA,Female
Conchita Martínez,1994,Wimbledon,Won,Female
Jennifer Capriati,1994,Wimbledon,Absent,Female
Mary Joe Fernández,1994,Wimbledon,3rd Round,Female
Iva Majoli,1994,Wimbledon,1st Round,Female
Tracy Austin,1994,Wimbledon,Absent,Female
Venus Williams,1994,Wimbledon,NA,Female
Serena Williams,1994,Wimbledon,NA,Female
Lindsay Davenport,1994,Wimbledon,Quarterfinalist,Female
Nathalie Tauziat,1994,Wimbledon,3rd Round,Female
Martina Navratilova,1994,Wimbledon,Finalist,Female
Mary Pierce,1994,Wimbledon,Absent,Female
Anke Huber,1994,Wimbledon,2nd Round,Female
Helena Suková,1994,Wimbledon,4th Round,Female
Manuela Maleeva,1994,Wimbledon,Retired,Female
Natasha Zvereva,1994,Wimbledon,1st Round,Female
Zina Garrison Jackson,1994,Wimbledon,Quarterfinalist,Female
Pam Shriver,1994,Wimbledon,3rd Round,Female
Elena Dementieva,1994,Wimbledon,NA,Female
Steffi Graf,1994,US Open,Finalist,Female
// Monica Seles,1994,US Open,Absent,Female
Martina Hingis,1994,US Open,NA,Female
Arantxa Sánchez Vicario,1994,US Open,Won,Female
Jana Novotná,1994,US Open,Semi-finalist,Female
Gabriela Sabatini,1994,US Open,Semi-finalist,Female
Amélie Mauresmo,1994,US Open,NA,Female
Conchita Martínez,1994,US Open,3rd Round,Female
Jennifer Capriati,1994,US Open,Absent,Female
Mary Joe Fernández,1994,US Open,3rd Round,Female
Iva Majoli,1994,US Open,4th Round,Female
Tracy Austin,1994,US Open,Absent,Female
Venus Williams,1994,US Open,NA,Female
Serena Williams,1994,US Open,NA,Female
Lindsay Davenport,1994,US Open,3rd Round,Female
Nathalie Tauziat,1994,US Open,2nd Round,Female
Martina Navratilova,1994,US Open,Absent,Female
Mary Pierce,1994,US Open,Quarterfinalist,Female
Anke Huber,1994,US Open,2nd Round,Female
Helena Suková,1994,US Open,Absent,Female
Manuela Maleeva,1994,US Open,Retired,Female
Natasha Zvereva,1994,US Open,Absent,Female
Zina Garrison Jackson,1994,US Open,4th Round,Female
Pam Shriver,1994,US Open,2nd Round,Female
Elena Dementieva,1994,US Open,NA,Female
Steffi Graf,1995,Australian Open,Absent,Female
// Monica Seles,1995,Australian Open,Absent,Female
Martina Hingis,1995,Australian Open,2nd Round,Female
Arantxa Sánchez Vicario,1995,Australian Open,Finalist,Female
Jana Novotná,1995,Australian Open,4th Round,Female
Gabriela Sabatini,1995,Australian Open,1st Round,Female
Amélie Mauresmo,1995,Australian Open,Absent,Female
Conchita Martínez,1995,Australian Open,Semi-finalist,Female
Jennifer Capriati,1995,Australian Open,Absent,Female
Mary Joe Fernández,1995,Australian Open,4th Round,Female
Iva Majoli,1995,Australian Open,Absent,Female
Tracy Austin,1995,Australian Open,Retired,Female
Venus Williams,1995,Australian Open,NA,Female
Serena Williams,1995,Australian Open,NA,Female
Lindsay Davenport,1995,Australian Open,Quarterfinalist,Female
Nathalie Tauziat,1995,Australian Open,Absent,Female
Martina Navratilova,1995,Australian Open,Retired,Female
Mary Pierce,1995,Australian Open,Won,Female
Anke Huber,1995,Australian Open,4th Round,Female
Helena Suková,1995,Australian Open,2nd Round,Female
Manuela Maleeva,1995,Australian Open,Retired,Female
Natasha Zvereva,1995,Australian Open,Quarterfinalist,Female
Zina Garrison Jackson,1995,Australian Open,3rd Round,Female
Pam Shriver,1995,Australian Open,1st Round,Female
Elena Dementieva,1995,Australian Open,NA,Female
Steffi Graf,1995,French Open,Won,Female
// Monica Seles,1995,French Open,Absent,Female
Martina Hingis,1995,French Open,3rd Round,Female
Arantxa Sánchez Vicario,1995,French Open,Finalist,Female
Jana Novotná,1995,French Open,3rd Round,Female
Gabriela Sabatini,1995,French Open,Quarterfinalist,Female
Amélie Mauresmo,1995,French Open,1st Round,Female
Conchita Martínez,1995,French Open,Semi-finalist,Female
Jennifer Capriati,1995,French Open,Absent,Female
Mary Joe Fernández,1995,French Open,1st Round,Female
Iva Majoli,1995,French Open,Quarterfinalist,Female
Tracy Austin,1995,French Open,Retired,Female
Venus Williams,1995,French Open,NA,Female
Serena Williams,1995,French Open,NA,Female
Lindsay Davenport,1995,French Open,4th Round,Female
Nathalie Tauziat,1995,French Open,3rd Round,Female
Martina Navratilova,1995,French Open,Retired,Female
Mary Pierce,1995,French Open,4th Round,Female
Anke Huber,1995,French Open,4th Round,Female
Helena Suková,1995,French Open,1st Round,Female
Manuela Maleeva,1995,French Open,Retired,Female
Natasha Zvereva,1995,French Open,1st Round,Female
Zina Garrison Jackson,1995,French Open,1st Round,Female
Pam Shriver,1995,French Open,Absent,Female
Elena Dementieva,1995,French Open,NA,Female
Steffi Graf,1995,Wimbledon,Won,Female
// Monica Seles,1995,Wimbledon,Absent,Female
Martina Hingis,1995,Wimbledon,1st Round,Female
Arantxa Sánchez Vicario,1995,Wimbledon,Finalist,Female
Jana Novotná,1995,Wimbledon,Semi-finalist,Female
Gabriela Sabatini,1995,Wimbledon,Quarterfinalist,Female
Amélie Mauresmo,1995,Wimbledon,Absent,Female
Conchita Martínez,1995,Wimbledon,Semi-finalist,Female
Jennifer Capriati,1995,Wimbledon,Absent,Female
Mary Joe Fernández,1995,Wimbledon,Quarterfinalist,Female
Iva Majoli,1995,Wimbledon,1st Round,Female
Tracy Austin,1995,Wimbledon,Retired,Female
Venus Williams,1995,Wimbledon,NA,Female
Serena Williams,1995,Wimbledon,NA,Female
Lindsay Davenport,1995,Wimbledon,4th Round,Female
Nathalie Tauziat,1995,Wimbledon,3rd Round,Female
Martina Navratilova,1995,Wimbledon,Retired,Female
Mary Pierce,1995,Wimbledon,2nd Round,Female
Anke Huber,1995,Wimbledon,4th Round,Female
Helena Suková,1995,Wimbledon,2nd Round,Female
Manuela Maleeva,1995,Wimbledon,Retired,Female
Natasha Zvereva,1995,Wimbledon,3rd Round,Female
Zina Garrison Jackson,1995,Wimbledon,3rd Round,Female
Pam Shriver,1995,Wimbledon,1st Round,Female
Elena Dementieva,1995,Wimbledon,NA,Female
Steffi Graf,1995,US Open,Won,Female
// Monica Seles,1995,US Open,Finalist,Female
Martina Hingis,1995,US Open,4th Round,Female
Arantxa Sánchez Vicario,1995,US Open,4th Round,Female
Jana Novotná,1995,US Open,Quarterfinalist,Female
Gabriela Sabatini,1995,US Open,Semi-finalist,Female
Amélie Mauresmo,1995,US Open,Absent,Female
Conchita Martínez,1995,US Open,Semi-finalist,Female
Jennifer Capriati,1995,US Open,Absent,Female
Mary Joe Fernández,1995,US Open,Quarterfinalist,Female
Iva Majoli,1995,US Open,1st Round,Female
Tracy Austin,1995,US Open,Retired,Female
Venus Williams,1995,US Open,NA,Female
Serena Williams,1995,US Open,NA,Female
Lindsay Davenport,1995,US Open,2nd Round,Female
Nathalie Tauziat,1995,US Open,3rd Round,Female
Martina Navratilova,1995,US Open,Retired,Female
Mary Pierce,1995,US Open,3rd Round,Female
Anke Huber,1995,US Open,4th Round,Female
Helena Suková,1995,US Open,2nd Round,Female
Manuela Maleeva,1995,US Open,Retired,Female
Natasha Zvereva,1995,US Open,4th Round,Female
Zina Garrison Jackson,1995,US Open,4th Round,Female
Pam Shriver,1995,US Open,2nd Round,Female
Elena Dementieva,1995,US Open,NA,Female
Steffi Graf,1996,Australian Open,Absent,Female
// Monica Seles,1996,Australian Open,Won,Female
Martina Hingis,1996,Australian Open,Quarterfinalist,Female
Arantxa Sánchez Vicario,1996,Australian Open,Quarterfinalist,Female
Jana Novotná,1996,Australian Open,Absent,Female
Gabriela Sabatini,1996,Australian Open,4th Round,Female
Amélie Mauresmo,1996,Australian Open,Absent,Female
Conchita Martínez,1996,Australian Open,Quarterfinalist,Female
Jennifer Capriati,1996,Australian Open,Absent,Female
Mary Joe Fernández,1996,Australian Open,4th Round,Female
Iva Majoli,1996,Australian Open,Quarterfinalist,Female
Tracy Austin,1996,Australian Open,Retired,Female
Venus Williams,1996,Australian Open,NA,Female
Serena Williams,1996,Australian Open,NA,Female
Lindsay Davenport,1996,Australian Open,4th Round,Female
Nathalie Tauziat,1996,Australian Open,Absent,Female
Martina Navratilova,1996,Australian Open,Retired,Female
Mary Pierce,1996,Australian Open,2nd Round,Female
Anke Huber,1996,Australian Open,Finalist,Female
Helena Suková,1996,Australian Open,3rd Round,Female
Manuela Maleeva,1996,Australian Open,Retired,Female
Natasha Zvereva,1996,Australian Open,1st Round,Female
Zina Garrison Jackson,1996,Australian Open,Absent,Female
Pam Shriver,1996,Australian Open,1st Round,Female
Elena Dementieva,1996,Australian Open,NA,Female
Steffi Graf,1996,French Open,Won,Female
// Monica Seles,1996,French Open,Quarterfinalist,Female
Martina Hingis,1996,French Open,3rd Round,Female
Arantxa Sánchez Vicario,1996,French Open,Finalist,Female
Jana Novotná,1996,French Open,Semi-finalist,Female
Gabriela Sabatini,1996,French Open,Absent,Female
Amélie Mauresmo,1996,French Open,2nd Round,Female
Conchita Martínez,1996,French Open,Semi-finalist,Female
Jennifer Capriati,1996,French Open,1st Round,Female
Mary Joe Fernández,1996,French Open,4th Round,Female
Iva Majoli,1996,French Open,Quarterfinalist,Female
Tracy Austin,1996,French Open,Retired,Female
Venus Williams,1996,French Open,NA,Female
Serena Williams,1996,French Open,NA,Female
Lindsay Davenport,1996,French Open,Quarterfinalist,Female
Nathalie Tauziat,1996,French Open,2nd Round,Female
Martina Navratilova,1996,French Open,Retired,Female
Mary Pierce,1996,French Open,3rd Round,Female
Anke Huber,1996,French Open,4th Round,Female
Helena Suková,1996,French Open,1st Round,Female
Manuela Maleeva,1996,French Open,Retired,Female
Natasha Zvereva,1996,French Open,3rd Round,Female
Zina Garrison Jackson,1996,French Open,Absent,Female
Pam Shriver,1996,French Open,Absent,Female
Elena Dementieva,1996,French Open,NA,Female
Steffi Graf,1996,Wimbledon,Won,Female
// Monica Seles,1996,Wimbledon,2nd Round,Female
Martina Hingis,1996,Wimbledon,4th Round,Female
Arantxa Sánchez Vicario,1996,Wimbledon,Finalist,Female
Jana Novotná,1996,Wimbledon,Quarterfinalist,Female
Gabriela Sabatini,1996,Wimbledon,Absent,Female
Amélie Mauresmo,1996,Wimbledon,Absent,Female
Conchita Martínez,1996,Wimbledon,4th Round,Female
Jennifer Capriati,1996,Wimbledon,Absent,Female
Mary Joe Fernández,1996,Wimbledon,Quarterfinalist,Female
Iva Majoli,1996,Wimbledon,Absent,Female
Tracy Austin,1996,Wimbledon,Retired,Female
Venus Williams,1996,Wimbledon,NA,Female
Serena Williams,1996,Wimbledon,NA,Female
Lindsay Davenport,1996,Wimbledon,2nd Round,Female
Nathalie Tauziat,1996,Wimbledon,3rd Round,Female
Martina Navratilova,1996,Wimbledon,Retired,Female
Mary Pierce,1996,Wimbledon,Quarterfinalist,Female
Anke Huber,1996,Wimbledon,3rd Round,Female
Helena Suková,1996,Wimbledon,2nd Round,Female
Manuela Maleeva,1996,Wimbledon,Retired,Female
Natasha Zvereva,1996,Wimbledon,2nd Round,Female
Zina Garrison Jackson,1996,Wimbledon,Absent,Female
Pam Shriver,1996,Wimbledon,2nd Round,Female
Elena Dementieva,1996,Wimbledon,NA,Female
Steffi Graf,1996,US Open,Won,Female
// Monica Seles,1996,US Open,Finalist,Female
Martina Hingis,1996,US Open,Semi-finalist,Female
Arantxa Sánchez Vicario,1996,US Open,4th Round,Female
Jana Novotná,1996,US Open,Quarterfinalist,Female
Gabriela Sabatini,1996,US Open,3rd Round,Female
Amélie Mauresmo,1996,US Open,Absent,Female
Conchita Martínez,1996,US Open,Semi-finalist,Female
Jennifer Capriati,1996,US Open,1st Round,Female
Mary Joe Fernández,1996,US Open,Absent,Female
Iva Majoli,1996,US Open,1st Round,Female
Tracy Austin,1996,US Open,Retired,Female
Venus Williams,1996,US Open,NA,Female
Serena Williams,1996,US Open,NA,Female
Lindsay Davenport,1996,US Open,4th Round,Female
Nathalie Tauziat,1996,US Open,2nd Round,Female
Martina Navratilova,1996,US Open,Retired,Female
Mary Pierce,1996,US Open,Absent,Female
Anke Huber,1996,US Open,1st Round,Female
Helena Suková,1996,US Open,3rd Round,Female
Manuela Maleeva,1996,US Open,Retired,Female
Natasha Zvereva,1996,US Open,3rd Round,Female
Zina Garrison Jackson,1996,US Open,1st Round,Female
Pam Shriver,1996,US Open,1st Round,Female
Elena Dementieva,1996,US Open,NA,Female
Steffi Graf,1997,Australian Open,4th Round,Female
// Monica Seles,1997,Australian Open,Absent,Female
Martina Hingis,1997,Australian Open,Won,Female
Arantxa Sánchez Vicario,1997,Australian Open,3rd Round,Female
Jana Novotná,1997,Australian Open,Absent,Female
Gabriela Sabatini,1997,Australian Open,Retired,Female
Amélie Mauresmo,1997,Australian Open,Absent,Female
Conchita Martínez,1997,Australian Open,4th Round,Female
Jennifer Capriati,1997,Australian Open,1st Round,Female
Mary Joe Fernández,1997,Australian Open,Semi-finalist,Female
Iva Majoli,1997,Australian Open,1st Round,Female
Tracy Austin,1997,Australian Open,Retired,Female
Venus Williams,1997,Australian Open,Absent,Female
Serena Williams,1997,Australian Open,NA,Female
Lindsay Davenport,1997,Australian Open,4th Round,Female
Nathalie Tauziat,1997,Australian Open,Absent,Female
Martina Navratilova,1997,Australian Open,Retired,Female
Mary Pierce,1997,Australian Open,Finalist,Female
Anke Huber,1997,Australian Open,4th Round,Female
Helena Suková,1997,Australian Open,1st Round,Female
Manuela Maleeva,1997,Australian Open,Retired,Female
Natasha Zvereva,1997,Australian Open,3rd Round,Female
Zina Garrison Jackson,1997,Australian Open,Retired,Female
