"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"Covering Katy News",https://www.coveringkaty.com/fort_bend/,https://coveringkaty.com,"Dennis Spellman",Yes,Katy,TX,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2011,1,41-50,11-20,21-30,11-20,"Originally-reported articles, Video, Newsletters, Social media-only content, Digital marketing services",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Hyperlocal community comings and goings",,"Business, Crime & Justice, Education & Schools, Government, Politics",,,,"Direct sold advertising, Programmatic advertising, Reader subscriptions",,,"Direct sold advertising",,"Static meter (e.g., five free articles per month)",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We've had a huge impact by reporting important issues that other local media would ignore. We live in a community that was primarily populated by magazines that only provided light news and a very ""chamber of commerce"" look at the community. We came in and reported on crime and other issues like gangs attacking teachers, and a school district that secretly spent about $75 million on a football stadium when voters approved far less for the project.","Katy's Online Daily News"
"Crain's Detroit",,https://www.crainsdetroit.com,,No,Detroit,MI,"United States",English,,,"For Profit",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crain's Detroit Business is the business news and information source for Detroit and Southeast Michigan."
"Cramahe Now",,https://www.cramahenow.com,,No,Cramahe,ON,Canada,English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cramahe Now
Community News Magazine
Local News & Community Events for the Cramahe Township community from Colborne to Castleton and beyond."
"Cranford Radio",,https://cranfordradio.wordpress.com,,No,Cranford,NJ,"United States",English,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cranford Radio is the place to not only learn about what’s happening in Cranford but to hear the people of Cranford."
Crosscut,"Cascade Public Media",https://Crosscut.com,"Cascade Public Media",No,Seattle,WA,"United States",English,,,"Nonprofit 501c(3) or Canadian nonprofit",2007,"21 or more",0-10,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Owned and operated mobile app(s), Radio, Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","In-depth feature and explanatory reporting",,"Environment, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Major individual gifts, Philanthropic funding from major institutions, Reader membership, Small individual gifts",,,"Major individual gifts",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"You can read about us here: https://crosscut.com/about","At Crosscut, we believe that an informed public is essential to solving the challenges of our time. As the Pacific Northwest’s independent, reader-supported, nonprofit news site, Crosscut strives to provide readers with the facts and analysis they need to intelligently participate in civic discourse, and to create a more just, equitable and sustainable society."
Crosstown,,https://xtown.la,"USC Annenberg",No,"Los Angeles",CA,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2018,0,41-50,0-10,41-50,0-10,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts",,,"Crime & Justice, Education & Schools, Environment, Government, Transportation",,"Ethnic communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,,,"I don’t sell any advertising products.",,"We can drive the news cycle around core quality-of-life issues, like dangerous intersections, air quality, traffic congestion, and so forth, because we are the only ones with the quantifiable data on this.","Crosstown seeks to deliver community-level data and analyses to the people of Los Angeles who want to make their neighborhoods and city safer, healthier and more connected."
"CT Latino News",,http://www.CTLatinoNews.com,,No,,CT,"United States",English,,,"For Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"CtLatinonews.com is an English language daily online news site which covers Latinos and Latino issues in Connecticut and Southern New England."
"CT Mirror",,https://ctmirror.org,,No,Hartford,CT,"United States",English,,,"Not for Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Connecticut Mirror’s mission is to produce original, in-depth, nonpartisan journalism that informs Connecticut residents about the impact of public policy, holds government accountable, and amplifies diverse voices and perspectives."
CTNewsJunkie.com,,https://ctnewsjunkie.com,"Christine Stuart and Doug Hardy",No,Hartford,CT,"United States",English,,LLC,LLC,2005,2,0-10,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,State/Province,"Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Business, Corruption, Crime & Justice, Education & Schools, Energy, Environment, Government, Health & Medicine, Immigration, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Low-income communities, People of color",,"Direct sold advertising, Other forms of corporate sponsorship",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"CTNewsJunkie was the first digital-only news organization to arrive at the state Capitol in Hartford. We forced legacy news organizations to start producing news stories at the increased pace of digital to keep up with us, and our reporting has provided people with a window on the inner workings of all three branches of government. Public service journalism has always been our goal, and last year - as measles outbreaks were popping up around the country for the first time in 25 years - we pushed the Connecticut Department of Public Health into releasing school-level vaccination data for the first time by highlighting the law preventing the data's release. The release of the data showed a shocking number of schools below the CDC's recommended immunization rate of 95%, and an increasing trend of parents using a religious exemption to avoid vaccinating their children despite the lack of any underlying health issue preventing them from being vaccinated. The legislature took notice and then took action, and began working toward a number of initiatives to improve vaccination rates. The series of news stories, which won both a LION Publishers award as well as the Public Service Journalism award from the Connecticut Society of Professional Journalists. More importantly, the coverage opened the conversation about personal responsibility within the context of public health and, almost as though it was foreshadowing the COVID-19 pandemic, the coverage positioned us as a go-to source of information for the arrival of a disease far more deadly than measles.","Introducing CTNewsJunkie.com, a Connecticut news site that understands the usual media offerings just aren’t enough. Updated daily, CTNewsJunkie features original reporting on state politics, public policy, the courts, and also a healthy focus on our struggling health care system.
Not mere observation. No half-cocked rants. And no regurgitated drivel already recorded in a million other outlets."
"Culver City Crossroads",,https://culvercitycrossroads.com,"Judith Martin-Straw",No,"Culver City",CA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2009,1,21-30,21-30,21-30,21-30,"Originally-reported articles",,"Website, Social media",,City/Town,"Single-subject news, Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Environment, Energy, Events in coverage area, Food, Government, Politics, Transportation",,,,"Direct sold advertising, Reader subscriptions",,,"Direct sold advertising",,"I don't have a paywall",,Display,,"Stories we have broken have helped in many ways, for example, candidates we have endorsed have won office. We prioritize connecting people & creating community.","We are Culver City’s only local daily news, and the prime source for news, events, politics, education and culture. We are here to serve the community, create connections, and have fun."
"D.C. Witness",,http://dcwitness.org,,No,"Washington, D.C.",DC,"United States",English,,,"Not for Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"D.C. Witness is a non-profit that was founded in 2015 to provide information on every homicide in the District. We track every homicide from act to a judicial resolution to inform residents and policymakers of the District of Columbia about the trail of murders that often go underreported."
D9and10Sports.com,,https://d9and10sports.com/,,Yes,Warren,PA,"United States",English,,LLC,LLC,2020,3-5,71-80,0-10,0-10,0-10,"Originally-reported articles, Podcasts, Radio, Social media-only content, Video",,"Aggregation, Radio, Social media, Website",,"County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Single-subject news",,"Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display, Social Media, Video",,"We have helped get high school athletes named All-State because of the publicity they get. During the COVID-19 pandemic, our video and audio coverage of events has helped keep the communities connected with the teams and athletes
 ","We cover high school sports in NW/NC Pennsylvania all the way from Erie in the West down I-79 to Wilmington/Hickory then across I-80 to Clearfield (we do have schools south of I-80 including in Butler County, Clarion County and Jefferson County). One of the schools we cover is Punxsutawney, which is appropriately named the Chucks. Then north to the New York/PA border around Coudersport then back to Erie
 "
