title,genres,release_date,release_country,movie_rating,review_rating,movie_run_time,plot,cast,language,filming_locations,budget
Gorenos (2016),Horror,2016,USA,NA,6.1,81 min,"Directed by Clarence Williams IV. With Ken Sagoes, Mitchell Edwards, Scott Alda Coffey, Amy Lyn Elliott. Miles is haunted by a supernatural entity in the wake of his 18th birthday.",Ken Sagoes|Mitchell Edwards|Scott Alda Coffey|Amy Lyn Elliott|Marquis Wood|Jimmy Nicholas|Lj Ugarte|Monisha B. Schwartz|Aidaa Peerzada|Derek Simmons|Lamar George|Jeremy Hois|Andreas O'Rourke|Mystique|Tyasha Pritchard,English,"Pittsburgh, Pennsylvania, USA",NA
Exit 14 (2016),Horror,5-Apr-17,USA,NOT RATED,3.8,NA,"Directed by Joe Salcedo. With Laura Flannery, Ashton Leigh, Anthony Del Negro, Jamie Nocher. A group of spring breakers get off on the ghostly Exit 14 and are haunted by the tales of a ghost story.",Laura Flannery|Ashton Leigh|Anthony Del Negro|Jamie Nocher|John Schneider|Tom Sizemore,English,"John Schneider Studios, Holden, Louisiana, USA","$7,750,000"
A Night in the Woods (2011),Horror| Mystery,7-Sep-12,UK,TV-MA,3.7,82 min,"Directed by Richard Parry. With Scoot McNairy, Anna Skellern, Andrew Hawley. Brody, his girlfriend Kerry and their friend Leo go hiking in Dartmoor's Wistman's Woods, so named because of its legendary haunted past. That night jealousies, sexual tensions and strained relationships come to a head turning what should have been a peaceful camping adventure into a trip to terror. As collective paranoia reaches fever pitch it becomes clear that there is a much darker force at ...",Scoot McNairy|Anna Skellern|Andrew Hawley,English,NA,NA
Orgy of the Damned (2010),Fantasy| Horror| Thriller,25-May-16,USA,NOT RATED,5.7,92 min,"Directed by Creep Creepersin. With Domiziano Arcangeli, Lorielle New, Greg Duke, Greg Maness. An erotic vampire tale set in a surreal world of pleasure and betrayal.",Domiziano Arcangeli|Lorielle New|Greg Duke|Greg Maness|Naama Kates|Vincent Hoss-Desmarais|Randal Malone|Elissa Dowling|Phoebe Dollar|Elina Madison|Ariauna Albright|Tiffany Cache|Joel Hebner|Tommy Kijas|Tony Collucci,English,"Alhambra, California, USA","$250,000"
Pig Girl (2014),Horror,11-Mar-14,USA,NA,6.8,NA,"Directed by Eamon Hardiman. With Missy Dawn, Brandy Mason, Kennie Bass, Scott Gregg. A spin-off of the popular 'Porkchop' slasher trilogy, 'Pig Girl' follows the daughter of the pig-masked madman, ready to slay a new batch of partying teens.",Missy Dawn|Brandy Mason|Kennie Bass|Scott Gregg|Eamon Hardiman|Stephen Hensley|Elvis McComas|Alyson Meadows|Sara Myers|Angela Pritchett|Sam Qualiana|Vincent Renfield|Kim Watts|Lora Wilkerson,English,NA,"$2,000"
Egomaniac (2016),Comedy| Horror,28-Aug-16,UK,NA,5.4,72 min,"Directed by Kate Shenton. With Nic Lamont, Adam Rhys-Davies, Laurence R. Harvey, Dan Palmer. Filmmaker Catherine Sweeney is determined to make her zombie horror romantic comedy. However in order to get the funding she need to put a talking dog in it...",Nic Lamont|Adam Rhys-Davies|Laurence R. Harvey|Dan Palmer|Loren O'Brien|Simeon Willis|David Wayman|Oliver Tilney|Mark Logan|Patrick Fysh|Tom Crowley|Lucy Farrett|Amy L. Feeley|James Harker|Cristina Neacsu,NA,NA,NA
Dreaming Purple Neon (2016),Horror,31-Oct-16,USA,NA,7.7,NA,"Directed by Todd Sheets. With Jeremy Edwards, Eli DeGeer, Millie Milan, Grant Conrad. A drug called purple neon when people abuse it become susceptible to a demon queens demands",Jeremy Edwards|Eli DeGeer|Millie Milan|Grant Conrad|Jack McCord|Nick Randol|Antwoine Steele|Ricky Farr|Jolene Loftin|Anna Rojas-Plumberg|Daniel Bell|Glen Moore|Stacy Weible|Jodie Nelles Smith|Dilynn Fawn Harvey,English,NA,NA
X Moor (2014),Horror,10-Oct-14,USA,NOT RATED,3.9,76 min,"Directed by Luke Hyams. With Mark Bonnar, Melia Kreiling, Nick Blood, Olivia Popica. A £25,000 reward offered by a local newspaper brings documentary makers Matt and his girlfriend Georgia to the remote North Devon moor in a bid to capture the fabled Beast purported to be a wild cat, like a panther or a puma on film.",Mark Bonnar|Melia Kreiling|Nick Blood|Olivia Popica|Simone Kirby|Sophie Harkness|Fergal McElherron|Jemma O'Brien|Naseen Morgan|James Lecky|Chloe Baker|Victor O'Brien|Bert O'Brien,English,"Belfast, Northern Ireland","£1,000,000"
Ghost Shark 2: Urban Jaws (2015),Drama| Horror| Sci-Fi| Thriller,1-Jul-15,USA,NA,4.1,70 min,"Directed by Johnny Hall, Andrew Todd. With Campbell Cooley, Johnny Hall, Steve Austin, Kathleen Burns. When Ghost Shark returns to terrorize Auckland, Mayor Broody calls in an expert ghost shark hunter to protect the citizens and finally defeat the creature.",Campbell Cooley|Johnny Hall|Steve Austin|Kathleen Burns|Roberto Nascimento|David Farrier|Stig Eldred|Juliette Danielle|Ban Abdul|Ben Allan|Harry Astarita|Alan Bagh|Daniel Bain|Adam Baines|Timothy Bartlett,English,"Kurow, New Zealand","NZD 4,000"
Chip & Bernie's Zomance (2015),Adventure| Comedy| Horror,17-Oct-15,USA,NA,5,70 min,"Directed by Pasquale Murena. With Marc Robert, Pasquale Murena, Tim Conway, Stefan Reder. Six zombie hunting teams compete to be known as the world's greatest zombie killers in Chip & Bernie's Zomance. Pre-Apocalypse exterminators, Chip & Bernie, are best friends that have an unorthodox way of killing zombies with their often crazy and hilarious antics. Their friendship is tested as the contest continues and they learn that their friendship is what helps them survive. Co-starring 6-...",Marc Robert|Pasquale Murena|Tim Conway|Stefan Reder|Christie Cuevas|Matthew Dorio|Tony Mogavero|Justin Murvin|Steve Gaghagen|Tashia Wormsbecker|Jared 'Bubba' Anderson|Regina Anderson|Audrey Bergeron|Gary Carman|Lance Carman,English,NA,NA
Rockabilly Zombie Weekend (2013),Horror,17-Feb-13,USA,NA,3.7,88 min,"Directed by Jaime Velez Soto. With J. LaRose, Christina Bach, Julie Moss, Jimmy Dempster. The film is called Rockabilly Zombie Weekend and it takes place in Central Florida in a modern day setting. A young couple plans to have a rockabilly themed wedding out at the old farm, despite warnings of a West Nile Virus outbreak. Things go horribly wrong when the virus spawns zombie-creating mosquitoes, who are feeding on the wedding guests as well as the other locals of course!",J. LaRose|Christina Bach|Julie Moss|Jimmy Dempster|Daniel Baldock|Gary B. Gross|Nikoma DeMitro|J. Benedict Larmore|Jayvo Scott|Melissa Gruver|Randy Molnar|Ashley Sperrazza|Rusty Riegert|Michelle Elise Shock|Eddie Mitchell,English,"Jonny Rotton's Bar Out Back, Sanford, Florida, USA",NA
Eden Lodge (2015),Horror| Mystery| Thriller,24-Aug-15,UK,NA,3.5,80 min,"Directed by Andreas Prodromou. With Georgina Blackledge, Cyd Casados, Ivy Corbin, Ellie Dickens. A young family are stranded at the Eden Lodge. The people they meet are being killed one by one. They must fight to save their marriage, their family, and most of all their lives.",Georgina Blackledge|Cyd Casados|Ivy Corbin|Ellie Dickens|Ben Gardner Gray|Georgio Costa Houtris|Aggy K. Adams|James Killeen|Garry Mannion|Andrew McDonald|Jake Unsworth,English,NA,NA
Bunker of the Dead (2015),Action| Comedy| Horror,18-Feb-16,Russia,TV-MA,3.8,76 min,"Directed by Matthias Olof Eich. With Patrick Jahns, Esther Maaß, Aciel Martinez Pol, Christopher Lee Meadows. In the picturesque Bavarian town of Oberammergau, two friends, Markus and Thomas, are using the instructions found in an old Jewish diary to gain access to a WW II underground military base formerly codenamed: CERUSIT.",Patrick Jahns|Esther Maaß|Aciel Martinez Pol|Christopher Lee Meadows|Carlos Lobo|Sarita Bradley|Christian Jungwirth|Werner Hofmann|Wesley Te Howard|Peter Koller|Benjamin Nolde|Bernd Strack|Yvonne Köhler|Andreas Pape|Christian Falk,English,NA,"€525,000"
The Final Project (2016),Horror| Thriller,4-Mar-16,USA,NA,2.7,82 min,"Directed by Taylor Ri'chard. With Benjamin Anderson, Amber Erwin, Tiffany Ford, Teal Haddock. Six eager students strike out to explore and record live footage of supernatural activity at an abandoned plantation, but one unsettled spirit gives them more than they asked for.",Benjamin Anderson|Amber Erwin|Tiffany Ford|Teal Haddock|Sergio Joachim|Arin Jones|Robert McCarley|Evan McLean|Charles Orr|Leonardo Santaiti|Jejuan Walker|Susan Woodard,English,NA,NA
Housewife Alien vs. Gay Zombie (2017),Comedy| Horror,9-Oct-17,Sweden,NA,NA,NA,"Directed by Andreas Samuelson. With Anna Walman, Hector Lopez, Anna Modén, Erik Nilsson. A murderous housewife is resurrected through an alien creature while an unhappily married gay man is possessed by a demon and turned into a zombie. They both go on a rampage and two cops on the case must save the day.",Anna Walman|Hector Lopez|Anna Modén|Erik Nilsson|Sanna Wallin|Elin Hallberg|Gabriella Carlsson|Neil Bhat|Fredrik Adolvsson|Anna Nilsson|Victor Dohlsten|Charlotte Nordin|Palmira Koukkari Mbenga|Martin Rutegård|Anne Koponen,English,"Bromma, Stockholm, Stockholms län, Sweden",NA
Bangunan (2015),Horror,5-Feb-15,Malaysia,NA,6.5,NA,"Directed by Khir Rahman. With Ahmad Fairuz, Wan Shahidi Abdullah, Aqasha, Yusran Hashim. A series of mysterious events takes place in a building somewhere in Malaysia which spurs a teams interest in exploring the events further to try and find out the truth.",Ahmad Fairuz|Wan Shahidi Abdullah|Aqasha|Yusran Hashim|Azmi Musa|Sein Qudsi|Khir Rahman,Malay,NA,"MYR 350,000"
Johann Karlo's Gun Driver (2016),Action| Adventure| Fantasy| Horror| Sci-Fi| Western,1-Sep-16,USA,NA,9.3,52 min,"Directed by Johann Karlo. With Curtis Wayne Johnson II, Megan Hanks, Andres Perez, Alex Anaya. Jesse 01776 and Sonja 01984 team up in rebellion against the self-proclaimed Boss of America and his soulless goons and thugs, embarking on a bloodthirsty adventure of romance and revenge.",Curtis Wayne Johnson II|Megan Hanks|Andres Perez|Alex Anaya|Keith Lopez|Tim Davis|Michael Ochotorena|Mark Biery|Michelle Klawunn|Michael Argueta|Blaize Naasz|Brian Contreras|Saylor O'Donnell|Fred James|Belona Feng,English,"Tucson, Arizona, USA","$5,000"
Lapachhapi (2017),Drama| Horror| Mystery| Thriller,14-Jul-17,India,NA,8.3,120 min,"Directed by Vishal Furia. With Vikram Gaikwad, Usha Naik, Pooja Sawant. A new-born Indian baby... An age-old horror practice and the fact how evil are certain human practices",Vikram Gaikwad|Usha Naik|Pooja Sawant,Marathi,"Kolhapur, Maharashtra, India","INR 13,000,000"
The Taking (2013),Horror| Thriller,13-Apr-13,Australia,NA,2,77 min,"Directed by Cezil Reed, Lydelle Jackson. With John Halas, Alana Jackler, Lynnette Gaza, Linda Kennedy. Two strangers must discover a way to escape a sinister family who wishes to sacrifice their souls to an evil presence.",John Halas|Alana Jackler|Lynnette Gaza|Linda Kennedy|Frank Bliss|Lynn Mastio Rice|Olivia Szego|Gordon Price|Katrin Boggan|Corrine Brush|Dan Bussanich|Shawna Carl|Mia Elliott|Travis Everett|Jason Frye,English,"Manassas, Virginia, USA","$13,000"
Morituris (2011),Horror,8-Sep-15,USA,NOT RATED,4,NA,"Directed by Raffaele Picchio. With Valentina D'Andrea, Andrea De Bruyn, Désirée Giorgetti, Francesco Malcom. While out driving, three young men meet two beautiful women and convince them to go with them to a rave out in a remote location. Once there, the women realize that there is no rave and that the men lied to them in order to beat and rape them. The women try to escape, only to accidentally unleash a pack of zombie gladiators that proceed to attack the group as a whole.",Valentina D'Andrea|Andrea De Bruyn|Désirée Giorgetti|Francesco Malcom|Giuseppe Nitti|Simone Ripanti,Italian|Romanian,NA,NA
Dark Amazon (2014),Adventure| Horror| Thriller,2014,USA,TV-MA,4.3,81 min,"Directed by Darcyana Moreno Izel. With Mina Olivera, Don Jeanes, Michelle Taylor, Robert Fleet. Dark Amazon is a supernatural thriller shot deep in the Amazon jungle of Brazil. After the discovery of a breakthrough cancer cure, a documentary film crew follows a group of researchers into the heart of the rain forest to capture the entire experience. With the cameras rolling at all times, the former Reality TV crew focuses on the researchers' personal dramas, leaving some feeling very ...",Mina Olivera|Don Jeanes|Michelle Taylor|Robert Fleet|Emilio Dantas|David F. Park|Mark Alan|Fidelis Baniwa|Arthur Monteiro,English,"Manaus, Amazonas, Brazil",NA
Darkside Witches (2015),Horror,7-Apr-15,USA,TV-MA,4.7,89 min,"Directed by Gerard Diefenthal. With Gerard Diefenthal, Barbara Bouchet, Anna Orso, Eleonora Albrecht. In 1589, six innocent women were accused from the inquisition of witchery in the small ligurian mountain.",Gerard Diefenthal|Barbara Bouchet|Anna Orso|Eleonora Albrecht|Simona Cappia|Mirela David|Alessandro Demcenko|Marco Di Stefano|Pino Michienzi|Giuditta Niccoli|Angelica Novak|Adele Perna|Lorenzo Renzi|Laura Roman,Italian|English,"Drago Castle, Antuni, Castel di Tora, Rieti, Lazio, Italy","€2,000,000"
Ilawod (2017),Horror,18-Jan-17,Philippines,NA,7.2,95 min,"Directed by Dan Villegas. With Nico Antonio, Harvey Bautista, Iza Calzado, Allan Forte. It is a story of a family's breakdown in the midst of a demonic attack. Dennis, a reporter, accidentally invites the ilawod which is a water spirit into his home where it attaches to his son, Ben.",Nico Antonio|Harvey Bautista|Iza Calzado|Allan Forte|Cherry Malvar|Therese Malvar|Xyriel Manabat|Josh Pagcaliwangan|Jeffrey Quizon|Ruby Ruiz|Joel Saracho|Ian Veneracion,Filipino|Tagalog,NA,"PHP 26,000,000"
Cat Sick Blues (2015),Horror,21-Sep-16,Australia,NA,5.6,101 min,"Directed by Dave Jackson. With Matthew C. Vaughan, Meg Spencer, Jeni Bezuidenhout, Danae Swinburne. When Ted's beloved cat dies, the trauma triggers a mental breakdown. His broken brain prompts him to bring his feline friend back - all he needs is nine human lives.",Matthew C. Vaughan|Meg Spencer|Jeni Bezuidenhout|Danae Swinburne|Rob Alec|Mahalia Brown|Shian Denovan|Smokey|Rachel Rai|Noah Moon|Matthew Revert|Andrew Gallacher|James Arnold-Garvey|Tom Liddy|Kelly Neilsen,English,NA,NA
Asylum (2014),Horror,2-Jun-15,USA,R,2.6,93 min,"Directed by Todor Chapkanov. With Stephen Rea, Bruce Payne, Dimo Alexiev, Velizar Binev. A veteran hostage negotiator's next call leads him to an overrun insane asylum. He soon finds that dark forces are pushing the patients to commit atrocities, and he may be the only one that can stop them.",Stephen Rea|Bruce Payne|Dimo Alexiev|Velizar Binev|Ulyana Chan|Dimiter Doichinov|Caroline Ford|Valentin Ganev|Radoslav Ignatov|Iana Kuzova|Joe Montana|Curtis Nordstrom|Daniel Rashev|Edward Joe Scargill|Hristo Shopov,English,Bulgaria,NA
Canaries (2017),Comedy| Horror| Sci-Fi,26-Aug-17,UK,NA,7.9,84 min,"Directed by Peter Stray. With Robert Pugh, Hannah Daniel, Aled Pugh, Steve Meo. The first wave of an alien invasion coincides with a New Years Eve party in a Welsh valley.",Robert Pugh|Hannah Daniel|Aled Pugh|Steve Meo|Richard Mylan|Kai Owen|Craig Russell|Robert Boulter|Sheena Bhattessa|Marc Rhys|Sophie Melville|Dominique Dauwe|Kevin McCurdy|Richard Corgan|Tsilala Brock,English,"Wales, UK",NA
Local God (2014),Horror,14-May-15,Uruguay,NA,5.9,90 min,"Directed by Gustavo Hernández. With Gabriela Freire, Mariana Olivera, Agustín Urrutia. After living through some tragic events, a rock band composed by twenty-year-old, immerse themselves in a conceptual project that winds-up becoming a three track album that deals largely with their guilts, fears and traumas.",Gabriela Freire|Mariana Olivera|Agustín Urrutia,Spanish,NA,"$550,000"
Exchange (2015),Crime| Horror| Thriller,10-Sep-15,South Korea,NA,5.8,96 min,"Directed by Hyeong-jin Kwon. With Ji An, Han Sun Jo, Dong-seok Ma, Kim Min-Kyeong III. A young man and his girlfriend are forced to fight for their lives on a remote Island, because of a psychopath who targets the woman.",Ji An|Han Sun Jo|Dong-seok Ma|Kim Min-Kyeong III,Korean|English,NA,NA
Make Me Shudder (2013),Comedy| Horror,3-Oct-13,Thailand,NOT RATED,5.2,105 min,"Directed by Poj Arnon. With Brian Richard Garton, Kunatip Pinpradub, Chutcha Rujinanon, Kittipat Samarntragulchai. A group of student want to challenge themselves by entering the most haunted building of their school, which is forbidden.",Brian Richard Garton|Kunatip Pinpradub|Chutcha Rujinanon|Kittipat Samarntragulchai|Worachai Sirikongsuwan|Rittichai Tasarika|Withawat Thaokhamlue|Patharawarin Timkul|Puvadol Vechwongsa,Thai,NA,NA
Geethanjali (2014),Comedy| Horror,8-Aug-14,India,NA,6.5,135 min,"Directed by Raaja Kiran. With Anjali, Brahmanandam, Satyam Rajesh, Rao Ramesh. Filmmakers are haunted by a woman who committed suicide.",Anjali|Brahmanandam|Satyam Rajesh|Rao Ramesh|Harshvardhan Rane|Srinivas Reddy|Shankar,Telugu,NA,NA
Countdown (2012),Horror| Thriller,25-Mar-14,USA,NOT RATED,6.5,90 min,"Directed by Nattawut Poonpiriya. With Pachara Chirathivat, Jarinporn Joonkiat, Pattarasaya Kreuasuwansri, David Asavanond. Three Thai teens in New York City are planning the New Year's Party of their lives. They called Jesus, a drug dealer, to drop off some stuff at their apartment so they can celebrate and countdown the end of the year in style. Little did they know that Jesus' visit that night will change their lives forever.",Pachara Chirathivat|Jarinporn Joonkiat|Pattarasaya Kreuasuwansri|David Asavanond|Prach Rakissarakul|Lawrence de Stefano|Parunyoo Phoonumphol|Pattaya Benjavari|Pornsroung Rouyruen|Pattawut Theeranaveekul|Nuttakan Boonjaiyai|Caitlin Haas|Helga Schorkl|Jonathan Joseph Rentle,Thai|English,NA,NA
