date,year,wreck_name,wreck_no,classification,description,descriptive_date,place_of_loss,latitude,longitude,source_of_co_ordinate
1811-02-21,1811,Generous Friends,W04924,Brig,We regret that we are unable to supply descriptive details for this record at present.,21/02/1811,Dungarvan,NA,NA,NA
1824-02-27,1824,George,W04925,Barque,We regret that we are unable to supply descriptive details for this record at present.,27/02/1824,Cork,NA,NA,NA
1842-01-03,1842,George and Henry,W04926,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,03/01/1842,"Dungarvan, Clonea Bay",NA,NA,NA
1765-02-28,1765,George,W04927,Unknown,We regret that we are unable to supply descriptive details for this record at present.,28/02/1765,Waterford,NA,NA,NA
1789-12-11,1789,George,W04928,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/12/1789,"River Suir, Co Waterford",NA,NA,NA
1847-11-06,1847,George,W04929,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,06/11/1847,Dungarvan,NA,NA,NA
1806-02-11,1806,George and Anne,W04930,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/02/1806,Bonmahon,NA,NA,NA
1917-07-12,1917,George Milburn,W04931,Mine-sweeper,We regret that we are unable to supply descriptive details for this record at present.,12/07/1917,"Dunmore, Waterford Harbour, Off / 0.25 & 1.5M offshore",52.124,-6.9807,John O'Connor
1838-02-21,1838,Glangarry,W04932,Sloop,We regret that we are unable to supply descriptive details for this record at present.,21/02/1838,Dungarvan,NA,NA,NA
NA,NA,Glanmire (SS),W04933,Steamship,We regret that we are unable to supply descriptive details for this record at present.,Unknown,Dungarvan Bay,NA,NA,NA
1840-12-07,1840,Glencoe,W04934,Snow,We regret that we are unable to supply descriptive details for this record at present.,07/12/1840,"Waterford Harbour, West of",NA,NA,NA
NA,NA,Good Intent,W04935,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Between 27/7/1749 and 1/8/1749,"Waterford, near",NA,NA,NA
1850-03-30,1850,Grace,W04936,Brig,We regret that we are unable to supply descriptive details for this record at present.,30/03/1850,"Ardmore Bay, Co Waterford",NA,NA,NA
1768-02-26,1768,Grange,W04937,Unknown,We regret that we are unable to supply descriptive details for this record at present.,26/02/1768,Waterford coast,NA,NA,NA
NA,NA,Grecian,W04938,Brig,We regret that we are unable to supply descriptive details for this record at present.,1836,"Tramore, Co Waterford",NA,NA,NA
1811-02-17,1811,Grinder,W04939,Schooner,We regret that we are unable to supply descriptive details for this record at present.,17/02/1811,"Tramore Bay, Co Waterford",NA,NA,NA
1848-12-13,1848,Growler,W04940,Brig,We regret that we are unable to supply descriptive details for this record at present.,13/12/1848,Whiting Bay,NA,NA,NA
1909-08-23,1909,Gull,W04941,Cutter,We regret that we are unable to supply descriptive details for this record at present.,23/08/1909,"Mine Head, Co Waterford, Helvick Head, between",NA,NA,NA
1875-01-01,1875,Gwenissa,W04942,Barque,We regret that we are unable to supply descriptive details for this record at present.,01/01/1875,"Stradbally / Killalton Strand, 1 mile E of",NA,NA,NA
NA,NA,Hampshire,W04943,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Between 10/12/1774 and 23/12/1774,"Waterford, near",NA,NA,NA
1899-11-02,1899,Hansa,W04944,Barque,We regret that we are unable to supply descriptive details for this record at present.,02/11/1899,"Creadan Head, Abreast of",NA,NA,NA
1803-06-10,1803,Happy,W04945,Full-rigged ship,We regret that we are unable to supply descriptive details for this record at present.,10/06/1803,"Waterford, near",NA,NA,NA
NA,NA,Harmony,W04946,Brig,We regret that we are unable to supply descriptive details for this record at present.,1823,"Tramore, Co Waterford",NA,NA,NA
1841-02-12,1841,Harmony,W04947,Schooner,We regret that we are unable to supply descriptive details for this record at present.,12/02/1841,"Dungarvon, Off",NA,NA,NA
1802-02-02,1802,Harmony,W04948,Unknown,We regret that we are unable to supply descriptive details for this record at present.,02/02/1802,"Tramore, Co Waterford",NA,NA,NA
1821-01-06,1821,Harriet,W04949,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/01/1821,"Tramore Bay, Co Waterford",NA,NA,NA
1823-01-01,1823,Harriet Collins,W04950,Brig,We regret that we are unable to supply descriptive details for this record at present.,01/01/1823,"Woodstown Strand, Co Waterford",NA,NA,NA
1870-04-07,1870,Harvard (SS),W04951,Steamship,"Iron steamship of Grangemouth, Glasgow en route from Spain to Glasgow with a cargo of oranges and copper ore. The steamer went aground and was driven against rocks rupturing it hull. The steamer began to fill and sank in deep water. The wreck surveyed by the RV Keery in 2011 as part of the INFOMAR seabed mapping programme. Wreck measures 61m long, 7.8m in maximum width and lies in 18mm of water. GSI Wreck No_298.",07/04/1870,"Cromwellâs Rock, River Suir, Waterford Harbour",52.2596,-7.10033,INFOMAR Wreck Data; GSI Wreck No_298
1697-12-10,1697,Hastings,W04952,Frigate,We regret that we are unable to supply descriptive details for this record at present.,10/12/1697,"Waterford (mouth of harbour?), near / Hook, near",NA,NA,NA
1776-02-13,1776,Hawke,W04953,Yacht,We regret that we are unable to supply descriptive details for this record at present.,13/02/1776,Dungarvan Bay,NA,NA,NA
1820-11-13,1820,Heart of Oak,W04954,Sloop,We regret that we are unable to supply descriptive details for this record at present.,13/11/1820,"Waterford, off",NA,NA,NA
1918-09-25,1918,Hebburn (SS),W04955,Steamship,We regret that we are unable to supply descriptive details for this record at present.,25/09/1918,"Waterford, Mine Head, 14 miles S of.",51.81139,-7.40556,UKHO
1835-11-21,1835,Hebron,W04956,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/11/1835,"Kilmurrin Head, E of Bunmahon",NA,NA,NA
NA,NA,Helen,W04957,Unknown,We regret that we are unable to supply descriptive details for this record at present.,1828,"Dungarvan, Off",NA,NA,NA
1794-10-28,1794,Henry,W04959,Unknown,We regret that we are unable to supply descriptive details for this record at present.,28/10/1794,"Waterford, near",NA,NA,NA
1779-01-29,1779,Henry,W04960,Unknown,We regret that we are unable to supply descriptive details for this record at present.,29/01/1779,Dungarvan Bay,NA,NA,NA
1874-02-08,1874,Henry,W04961,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,08/02/1874,Balynacarty L/h,NA,NA,NA
1770-10-15,1770,Henry,W04962,Ship,We regret that we are unable to supply descriptive details for this record at present.,15/10/1770,"River Suir, Co Waterford",NA,NA,NA
1850-02-05,1850,Herbert,W04963,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,05/02/1850,Dungarvan,NA,NA,NA
NA,NA,Hereford,W04964,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Between 10/12/1774 and 20/12/1774,"Waterford, near",NA,NA,NA
1772-11-05,1772,Hero,W04965,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,05/11/1772,Waterford,NA,NA,NA
1786-01-10,1786,Hibernia,W04966,Brig,We regret that we are unable to supply descriptive details for this record at present.,10/01/1786,"Tramore Bay, Co Waterford",NA,NA,NA
NA,NA,Hibernia,W04967,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Between 29/3/1850 and 30/3/1850,Dungarvan Beach,NA,NA,NA
1822-12-29,1822,Hope,W04968,Sloop,We regret that we are unable to supply descriptive details for this record at present.,29/12/1822,"Ardmore Head, Co Waterford, off",NA,NA,NA
1819-01-15,1819,Hope,W04969,Unknown,We regret that we are unable to supply descriptive details for this record at present.,15/01/1819,Waterford,NA,NA,NA
1787-12-22,1787,Hope,W04970,Vessel,We regret that we are unable to supply descriptive details for this record at present.,22/12/1787,"Youghal, Co Cork, harbour",NA,NA,NA
NA,NA,Hound,W04971,Brig,We regret that we are unable to supply descriptive details for this record at present.,1830,"Tramore, Co Waterford",NA,NA,NA
NA,NA,Hound,W04972,Sloop,We regret that we are unable to supply descriptive details for this record at present.,1830,"Tramore, Co Waterford",NA,NA,NA
1941-02-28,1941,Ibis,W04973,Motor Boat,We regret that we are unable to supply descriptive details for this record at present.,28/02/1941,"Green Island, near Dunmore East",NA,NA,NA
1862-01-24,1862,Indian Ocean,W04974,Barque,We regret that we are unable to supply descriptive details for this record at present.,24/01/1862,Benvoy Strand (W. of Annestown),NA,NA,NA
NA,NA,Industry,W04975,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Between 23/8/1817 and 27/8/1817,"Mine Head, Co Waterford, off",NA,NA,NA
NA,NA,Isolde,W04976,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Dec-40,"Waterford coast, off",NA,NA,NA
1877-01-25,1877,Ithuriel,W04977,Barque,We regret that we are unable to supply descriptive details for this record at present.,25/01/1877,"Waterford Harbour, Dunmore Bank",NA,NA,NA
1810-11-16,1810,James,W04978,Vessel,We regret that we are unable to supply descriptive details for this record at present.,16/11/1810,Duncannon Strand,NA,NA,NA
NA,NA,James,W04979,Schooner,We regret that we are unable to supply descriptive details for this record at present.,C 1914,"River Suir, Co Waterford (Harbour?)",NA,NA,NA
1802-12-28,1802,James,W04980,Unknown,We regret that we are unable to supply descriptive details for this record at present.,28/12/1802,"Waterford, near",NA,NA,NA
NA,NA,James,W04981,Smack,We regret that we are unable to supply descriptive details for this record at present.,1829,"Tramore, Co Waterford",NA,NA,NA
1819-12-17,1819,James & Henry,W04982,Brig,We regret that we are unable to supply descriptive details for this record at present.,17/12/1819,"Tramore, Co Waterford",NA,NA,NA
1819-12-17,1819,James & Henry,W04983,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/12/1819,"Tramore Bay, Co Waterford",NA,NA,NA
1857-01-09,1857,James Buchanan,W04984,Unknown,We regret that we are unable to supply descriptive details for this record at present.,09/01/1857,"Dungarvan, Co Waterford, Rinn, near / Ballymarast, Co. Waterford",NA,NA,NA
1851-01-01,1851,James Moran,W04985,Unknown,We regret that we are unable to supply descriptive details for this record at present.,01/01/1851,Waterford,NA,NA,NA
1809-12-06,1809,Jane,W04986,Sloop,We regret that we are unable to supply descriptive details for this record at present.,06/12/1809,"Tramore Bay, Co Waterford",NA,NA,NA
NA,NA,Jane,W04987,Brig,We regret that we are unable to supply descriptive details for this record at present.,1866,"Tramore, Co Waterford",NA,NA,NA
1809-11-14,1809,Jane,W04989,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/11/1809,"River Suir, Co Waterford, Steamer Rock",NA,NA,NA
1892-02-22,1892,Jane & Alice,W04990,Schooner,We regret that we are unable to supply descriptive details for this record at present.,22/02/1892,"Dungarvan,14M offshore",NA,NA,NA
1852-02-17,1852,Jane Frances,W04991,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/02/1852,"Arthurstown, Waterford Harbour, Off",NA,NA,NA
1811-12-15,1811,Jason,W04992,Unknown,We regret that we are unable to supply descriptive details for this record at present.,15/12/1811,"River Suir, Co Waterford",NA,NA,NA
1895-02-13,1895,Jeune Austerlitz,W04993,Ketch,We regret that we are unable to supply descriptive details for this record at present.,13/02/1895,"Ardmore Bay, Co Waterford",NA,NA,NA
1848-12-17,1848,Jeune Vincent,W04995,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/12/1848,"Tramore Bay, Co Waterford
Co. Donegal, Tremore Bay",NA,NA,NA
NA,NA,Johanna Matilda,W04996,Barque,We regret that we are unable to supply descriptive details for this record at present.,February 1874,"Waterford, near",NA,NA,NA
1851-03-18,1851,John & Hannah,W04997,Vessel,We regret that we are unable to supply descriptive details for this record at present.,18/03/1851,"Waterford Harbour, Broom Hill",NA,NA,NA
1854-06-26,1854,John and Mary,W04999,Unknown,We regret that we are unable to supply descriptive details for this record at present.,26/06/1854,"Waterford, at sea - put into",NA,NA,NA
1855-12-21,1855,John Bull,W05000,Schooner,We regret that we are unable to supply descriptive details for this record at present.,21/12/1855,"Dungarvan, Bar of",NA,NA,NA
1847-06-04,1847,John Colby,W05001,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,04/06/1847,Waterford,NA,NA,NA
1855-12-21,1855,John Webb,W05002,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/12/1855,"Dungarvan bar, inside the",NA,NA,NA
NA,NA,Joseph,W05003,Smack,We regret that we are unable to supply descriptive details for this record at present.,1846,"Tramore, Co Waterford",NA,NA,NA
1757-02-18,1757,Joseph & Jane,W05004,Unknown,We regret that we are unable to supply descriptive details for this record at present.,18/02/1757,"Waterford, near",NA,NA,NA
1838-02-16,1838,Jubilee,W05005,Unknown,We regret that we are unable to supply descriptive details for this record at present.,16/02/1838,"Dungarvan, Bar at",NA,NA,NA
1776-02-06,1776,Juffronw Maria,W05006,Dutch Galliot,We regret that we are unable to supply descriptive details for this record at present.,C 6/2/1776,"Coxtown, Dunmore East, Off",NA,NA,NA
1880-02-12,1880,Kate,W05007,Fishing boat,We regret that we are unable to supply descriptive details for this record at present.,12/02/1880,"Hanton Bar, Waterford Harbour mouth",NA,NA,NA
