medal,beer_name,brewery,city,state,category,year
Gold,Rye Saison,Base Camp Brewing Co.,Portland,OR,Specialty Saison,2017
Silver,Make Hay,Cellar West Artisan Ales,Boulder,CO,Specialty Saison,2017
Bronze,Farmhouse Saison,CO-Brew,Denver,CO,Specialty Saison,2017
Gold,Oatmeal Milk Stout,Finkel & Garf Brewing Co.,Boulder,CO,Sweet Stout or Cream Stout,2017
Silver,Milk Bone,Pinellas Ale Works,Saint Petersburg,FL,Sweet Stout or Cream Stout,2017
Bronze,McPoyle,Mile Wide Beer Co.,Louisville,KY,Sweet Stout or Cream Stout,2017
Gold,Gustav,Taft's Ale House,Cincinnati,OH,Vienna-Style Lager,2017
Silver,Vienna Lager,Lost Forty Brewing,Little Rock,AR,Vienna-Style Lager,2017
Bronze,Dock Time,Stony Creek Brewery,Branford,CT,Vienna-Style Lager,2017
Gold,Porter Aged on Palo Santo Wood,Spellbound Brewing,Mount Holly,NJ,Wood- and Barrel-Aged Beer,2017
Silver,Magpie Muckle,Sun King Brewing Co.,Indianapolis,IN,Wood- and Barrel-Aged Beer,2017
Bronze,Woody Pils,Bull & Bush Brewery,Denver,CO,Wood- and Barrel-Aged Beer,2017
Gold,Plum Creek Sour,Rockyard American Grill & Brewing Co.,Castle Rock,CO,Wood- and Barrel-Aged Sour Beer,2017
Silver,Train to Beersel,Bruery Terreux,Anaheim,CA,Wood- and Barrel-Aged Sour Beer,2017
Bronze,5th Anniversary Tequila Sour,Loveland Aleworks,Loveland,CO,Wood- and Barrel-Aged Sour Beer,2017
Gold,Hurly Burly Port Barrel Aged Barleywine,Out of Bounds Brewing Co.,Rocklin,CA,Wood- and Barrel-Aged Strong Beer,2017
Bronze,Barrel Aged Barleywine,Charleville Vineyard & Microbrewery,Sainte Genevieve,MO,Wood- and Barrel-Aged Strong Beer,2017
Gold,Medianoche,WeldWerks Brewing Co.,Greeley,CO,Wood- and Barrel-Aged Strong Stout,2017
Silver,Maman 2017,Perennial Artisan Ales,Saint Louis,MO,Wood- and Barrel-Aged Strong Stout,2017
Bronze,Barrel-Aged Marfa Light,Big Bend Brewing Co.,Alpine,TX,Wood- and Barrel-Aged Strong Stout,2017
Gold,Doc's Scotch Ale,Millersburg Brewing,Millersburg,OH,Aged Beer,2016
Silver,Expedition Stout,"Bell's Brewery, Inc",Comstock,MI,Aged Beer,2016
Bronze,Winter Wheatwine 2007,Rubicon Brewing Company Pub,Sacramento,CA,Aged Beer,2016
Gold,Mischief,The Bruery,Placentia,CA,American-Belgo-Style Ale,2016
Silver,#4.5 Hops with Saison Added,Brown Truck Brewery,High Point,NC,American-Belgo-Style Ale,2016
Bronze,White Wall Wit,Crank Arm Brewing Co.,Raleigh,NC,American-Belgo-Style Ale,2016
Gold,Casa Azul,El Segundo Brewing Co.,El Segundo,CA,American-Style Amber Lager or Dark Lager,2016
Silver,Tragedy of the Commons,Iowa Brewing Co.,Cedar Rapids,IA,American-Style Amber Lager or Dark Lager,2016
Gold,Ole Prospector Red Ale,BNS Brewing & Distilling Co.,Santee,CA,American-Style Amber/Red Ale,2016
Silver,Better Off Red,Vintage Brewing Co.,Madison,WI,American-Style Amber/Red Ale,2016
Bronze,Sabre-Toothed Squirrel,Smog City Brewing Co.,Torrance,CA,American-Style Amber/Red Ale,2016
Gold,Once You Go,Lynnwood Brewing Concern - Production Facility,Raleigh,NC,American-Style Black Ale,2016
Silver,Midnight Moonlight,Fat Head's Brewery,Middleburg Heights,OH,American-Style Black Ale,2016
Bronze,Alpha Force Double Tap,Uberbrew,Billings,MT,American-Style Black Ale,2016
Gold,Brown,Culture Brewing Co.,Solana Beach,CA,American-Style Brown Ale,2016
Silver,Upslope Brown Ale,Upslope Brewing Co. - Flatiron Park,Boulder,CO,American-Style Brown Ale,2016
Bronze,Face Down Brown,Telluride Brewing Co.,Telluride,CO,American-Style Brown Ale,2016
Gold,El Sully,21st Amendment Brewery,San Leandro,CA,American-Style Cream Ale,2016
Silver,Old Style Lager,Pabst Brewing Co.,Los Angeles,CA,American-Style Cream Ale,2016
Bronze,Broadway Light,Detroit Beer Co.,Detroit,MI,American-Style Cream Ale,2016
Gold,Slingback,High Heel Brewing,St. Louis,MO,American-Style Fruit Beer,2016
Silver,Miss IPPA,Peter B's Brewpub,Monterey,CA,American-Style Fruit Beer,2016
Bronze,Apricot Cream Ale,Vertigo Brewing,Hillsboro,OR,American-Style Fruit Beer,2016
Gold,Bodhizafa IPA,Georgetown Brewing Co.,Seattle,WA,American-Style India Pale Ale,2016
Silver,Super Cali IPA,Riip Beer Co.,Huntington Beach,CA,American-Style India Pale Ale,2016
Bronze,Breaking Bud,Knee Deep Brewing Co.,Auburn,CA,American-Style India Pale Ale,2016
Gold,Pabst Blue Ribbon (PBR),Pabst Brewing Co.,Los Angeles,CA,American-Style Lager or Ice Lager or Malt Liquor,2016
Silver,Coors Banquet,Coors Brewing Co.,Golden,CO,American-Style Lager or Ice Lager or Malt Liquor,2016
Bronze,Lager,Craft Brew Alliance - Omission,Portland,OR,American-Style Lager or Ice Lager or Malt Liquor,2016
Gold,#10 American Lager,Brown Truck Brewery,High Point,NC,American-Style Light Lager or German-Style Light Lager,2016
Silver,Lightner Creek Lager,Carver Brewing Co.,Durango,CO,American-Style Light Lager or German-Style Light Lager,2016
Bronze,Coors Light,Coors Brewing Co.,Golden,CO,American-Style Light Lager or German-Style Light Lager,2016
Gold,Robot Crush,Aeronaut Brewing Co.,Somerville,MA,American-Style or International-Style Pilsener,2016
Silver,Pelicano Extra!,Pelican Brewing Co.,Tillamook,OR,American-Style or International-Style Pilsener,2016
Gold,Stick's Pale Ale,Bootstrap Brewing Co.,Niwot,CO,American-Style Pale Ale,2016
Bronze,The Charlatan,Maplewood Brewery,Chicago,IL,American-Style Pale Ale,2016
Gold,Queen of Tarts,Karl Strauss Brewing Co. - San Diego,San Diego,CA,American-Style Sour Ale,2016
Silver,Heart of Gold,Great Notion Brewing,Portland,OR,American-Style Sour Ale,2016
Gold,P2P,10 Barrel Brewing Co.,Bend,OR,American-Style Stout,2016
Silver,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2016
Bronze,The Volcanist,Societe Brewing Co.,San Diego,CA,American-Style Stout,2016
Gold,Good Green,Highland Park Brewery,Los Angeles,CA,American-Style Strong Pale Ale,2016
Bronze,HFS,Alpine Beer Co.,San Diego,CA,American-Style Strong Pale Ale,2016
Gold,Tumblewheat,Altitude Chophouse and Brewery,Laramie,WY,American-Style Wheat Beer,2016
Silver,Shredder's Wheat,Barley Brown's Beer,Baker City,OR,American-Style Wheat Beer,2016
Bronze,Flash Bang,Excel Brewing Co.,Breese,IL,American-Style Wheat Beer,2016
Gold,White Noise,Uberbrew,Billings,MT,American-Style Wheat Beer With Yeast,2016
Silver,Medley of Moods,Gibb's Hundred Brewing Co.,Greensboro,NC,American-Style Wheat Beer With Yeast,2016
Gold,Drop Bear Australian Pale Ale,Lynnwood Brewing Concern,Raleigh,NC,Australian-Style or International-Style Pale Ale,2016
Silver,Mai Tai P.A.,Alvarado Street Brewery,Salinas,CA,Australian-Style or International-Style Pale Ale,2016
Bronze,Breakside Lunch Break ISA,Breakside Brewery & Taproom,Milwaukie,OR,Australian-Style or International-Style Pale Ale,2016
Gold,Danzig,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,Baltic-Style Porter,2016
Silver,Dark Reckoning,Morgan Territory Brewing,Tracy,CA,Baltic-Style Porter,2016
Bronze,Toad Choker Barley Wine,Nine-Band Brewing Co.,Allen,TX,Barley Wine-Style Ale,2016
Gold,Domaine DuPage,Two Brothers Brewing Co.,Warrenville,IL,Belgian- and French-Style Ale,2016
Silver,Swingin' Single,Piece Brewery,Chicago,IL,Belgian- and French-Style Ale,2016
Bronze,Antonym,2SP Brewing Co.,Aston,PA,Belgian- and French-Style Ale,2016
Gold,Solid Gold,Cannonball Creek Brewing Co.,Golden,CO,Belgian-Style Blonde Ale or Pale Ale,2016
Silver,Lunatic,Wicked Weed Brewing - Asheville,Asheville,NC,Belgian-Style Blonde Ale or Pale Ale,2016
Bronze,Sunken Road,Spencer Devon Brewing,Fredericksburg,VA,Belgian-Style Blonde Ale or Pale Ale,2016
Gold,Abbey Dubbel,Elm City Brewing Co.,Keene,NH,Belgian-Style Dubbel or Quadrupel,2016
Bronze,Flyin' Monks,Adelbert's Brewery,Austin,TX,Belgian-Style Dubbel or Quadrupel,2016
Gold,Apricot Wheat,Wiens Brewing Co./Wiens Family Cellars,Temecula,CA,Belgian-Style Fruit Beer,2016
Silver,Cherry Busey,Sun King Brewing Co.,Indianapolis,IN,Belgian-Style Fruit Beer,2016
Bronze,Cerasus,Logsdon Farmhouse Ales,Hood River,OR,Belgian-Style Fruit Beer,2016
Gold,Hexotic,Two Roads Brewing Co.,Stratford,CT,Belgian-Style Lambic or Sour Ale,2016
Bronze,Roes Red,Pure Project,San Diego,CA,Belgian-Style Lambic or Sour Ale,2016
Silver,Monk in Public,Maize Valley Craft Brewery,Hartville,OH,Belgian-Style Strong Specialty Ale,2016
Bronze,Treachery,12Degree Brewing,Louisville,CO,Belgian-Style Strong Specialty Ale,2016
Gold,Allagash Tripel,Allagash Brewing Co.,Portland,ME,Belgian-Style Tripel,2016
Bronze,Tripel Dog Dare,Big Dog's Brewing Co.,Las Vegas,NV,Belgian-Style Tripel,2016
Gold,Ommegang Witte Ale,Brewery Ommegang,Cooperstown,NY,Belgian-Style Witbier,2016
Silver,Wit's End Ale,Great American Restaurants - Sweetwater Tavern,Centreville,VA,Belgian-Style Witbier,2016
Bronze,Witbier,Community Beer Co.,Dallas,TX,Belgian-Style Witbier,2016
Gold,Breakline Bock,Rip Current Brewery,San Marcos,CA,Bock,2016
Silver,Numbskull,Swamp Rabbit Brewery & Taproom,Travelers Rest,SC,Bock,2016
Bronze,Bridge Street Bock,Iron Hill Brewery & Restaurant - Phoenixville,Phoenixville,PA,Bock,2016
Silver,Polaris Pilsner,Chainline Brewing Co.,Kirkland,WA,Bohemian-Style Pilsener,2016
Bronze,Torch Pilsner,Foothills Brewing Co.,Winston-Salem,NC,Bohemian-Style Pilsener,2016
Gold,Touch of Brett,Alesong Brewing & Blending,Eugene,OR,Brett Beer,2016
Silver,Dreamy Thing,Cerebral Brewing,Denver,CO,Brett Beer,2016
Bronze,Brett Saison,Ardent Craft Ales,Richmond,VA,Brett Beer,2016
Silver,Black Shack Porter,Wachusett Brewing Co.,Westminster,MA,Brown Porter,2016
Silver,The Contender IPA with Fresh Chilis,Duck Foot Brewing Co.,San Diego,CA,Chili Beer,2016
Bronze,Vengeance! Jalapeno Cream Ale,Jack Pine Brewery,Baxter,MN,Chili Beer,2016
Gold,Chaos,RAM/Big Horn Brewery - Wheeling,Wheeling,IL,Chocolate Beer,2016
Silver,The Ticket Chocolate Beer,ZwanzigZ Brewing,Columbus,IN,Chocolate Beer,2016
Bronze,4th Gear (4th Anniversary),Kinetic Brewing Co.,Lancaster,CA,Chocolate Beer,2016
Gold,Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Classic English-Style Pale Ale,2016
Silver,Breakside ESB,Breakside Brewery,Portland,OR,Classic English-Style Pale Ale,2016
Bronze,HopFish IPA,Flying Fish Brewing Co.,Somerdale,NJ,Classic English-Style Pale Ale,2016
Gold,Big Drought Stout,Solid Rock Brewing,Spicewood,TX,Classic Irish-Style Dry Stout,2016
Silver,Love Stout,Yards Brewing Co.,Philadelphia,PA,Classic Irish-Style Dry Stout,2016
Bronze,Bangin The Mash,Latitude 42=C2=B0 Brewing Co.,Portage,MI,Classic Irish-Style Dry Stout,2016
Gold,Achtertuin Seizoen Farmhouse Ale,The Post Brewing Co.,Lafayette,CO,Classic Saison,2016
Silver,Meriwether,Perennial Artisan Ales,St. Louis,MO,Classic Saison,2016
Bronze,Saison,Baere Brewing Co.,Denver,CO,Classic Saison,2016
Gold,Gusto Crema,Georgetown Brewing Co.,Seattle,WA,Coffee Beer,2016
Gold,Dortmunder Mifflin,Emmett's Tavern & Brewing Co. - Palatine,Palatine,IL,Dortmunder or German-Style Oktoberfest,2016
Silver,Longboard Island Lager,Craft Brew Alliance - Kona Brewery,Kailua-Kona,HI,Dortmunder or German-Style Oktoberfest,2016
Bronze,Figtoberfest,Figueroa Mountain Brewing - Westlake Village,Westlake Village,CA,Dortmunder or German-Style Oktoberfest,2016
Gold,The Red Glove,Boxing Bear Brewing Co.,Albuquerque,NM,Double Red Ale,2016
Bronze,RIPA,Carson's Brewery,Evansville,IN,Double Red Ale,2016
Gold,Tri-Town Brown,Echo Brewing Cask and Barrel,Erie,CO,English-Style Brown Ale,2016
Silver,Sir Williams,Grapevine Craft Brewery,Grapevine,TX,English-Style Brown Ale,2016
Bronze,Not Brown,CooperSmith's Pub & Brewing,Fort Collins,CO,English-Style Brown Ale,2016
Gold,Gatecrasher,Temperance Beer Co.,Evanston,IL,English-Style India Pale Ale,2016
Silver,Face Plant,Lost Rhino Brewing Co.,Ashburn,VA,English-Style India Pale Ale,2016
Bronze,Live Wire,Roak Brewing Co.,Royal Oak,MI,English-Style India Pale Ale,2016
Gold,Workman's Compensation,Lion Bridge Brewing Co.,Cedar Rapids,IA,English-Style Mild Ale,2016
Bronze,Old Town Brown,Auburn Alehouse,Auburn,CA,English-Style Mild Ale,2016
Silver,Ridgway Blonde,Colorado Boy Pub & Brewery,Ridgway,CO,English-Style Summer Ale,2016
Bronze,Liquid AC,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA,English-Style Summer Ale,2016
Gold,I Dunkled in My Pants,Figueroa Mountain Brewing - Buellton,Buellton,CA,European-Style Dark Lager/Munich-Style Dunkel,2016
Silver,Piney Ridge Dunkel,Front Range Brewing Co.,Lafayette,CO,European-Style Dark Lager/Munich-Style Dunkel,2016
Bronze,Prunkle's Dunkle,Horse Thief Hollow Brewery,Chicago,IL,European-Style Dark Lager/Munich-Style Dunkel,2016
Silver,Wineification II,The Bruery,Placentia,CA,Experimental Beer,2016
Bronze,Oyster Weiss,Scratch Brewing Co.,Ava,IL,Experimental Beer,2016
Gold,Dirty Frank Stout,River's Edge Brewing Co.,Milford,MI,Export Stout,2016
Silver,"Fade to Black, Volume 1",Left Hand Brewing Co.,Longmont,CO,Export Stout,2016
Bronze,Starway Stout,Barrel Mountain Brewing,Battle Ground,WA,Export Stout,2016
Gold,Redfeather,Black Raven Brewing Co.,Redmond,WA,Extra Special Bitter,2016
Silver,Red Fish,Flying Fish Brewing Co.,Somerdale,NJ,Extra Special Bitter,2016
Bronze,Mother Earth ESB,Mother Earth Brew Co.,Vista,CA,Extra Special Bitter,2016
Gold,Imperial Coconut Porter,Maui Brewing Co. - Production,Kihei,HI,Field Beer,2016
Silver,Slam Piece,Coppertail Brewing,Tampa,FL,Field Beer,2016
Bronze,Redbud with Cucumber,Independence Brewing Co.,Austin,TX,Field Beer,2016
Silver,Acequia IPA,Bosque Brewing Co.,Albuquerque,NM,Fresh or Wet Hop Ale,2016
Gold,Mexican Spring,515 Brewing Co.,Clive,IA,Fruit Wheat Beer,2016
Silver,Mango Wheat,Blue Moon Brewing Co.,Denver,CO,Fruit Wheat Beer,2016
Bronze,Apricot Hefeweizen,Wasatch Brewery,Salt Lake City,UT,Fruit Wheat Beer,2016
Gold,Razz-Jerry Tart,BJ's Restaurant & Brewery - Brea,Brea,CA,Fruited Wood- and Barrel-Aged Sour Beer,2016
Bronze,Pi,Propolis Brewing,Port Townsend,WA,Fruited Wood- and Barrel-Aged Sour Beer,2016
Gold,Little Red Cap,Grimm Brothers Brewhouse,Loveland,CO,German-Style Altbier,2016
Silver,Deep Roots,Red Cypress Brewery,Winter Springs,FL,German-Style Altbier,2016
Gold,Warning Sign,Rockyard American Grill & Brewing Co.,Castle Rock,CO,German-Style Doppelbock or Eisbock,2016
Bronze,Apocalyptinator,Nevin's Brewing Co.,Plainfield,IL,German-Style Doppelbock or Eisbock,2016
Gold,Light of Cologne,Ornery Beer Co.,Woodbridge,VA,German-Style Koelsch,2016
Gold,Zirkusfest Oktoberfest Lager,Hi-Wire Brewing - Big Top Production Facility,Asheville,NC,German-Style Maerzen,2016
Silver,Seven Bridges,Jekyll Brewing,Alpharetta,GA,German-Style Maerzen,2016
Bronze,Fruhauf Oktoberfest,Pollyanna Brewing Co.,Lemont,IL,German-Style Maerzen,2016
Gold,Industry,The Austin Beer Garden Brewing Co.,Austin,TX,German-Style Pilsener,2016
Silver,Bosque Lager,Bosque Brewing Co.,Albuquerque,NM,German-Style Pilsener,2016
Bronze,Lokahi Pilsner,Kohola Brewery,Lahaina,HI,German-Style Pilsener,2016
Bronze,Once You Go Schwarz...,Figueroa Mountain Brewing - Arroyo Grande,Arroyo Grande,CA,German-Style Schwarzbier,2016
Gold,Gose,Reuben's Brews,Seattle,WA,German-Style Sour Ale,2016
Silver,Gose,Kulshan Brewing Co.,Bellingham,WA,German-Style Sour Ale,2016
Bronze,Farmers Market Citrus Gose,Sudwerk Brewing Co.,Davis,CA,German-Style Sour Ale,2016
Gold,AlpenGlow,Fat Head's Brewery & Saloon,North Olmsted,OH,German-Style Wheat Ale,2016
Silver,Slam Dunkel,Steamworks Brewing Co.,Durango,CO,German-Style Wheat Ale,2016
Bronze,KC3=BCsterer Original Weissbier,Cedar Springs Brewing Co.,Cedar Springs,MI,German-Style Wheat Ale,2016
Gold,Dark Ale,Ground Breaker Brewing,Portland,OR,Gluten-Free Beer,2016
Silver,Copperhead,Greenview Brewing,Madison,WI,Gluten-Free Beer,2016
Bronze,Grapefruit IPA,Ghostfish Brewing Company,Seattle,WA,Gluten-Free Beer,2016
Gold,Kirby,Echo Brewing Co.,Frederick,CO,Golden or Blonde Ale,2016
Silver,Miss Conduct,Moonraker Brewing Co.,Auburn,CA,Golden or Blonde Ale,2016
Bronze,German Blonde Ale,Bemidji Brewing Co.,Bemidji,MN,Golden or Blonde Ale,2016
Gold,NoDajito,NoDa Brewing Co. - Davidson,Charlotte,NC,Herb and Spice Beer,2016
Silver,Ginger American Ale,Broken Compass Brewing,Breckenridge,CO,Herb and Spice Beer,2016
Bronze,1634 Ale,Brewer's Alley Restaurant & Brewery,Frederick,MD,Herb and Spice Beer,2016
Gold,Valhalla,El Rancho Brewing,Evergreen,CO,Historical Beer,2016
Silver,Grosse Teufel,Hardywood Park Craft Brewery,Richmond,VA,Historical Beer,2016
Gold,Jetty Cream Ale,Great South Bay Brewery,Bay Shore,NY,Honey Beer,2016
Silver,Spring Fever,FiftyFifty Brewing Co.,Truckee,CA,Honey Beer,2016
Bronze,Belgian Honey Blonde Ale,No Clue Craft Brewery,Rancho Cucamonga,CA,Honey Beer,2016
Gold,Humulus Insani,Uberbrew,Billings,MT,Imperial India Pale Ale,2016
Silver,Nobility,Noble Ale Works,Anaheim,CA,Imperial India Pale Ale,2016
Bronze,Hop JuJu Imperial IPA,Fat Head's Brewery,Middleburg Heights,OH,Imperial India Pale Ale,2016
Gold,Paradocs Red Imperial IPA,Raised Grain Brewing Co.,Waukesha,WI,Imperial Red Ale,2016
Silver,reDANKulous - Backstage Series,Founders Brewing Co.,Grand Rapids,MI,Imperial Red Ale,2016
Bronze,Wreak Havoc,Bootstrap Brewing Co.,Niwot,CO,Imperial Red Ale,2016
Gold,The Russian,2SP Brewing Co.,Aston,PA,Imperial Stout,2016
Silver,Gatling Gun Imperial Stout,BNS Brewing & Distilling Co.,Santee,CA,Imperial Stout,2016
Bronze,Iron Triangle Jawbone,Iron Triangle Brewing Co.,Los Angeles,CA,Imperial Stout,2016
Gold,Highlander Devil's Hump Red Ale,Missoula Brewing Co.,Missoula,MT,Irish-Style Red Ale,2016
Bronze,Riley's Irish Red,The Packinghouse Brewing Co.,Riverside,CA,Irish-Style Red Ale,2016
Gold,Sunnyside Dweller,Ocelot Brewing,Sterling,VA,Kellerbier or Zwickelbier,2016
Silver,Kelly Alt,Snake River Brewing Co.,Jackson,WY,Kellerbier or Zwickelbier,2016
Bronze,Pilsner,Marble Brewery,Albuquerque,NM,Kellerbier or Zwickelbier,2016
Bronze,DAM Wild: Marionberry Pink Peppercorn,Flat Tail Brewing Co.,Corvallis,OR,Mixed-Culture Brett Beer,2016
Gold,Chuckanut Helles,Chuckanut Brewery,Bellingham,WA,Munich-Style Helles,2016
Silver,Helles,Dry Dock Brewing Co. - South Dock,Aurora,CO,Munich-Style Helles,2016
Bronze,Hell Yes,The Austin Beer Garden Brewing Co.,Austin,TX,Munich-Style Helles,2016
Silver,Backside Stout,Steamworks Brewing Co.,Durango,CO,Oatmeal Stout,2016
Bronze,Feelin' Your Oats,SLO Brew,San Luis Obispo,CA,Oatmeal Stout,2016
Gold,Irish Walker,Olde Hickory Brewery,Hickory,NC,Old Ale or Strong Ale,2016
Silver,COLOSSAL FIVE,Port City Brewing Co.,Alexandria,VA,Old Ale or Strong Ale,2016
Bronze,Old Silenus Ale,Migration Brewing Co.,Portland,OR,Old Ale or Strong Ale,2016
Gold,DBA (Double Barrel Ale),Firestone Walker Brewing Co.,Paso Robles,CA,Ordinary or Special Bitter,2016
Silver,Drop Top Amber Ale,Craft Brew Alliance - Widmer,Portland,OR,Ordinary or Special Bitter,2016
Bronze,Special Bitter,Redwood Curtain Brewing Co.,Arcata,CA,Ordinary or Special Bitter,2016
Silver,Standard Issue,Central Standard Brewing,Wichita,KS,Other Belgian-Style Ale,2016
Bronze,Petite Classique,The Commons Brewery,Portland,OR,Other Belgian-Style Ale,2016
Gold,Anodyne Wheat Wine,Revolver Brewing,Granbury,TX,Other Strong Beer,2016
Silver,Black Muddy River,Fat Head's Brewery & Saloon,North Olmsted,OH,Other Strong Beer,2016
Gold,Just RyeE2=80=99te,Panther Island Brewing Co.,Fort Worth,TX,Proam,2016
Bronze,The Kolsch Experiment,Altitude Chophouse and Brewery,Laramie,WY,Proam,2016
Gold,Pump Action Imperial Pumpkin Ale,4 Noses Brewing Co.,Broomfield,CO,Pumpkin Spice Beer,2016
Silver,Twisted Gourd,South Street Brewery,Charlottesville,VA,Pumpkin Spice Beer,2016
Bronze,5 Phantoms Pumpkin Spice Barleywine,Philipsburg Brewing Co.,Philipsburg,MT,Pumpkin Spice Beer,2016
Bronze,Butt-Ah Nut,BTU Brasserie,Portland,OR,Pumpkin/Squash Beer,2016
Silver,Shallow Grave,Heretic Brewing Co.,Fairfield,CA,Robust Porter,2016
Bronze,Point Reyes Porter,Marin Brewing Co.,Larkspur,CA,Robust Porter,2016
Silver,Rock-Biter Roggenbier,Hop Dogma Brewing Co.,El Granada,CA,Rye Beer,2016
Bronze,Runaround Rye Ale,Roundhouse Brewery,Brainerd,MN,Rye Beer,2016
Silver,Oh My Darlyn!,Revelry Brewing Co.,Charleston,SC,Scotch Ale,2016
Bronze,Going Plaid,Fifty West Brewing Co.,Cincinnati,OH,Scotch Ale,2016
Silver,Scottish Ale,Two Kilts Brewing,Sherwood,OR,Scottish-Style Ale,2016
Bronze,McGreagor Scottish Ale,Kootenai River Brewing Co.,Bonners Ferry,ID,Scottish-Style Ale,2016
Silver,Oatmeal Stout,Benchmark Brewing Co.,San Diego,CA,Session Beer,2016
Bronze,Slippery When Wit,South Street Brewery,Charlottesville,VA,Session Beer,2016
Gold,Trump Hands,Cannonball Creek Brewing Co.,Golden,CO,Session India Pale Ale,2016
Silver,Pace Car Racer,Bear Republic Brewing Co. - Production Facility,Cloverdale,CA,Session India Pale Ale,2016
Bronze,Mosaic Session IPA,Karl Strauss Brewing Co. - San Diego,San Diego,CA,Session India Pale Ale,2016
Gold,Raucher,Wolverine State Brewing Co.,Ann Arbor,MI,Smoke Beer,2016
Silver,Cowboy Curtis,Arts District Brewing Co.,Los Angeles,CA,Smoke Beer,2016
Gold,Windansea Wheat,Karl Strauss Brewing Co. - San Diego,San Diego,CA,South German-Style Hefeweizen,2016
Silver,WeiC3==9Fbier,Prost Brewing,Denver,CO,South German-Style Hefeweizen,2016
Bronze,Shotgun Betty,Lonerider Brewing Co.,Raleigh,NC,South German-Style Hefeweizen,2016
Gold,Campfire Stout,High Water Brewing,Stockton,CA,Specialty Beer,2016
Bronze,GAZPROM!,Lion Bridge Brewing Co.,Cedar Rapids,IA,Specialty Beer,2016
Gold,Six Finger Sam Saison,Two Rivers Brewing Co.,Easton,PA,Specialty Saison,2016
Silver,#4 Saison,Brown Truck Brewery,High Point,NC,Specialty Saison,2016
Bronze,Creme de Peche,The Commons Brewery,Portland,OR,Specialty Saison,2016
Silver,Duck-Rabbit Milk Stout,Duck-Rabbit Craft Brewery,Farmville,NC,Sweet Stout or Cream Stout,2016
