name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
Pike's Peak Cooler,Cocktail Classics,,Cider,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Whole Egg,,,,,Shake with ice and strain into collins glass with cracked ice. Fill with cider and stir. Insert a spiral of orange or lemon peel (or both) and dangle over rim of glass.,Collins Glass,14 to 16 ounces
Blarney Stone Cocktail,Whiskies,2 oz, Irish Whiskey,1/2 oz, Anisette,1/2 oz, Triple Sec,1/2 oz, Maraschino liqueur,1 oz, Angostura Bitters,1 oz," Orange twist, green olive",Shake with ice and strain into chilled cocktail glass. Add orange twist and olive.,Cocktail Glass,6 or more ounces
Pacman,Cocktail Classics,2 oz, Lemon Juice,1 oz, Grenadine,1 oz, Bitters,, Ginger ale,,,,,"Add grenadine, lemon juice, and bitters to collins filled with ice. Top  with wedge of lime. with ginger ale. Notch an orange slice and slide down side of glass.",Collins Glass,14 to 16 ounces
Lemonade (Golden),Cocktail Classics,1 oz, Juice of a Lemon,2 oz, Powdered Sugar,1 oz, Egg Yolk,6 oz, Water,,,,,"Shake with ice and strain into collins glass. Decorate with slices of orange and lemon, and a cherry.",Collins Glass,14 to 16 ounces
Black Hawk,Whiskies,1 1/2 oz, Bourbon whiskey,1 1/2 oz, Sloe gin,1 oz, Maraschino cherry,,,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.,Cocktail Glass,6 or more ounces
Lemonade (Egg),Cocktail Classics,1 oz, Juice of a Lemon,2 oz, Powdered Sugar,1 oz, Whole Egg,,,,,,,Shake and strain into collins glass over ice cubes. Add enough water to fill glass. Serve with straws.,Collins Glass,14 to 16 ounces
Bensonhurst,Whiskies,1 oz, Cynar,2 oz, Straight rye whiskey,1 oz, Dry Vermouth,1/4 oz, Maraschino liqueur,,,,,Swirl Cynar in chilled cocktail glass to coat inside; discard excess Cynar. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces
Chocolate Daisy,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Powdered Sugar,1 oz, Grenadine,1 1/2 oz, Brandy,1 1/2 oz, Port,,,Shake with ice and strain into stein or metal cup. Add ice cubes and decorate with fruit,Stein,
The Beautiful Day,Whiskies,1 1/4 oz, Irish Whiskey,3/4 oz, Rhubarb Syrup,2 oz, Cold brewed green tea,, Edible flowers,,,,,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with edible flowers.,Old-Fashioned Glass,6 to 8 ounces
French Quarter,Brandy,2 oz, Brandy,3/4 oz, Lillet Blanc,, Lemon quarter-wheel,,,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with lemon.,Cocktail Glass,6 or more ounces
Creme de Gin Cocktail,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, White creme de menthe,1 oz, Egg White,2 oz, Lemon Juice,2 oz, Orange Juice,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Creamy Screwdriver,Cocktail Classics,2 oz, Vodka,1 oz, Egg Yolk,6 oz, Orange Juice,1 oz, Sugar,,,,,Combine all ingredients with a half-cup of crushed ice in an electric blender. Blend at low speed and pour into collins glass.,Collins Glass,14 to 16 ounces
Creamy Orange,Cocktail Classics,1 oz, Orange Juice,1 oz, Cream sherry,3/4 oz, Brandy,1 oz, Light cream,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Creamsicle,Cocktail Classics,1 1/2 oz, Vanilla liqueur,1 1/2 oz, Milk,3 oz, Orange Juice,,,,,,,"Fill a tall glass with ice, add the above ingredients, and stir.",Collins Glass,14 to 16 ounces
Cowboy Cocktail,Cocktail Classics,1 1/2 oz, Blended whiskey,1 oz, Light cream,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Beals Cocktail,Whiskies,1 1/2 oz, Blended Scotch Whiskey,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Coronation Cocktail,Cocktail Classics,3/4 oz, Gin,3/4 oz, Dubonnet,3/4 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Cornell Cocktail,Cocktail Classics,1/2 oz, Lemon Juice,1 oz, Maraschino,1 oz, Egg White,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Combo,Cocktail Classics,2 1/2 oz, Dry Vermouth,1 oz, Brandy,1/2 oz, Triple Sec,1/2 oz, Powdered Sugar,1 oz, Bitters,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces
Basin Street,Whiskies,2 oz, Bourbon whiskey,3/4 oz, Triple Sec,3/4 oz, Fresh lemon juice,,,,,,,Shake well with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Cole's Raspberry Cream,Cocktail Classics,1 1/2 oz, Raspberry Yogurt,1 1/2 oz, Raspberry Ice Cream,1 1/2 oz, White creme de cacao,1 1/2 oz, Vodka,2 oz, Heavy cream,,,Shake or blend.,Champagne Flute,6 to 8 ounces
Cognac Coupling,Cocktail Classics,2 oz, Cognac,1 oz, Tawny port,1/2 oz, Anis,1 oz, Lemon Juice,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces
Coffee Sour,Cocktail Classics,1 1/2 oz, Coffee-flavored brandy,1 oz, Lemon Juice,1 oz, Powdered Sugar,1/2 oz, Egg White,,,,,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces
Coffee Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 oz, Brandy,1 oz, Port,2 oz, Light Cream (if desired),,,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces
Coffee Cocktail,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 oz, Port,1 oz, Brandy,,,,,Shake with ice and strain into sour glass. Sprinkle nutmeg on top.,Sour Glass,5 to 6 ounces
Purple Mask,Vodka,1 oz, Vodka,1 oz, Concord grape juice,1/2 oz, White creme de cacao,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Clove Cocktail,Cocktail Classics,1 oz, Sweet Vermouth,1/2 oz, Sloe gin,1/2 oz, Muscatel Wine,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Clover Leaf Cocktail,Cocktail Classics,1 oz, Juice of a Lime,2 oz, Grenadine,1 oz, Egg White,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass. Serve with mint leaf on top.,Cocktail Glass,6 or more ounces
Clover Club Cocktail,Cocktail Classics,1 oz, Juice of a Lemon,2 oz, Grenadine,1 oz, Egg White,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Priority Cocktail,Vodka,2 oz, Vodka,1/2 oz, Calvados,1/2 oz, Coffee liqueur,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Clamato Cocktail,Cocktail Classics,1 1/2 oz, Vodka,1 oz, Clam Juice,3 oz, Tomato Juice,,,,,,,"Shake with ice, strain, and serve over ice cubes in old-fashioned glass.",Old-Fashioned Glass,6 to 8 ounces
Cider Eggnog,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1/2 oz, Milk,,,,,,,Shake with ice and strain into collins glass. Then fill the glass with cider and stir. Sprinkle nutmeg on top.,Collins Glass,14 to 16 ounces
Chocolate Soldier,Cocktail Classics,1/2 oz, Juice of a Lime,3/4 oz, Dubonnet,1 1/2 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Chocolate Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,3/4 oz, Sloe gin,3/4 oz, Brandy,2 oz, Light Cream (if desired),,,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces
Chocolate Cocktail,Cocktail Classics,1 1/2 oz, Port,1 1/2 oz, Yellow Chartreuse,1 oz, Egg Yolk,1 oz, Powdered Sugar,,,,,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces
Chicago Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Egg White,1 oz, Port,1 oz, Light Rum,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Pretty In Pink,Vodka,2 oz, Vodka,1/2 oz, Cranberry Juice,3/4 oz, Creme de noyaux,3/4 oz, Fresh lemon juice, Soda water,,,,Shake first four ingredients and strain into ice-filled Collins glass. Top with soda water.,Collins Glass,14 to 16 ounces
Cherry Wine Cocktail,Cocktail Classics,3/4 oz, Danish Cherry Wine,3/4 oz, Vodka,1/2 oz, Juice of a Lime,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Cherry Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 1/2 oz, cherry-flavored brandy,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces
Cherry Cooler,Cocktail Classics,2 oz, Cherry Vodka,, Cola,,,,,,,,,"Pour cherry vodka into collins glass over ice cubes. Fill with cola, add a slice of lemon, and stir.",Collins Glass,14 to 16 ounces
Polynesian Cocktail,Vodka,," Lime wedge, superfine sugar",1 1/2 oz, Vodka,3/4 oz, cherry-flavored brandy,3/4 oz, Fresh Lime Juice,,,,,Rim chilled cocktail glass with lime and sugar. Shake ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces
Chateau Briand's Rum Cow,Cocktail Classics,1 1/4 oz, Dark rum,1 oz, Sugar,2 oz, Bitters,3/4 oz, Milk,,,,,Blend and strain into a collins glass.,Collins Glass,14 to 16 ounces
Champagne Velvet,Cocktail Classics,5 oz, Chilled Stout,5 oz, Chilled Champagne,,,,,,,,,"See Black Velvet recipe on page 54.  Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. ",Champagne Flute,6 to 8 ounces
Pink Pussycat,Vodka,1 1/2 oz, Vodka,2 oz, Pineapple or grapefruit juice,1/2 oz, Grenadine,,,,,,,Pour ingredients into ice-filled highball glass and stir.,Highball Glass,7 to 10 ounces
Back Porch Swizzle,Whiskies,1 1/2 oz, Bourbon whiskey,1/2 oz, Dry Vermouth,1 oz, Pineapple Juice,1 oz, Ginger beer, Green Chartreuse,,, Fresh mint sprig,"Pour first four ingredients in crushed ice-filled highball glass. With barspoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Float Chartreuse on top, and garnish with mint.",Highball Glass,7 to 10 ounces
Canadian Pineapple,Cocktail Classics,1 1/2 oz, Canadian whisky,1 oz, Pineapple Juice,1 oz, Lemon Juice,1/2 oz, Maraschino,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Add a Stick of pineapple.,Old-Fashioned Glass,6 to 8 ounces
Calm Voyage,Cocktail Classics,1/2 oz, Strega,1/2 oz, Light Rum,1 oz, Passion Fruit Syrup,2 oz, Lemon Juice,1/2 oz, Egg White,,,Put all ingredients in blender with half a cup of crushed ice. Blend at low speed and pour into champagne flute.,Champagne Flute,6 to 8 ounces
Pink Lemonade,Vodka,1 1/2 oz, Citrus-flavored vodka,1/4 oz, Triple Sec,1/4 oz, Fresh Lime Juice,1/4 oz, Fresh lemon juice,1/4 oz, Simple Syrup,2 oz," Cranberry Juice, lemon wheel",Shake with ice and strain into ice-filled Collins glass. Garnish with lemon.,Collins Glass,14 to 16 ounces
Caledonia,Cocktail Classics,1 oz, Creme de Cacao (Brown),1 oz, Brandy,1 oz, Milk,1 oz, Egg Yolk,,,,,Shake well with ice and Strain into old-fashioned glass over ice cubes. Sprinkle cinnamon on top.,Old-Fashioned Glass,6 to 8 ounces
Caf_ di Amaretto ,Cocktail Classics,1 oz, Hot Black Coffee,1 oz, Amaretto,, Whipped cream,,,,,,,Add 1 oz. Amaretto to a cup of black coffee. Top with whipped cream.,Mug,
Cafe De Paris Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Anis,1 oz, Light cream,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Aztec's Mark,Whiskies,1 1/2 oz, Bourbon whiskey,1/2 oz, White creme de cacao,1/4 oz, Benedictine,2 oz, Hot red pepper sauce, Orange twist,,,,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces
Fontainebleau Special,Brandy,1 oz, Brandy,1 oz, Anisette,1/2 oz, Dry Vermouth,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Suntan,Cocktail Classics,2 oz, Hot Shot Tropical Fruit Liqueur,2 oz, Orange Juice,,,,,,,,,Pour over ice in a highball glass. Fill with club soda.,Highball Glass,7 to 10 ounces
Sunburn,Cocktail Classics,2 oz, Hot Shot Tropical Fruit Liqueur,2 oz, Grapefruit Juice,,,,,,,,,Pour over ice in a highball glass. Fill with club soda. Add a dash of grenadine for color.,Highball Glass,7 to 10 ounces
Suissesse Cocktail,Cocktail Classics,2 oz, Anisette,1 oz, Egg White,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Strawberry Sunries,Cocktail Classics,2 oz, Strawberry schnapps,1/2 oz, Grenadine,,,,,,,,,Pour over ice in a highball glass. Fill with orange juice. Garnish with a fresh strawberry.,Highball Glass,7 to 10 ounces
Autumn Leaves,Whiskies,3/4 oz, Straight rye whiskey,3/4 oz, Apple Brandy,3/4 oz, Sweet Vermouth,1/4 oz, Strega,2 oz, Angostura Bitters,, Orange twist,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.,Old-Fashioned Glass,6 to 8 ounces
Pickled Pink,Vodka,2 oz, Vodka,1 oz, Aquavit,1/2 oz, Dill pickle brine,2 oz, Angostura Bitters, Dill sprig,,,,Shake with ice and strain into cocktail glass. Garnish with dill.,Cocktail Glass,6 or more ounces
Aquarius,Whiskies,1 1/2 oz, Blended Scotch Whiskey,1/2 oz, cherry-flavored brandy,1 oz, Cranberry Juice,,,,,,,Shake with ice and strain into old-fashioned glass over ice.,Old-Fashioned Glass,6 to 8 ounces
Soul Kiss Cocktail,Cocktail Classics,1 1/2 oz, Orange Juice,1 1/2 oz, Dubonnet,3/4 oz, Dry Vermouth,3/4 oz, Bourbon,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Pickled Martini,Vodka,2 oz, Vodka,1/4 oz, Dry Vermouth,3/4 oz, Sweet pickle brine,1, Sweet pickle slice,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with pickle.,Cocktail Glass,6 or more ounces
Sloe Gin Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 oz, Sloe gin,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces
Angel's Share,Whiskies,1 1/2 oz, Bourbon whiskey,1/2 oz, Amaro,1/4 oz, Creme de Cassis,1 oz, Orange Bitters, Lemon twist,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Silver Stallion Fizz,Cocktail Classics,1 oz, Vanilla Ice Cream,2 oz, Gin,, Carbonated Water,,,,,,,Shake gin and ice cream with ice and strain into highball glass. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Silver King Cocktail,Cocktail Classics,1 oz, Egg White,1/4 oz, Juice of a Lemon,1 1/2 oz, Gin,1/2 oz, Powdered Sugar,2 oz, Orange Bitters,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
American Trilogy,Whiskies,1 oz," Brown sugar cube, such as Demerara",1 oz, Straight rye whiskey,1 oz, Applejack,, Orange twist,,,,,"Muddle sugar cube in mixer glass. Add whiskey, applejack, and ice. Stir and strain into chilled old-fashioned glass. Add orange twist.",Old-Fashioned Glass,6 to 8 ounces
Silver Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Gin,1 oz, Egg White, Carbonated Water,,,,Shake with ice and strain into highball glass over two ice cubes.,Highball Glass,7 to 10 ounces
Sherry Twist Cocktail,Cocktail Classics,1 oz, Cream sherry,1/2 oz, Brandy,1/2 oz, Dry Vermouth,1/2 oz, Triple Sec,1/2 oz, Lemon Juice,,,Shake with ice and strain into cocktail glass. Top with pinch of cinnamon and a twist of orange peel.,Cocktail Glass,6 or more ounces
Sherry Sangaree,Cocktail Classics,1/2 oz, Powdered Sugar,1 oz, Water,2 oz, Cream sherry,, Carbonated Water,1 oz, Port,,,"In an old-fashioned glass, dissolve powdered sugar in water, add sherry, and stir. Add ice cubes and a splash of carbonated water, leaving enough room on which to float port. Add port. Sprinkle lightly with nutmeg.",Old-Fashioned Glass,6 to 8 ounces
Sherry Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Cream sherry,16 Milk,,,,,,,,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,14 to 16 ounces
Petit Zinc,Vodka,1 oz, Vodka,1/2 oz, Triple Sec,1/2 oz, Sweet Vermouth,1/2 oz, Orange juice, Orange wedge,,,,Shake with ice and strain into chilled cocktail glass. Garnish with orange.,Cocktail Glass,6 or more ounces
Sherry Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 1/2 oz, Cream sherry,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces
Sherry-and-Egg Cocktail,Cocktail Classics,1 egg,,2 oz, cream sherry,,,,,,,,,"Place an egg in a cocktail glass, being careful not to break the yolk. Add 2 oz. cream sherry.",Cocktail Glass,6 or more ounces
Americana,Whiskies,1 oz, Tennessee whiskey,1/2 oz, Simple Syrup,2 oz, Angostura Bitters,, Chilled American sparkling wine, Peach slice,,,,Stir first three ingredients in ice-filled Collins glass. Fill with sparkling wine. Garnish with peach.,Collins Glass,14 to 16 ounces
Allegheny,Whiskies,1 oz, Bourbon whiskey,1 oz, Dry Vermouth,1/2 oz, Blackberry-flavored brandy,1/2 oz, Fresh lemon juice, Lemon twist,,,,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Sevilla Cocktail,Cocktail Classics,1/2 oz, Powdered Sugar,1 oz, Whole Egg,1 oz, Port,1 oz, Light Rum,,,,,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces
September Morn Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Light Rum,1/2 oz, Juice of a Lime,1 oz, Grenadine,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Peach Iced Tea,Vodka,1 1/2 oz, Peach-flavored vodka,1/2 oz, Orange curacao,3/4 oz, Fresh lemon juice,1/2 oz, Honey Syrup,2 oz, Iced tea,," Peach slice, lemon wheel",Shake with ice and strain into ice-filled Collins glass. Garnish with peach and lemon.,Collins Glass,14 to 16 ounces
Fantasio Cocktail,Brandy,1 oz, Brandy,3/4 oz, Dry Vermouth,1 oz, White creme de menthe,1 oz, Maraschino liqueur,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Scotch Bird Flyer,Cocktail Classics,1 1/2 oz, Scotch,1 oz, Egg Yolk,1/2 oz, Triple Sec,1/2 oz, Powdered Sugar,1 oz, Light cream,,,Shake with ice and strain into champagne flute.,Champagne Flute,6 to 8 ounces
Algonquin,Whiskies,1 1/2 oz, Straight rye whiskey,1 oz, Dry Vermouth,1 oz, Pineapple Juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Savannah,Cocktail Classics,1/2 oz, Juice of Orange,1 oz, Gin,1 oz, White creme de cacao,1 oz, Egg White,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Pink Rose Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Egg White,2 oz, Light cream,2 oz, Gin,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Ninotchka Cocktail,Vodka,1 1/2 oz, Vodka,1/2 oz, White creme de cacao,1/4 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Prairie Oyster,Cocktail Classics,1 oz, Brandy,1 oz, Worcestershire Sauce,1 oz, Catsup,1 oz, Vinegar,1 oz, Pepper,,,Shake with ice and strain into old-fashioned glass over two ice cubes.  Place an egg yolk on top without breaking it. Add a dash of cayenne pepper.,Old-Fashioned Glass,6 to 8 ounces
Prairie Chicken,Cocktail Classics,1 oz, Gin,1 oz, Whole Egg,, Pepper and Salt,,,,,,,Open egg without breaking the yolk and put in wine glass. Pour gin on top. Add pepper and salt.,Red-Wine Glass,12 to 24 ounces
Pousse L'Amour,Cocktail Classics,1 oz, Maraschino,1 oz, Egg Yolk,1/2 oz, Benedictine,1/2 oz, Brandy,,,,,"Pour carefully, in order given, into 2-oz. sherry glass, so that each ingredient floats on preceding one",Sherry Glass,4 to 6 ounces
